NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
J,['3'],TMTstop-A_1_alinestimulus7.png,TMTstop-A_1_agreenlinestimulus7.png,TMTstop-A_1_aredlinestimulus7.png,10,,,,,0,9,9,9,,,,,,,,,,,,,21.320963000063784,None,"['2', '3']",1,"[-0.014763700077310205, 0.08062339993193746]",21.320963000063784,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
K,['1'],TMTstop-A_1_alinestimulus8.png,TMTstop-A_1_agreenlinestimulus8.png,TMTstop-A_1_aredlinestimulus8.png,10,,,,,0,10,10,10,,,,,,,,,,,,,21.480837000068277,None,['1'],1,[0.05557029996998608],21.480837000068277,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
L,['3'],TMTstop-A_1_alinestimulus9.png,TMTstop-A_1_agreenlinestimulus9.png,TMTstop-A_1_aredlinestimulus9.png,10,,,,,0,11,11,11,,,,,,,,,,,,,21.605778299970552,None,"['2', '3']",1,"[-0.008435099967755377, 0.09457210008986294]",21.605778299970552,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
M,['2'],TMTstop-A_1_alinestimulus10.png,TMTstop-A_1_agreenlinestimulus10.png,TMTstop-A_1_aredlinestimulus10.png,1,,,,,0,12,12,12,,,,,,,,,,,,,21.823127400013618,None,"['1', '2']",1,"[-0.0005052000051364303, 0.05185359995812178]",21.823127400013618,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
N,['1'],TMTstop-A_1_alinestimulus11.png,TMTstop-A_1_agreenlinestimulus11.png,TMTstop-A_1_aredlinestimulus11.png,None,,,,,0,13,13,13,,,,,,,,,,,,,22.00292600004468,None,"['3', '1']",1,"[-0.011655400041490793, 0.11072740005329251]",22.00292600004468,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
O,['3'],TMTstop-A_1_alinestimulus12.png,TMTstop-A_1_agreenlinestimulus12.png,TMTstop-A_1_aredlinestimulus12.png,None,,,,,0,14,14,14,,,,,,,,,,,,,22.224090400035493,None,"['2', '3']",1,"[-0.0642863999819383, 0.04391879995819181]",22.224090400035493,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
P,['1'],TMTstop-A_1_alinestimulus13.png,TMTstop-A_1_agreenlinestimulus13.png,TMTstop-A_1_aredlinestimulus13.png,None,,,,,0,15,15,15,,,,,,,,,,,,,22.41205980000086,None,['1'],1,[-0.01600860001053661],22.41205980000086,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
Q,['3'],TMTstop-A_1_alinestimulus14.png,TMTstop-A_1_agreenlinestimulus14.png,TMTstop-A_1_aredlinestimulus14.png,None,,,,,0,16,16,16,,,,,,,,,,,,,22.48809340002481,None,"['2', '3']",1,"[-0.03119400003924966, 0.09341730002779514]",22.48809340002481,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
R,['1'],TMTstop-A_1_alinestimulus15.png,TMTstop-A_1_agreenlinestimulus15.png,TMTstop-A_1_aredlinestimulus15.png,None,,,,,0,17,17,17,,,,,,,,,,,,,22.661288000061177,None,['1'],1,[0.06934519996866584],22.661288000061177,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
S,['3'],TMTstop-A_1_alinestimulus16.png,TMTstop-A_1_agreenlinestimulus16.png,TMTstop-A_1_aredlinestimulus16.png,None,,,,,0,18,18,18,,,,,,,,,,,,,22.800282799988054,None,"['2', '3']",1,"[-0.016413499950431287, 0.0955987999914214]",22.800282799988054,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
