Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,0,1,1,1,0,3,3,3,,,,,,,5,0,27.107976599989343,None,"['1', '3', '2', '1', '3']",1,"[0.08064679999370128, 0.26621000000159256, 0.27036179999413434, 0.41530860000057146, 0.5806827999913367]",27.107976599989343,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,0,1,1,1,0,4,4,4,,,,,,,1,1,27.759070100000827,None,['2'],1,[-0.0429535000002943],27.759070100000827,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,0,1,1,1,0,5,5,5,,,,,,,2,0,27.81109750000178,None,"['1', '3']",1,"[0.06111199999577366, 0.21303129999432713]",27.81109750000178,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,7,['2'],2,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus4.png,TMTstop-control_1_2redlinestimulus4.png,TMT_Control,2,32,0,1,1,1,0,6,6,6,,,,,,,1,1,28.094666599994525,None,['2'],1,[-0.03456550001283176],28.094666599994525,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,8,['1'],1,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus5.png,TMTstop-control_1_2redlinestimulus5.png,TMT_Control,2,33,0,1,1,1,0,7,7,7,,,,,,,1,1,28.144719899995835,None,['1'],1,[0.061642300002858974],28.144719899995835,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,9,['3'],3,TMTstop-control_1_2linestimulus6.png,TMTstop-control_1_2greenlinestimulus6.png,TMTstop-control_1_2redlinestimulus6.png,TMT_Control,2,34,0,1,1,1,0,8,8,8,,,,,,,1,1,28.260990700000548,None,['3'],1,[0.0968523999908939],28.260990700000548,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,0,1,1,1,0,9,9,9,,,,,,,1,1,28.411173599990434,None,['2'],1,[-0.011198299995157868],28.411173599990434,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,0,1,1,1,0,10,10,10,,,,,,,2,0,28.46143569999549,None,"['1', '3']",1,"[0.08476369999698363, 0.2228233000059845]",28.46143569999549,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,0,1,1,1,0,11,11,11,,,,,,,1,1,28.752051599993138,None,['2'],1,[-0.029664200003026053],28.752051599993138,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,0,1,1,1,0,12,12,12,,,,,,,2,0,28.80174939999415,None,"['1', '3']",1,"[0.08363389999431092, 0.2497573000000557]",28.80174939999415,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,0,1,1,1,0,13,13,13,,,,,,,1,1,29.145995599988964,None,['2'],1,[-0.0452246000058949],29.145995599988964,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,0,1,1,1,0,14,14,14,,,,,,,8,0,29.196015699999407,None,"['1', '3', '2', '1', '3', '2', '1', '3']",1,"[0.09054799999285024, 0.2607787000015378, 0.2927874000015436, 0.44750059999933, 0.6072866000031354, 0.6478666000039084, 0.8007464999973308, 0.9531828000035603]",29.196015699999407,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,0,1,1,1,0,15,15,15,,,,,,,2,0,30.205891099991277,None,"['2', '1']",1,"[-0.026068999999552034, 0.14877800000249408]",30.205891099991277,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,0,1,1,1,0,16,16,16,,,,,,,2,0,30.409700599993812,None,"['3', '2']",1,"[0.12825700000394136, 0.21929710000404157]",30.409700599993812,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,18,['1'],1,TMTstop-control_1_2linestimulus15.png,TMTstop-control_1_2greenlinestimulus15.png,TMTstop-control_1_2redlinestimulus15.png,TMT_Control,2,43,0,1,1,1,0,17,17,17,,,,,,,1,1,30.698819500001264,None,['1'],1,[0.0473342000041157],30.698819500001264,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,19,['2'],2,TMTstop-control_1_2linestimulus16.png,TMTstop-control_1_2greenlinestimulus16.png,TMTstop-control_1_2redlinestimulus16.png,TMT_Control,2,44,0,1,1,1,0,18,18,18,,,,,,,2,0,30.809720999997808,None,"['3', '2']",1,"[0.062249800001154654, 0.09067809999396559]",30.809720999997808,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,20,['3'],3,TMTstop-control_1_2linestimulus17.png,TMTstop-control_1_2greenlinestimulus17.png,TMTstop-control_1_2redlinestimulus17.png,TMT_Control,2,45,0,1,1,1,0,19,19,19,,,,,,,2,0,31.000931399990804,None,"['1', '3']",1,"[0.06848899999749847, 0.20705420000012964]",31.000931399990804,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,21,['1'],1,TMTstop-control_1_2linestimulus18.png,TMTstop-control_1_2greenlinestimulus18.png,TMTstop-control_1_2redlinestimulus18.png,TMT_Control,2,46,0,1,1,1,0,20,20,20,,,,,,,2,0,31.273361699990346,None,"['2', '1']",1,"[-0.010103400010848418, 0.17806249999557622]",31.273361699990346,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,22,['3'],3,TMTstop-control_1_2linestimulus19.png,TMTstop-control_1_2greenlinestimulus19.png,TMTstop-control_1_2redlinestimulus19.png,TMT_Control,2,47,0,1,1,1,0,21,21,21,,,,,,,1,1,31.523755899994285,None,['3'],1,[0.08927310000581201],31.523755899994285,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,23,['2'],2,TMTstop-control_1_2linestimulus20.png,TMTstop-control_1_2greenlinestimulus20.png,TMTstop-control_1_2redlinestimulus20.png,TMT_Control,2,48,0,1,1,1,0,22,22,22,,,,,,,1,1,31.673802399993292,None,['2'],1,[-0.021940700011327863],31.673802399993292,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,24,['3'],3,TMTstop-control_1_2linestimulus21.png,TMTstop-control_1_2greenlinestimulus21.png,TMTstop-control_1_2redlinestimulus21.png,TMT_Control,2,49,0,1,1,1,0,23,23,23,,,,,,,2,0,31.72393110000121,None,"['1', '3']",1,"[0.10717699999804609, 0.24147810001159087]",31.72393110000121,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,25,['1'],1,TMTstop-control_1_2linestimulus22.png,TMTstop-control_1_2greenlinestimulus22.png,TMTstop-control_1_2redlinestimulus22.png,TMT_Control,2,50,0,1,1,1,0,24,24,24,,,,,,,2,0,32.052745900000446,None,"['2', '1']",1,"[-0.04846890000044368, 0.11369209999975283]",32.052745900000446,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,None,None,None,TMTstop-control_1_2linestimulus23.png,TMTstop-control_1_2greenlinestimulus23.png,TMTstop-control_1_2redlinestimulus23.png,TMT_Control,2,Feedback_last,0,1,1,1,0,25,25,25,,,,,,,6,0,32.2529552999913,None,"['3', '2', '1', '3', '2', '1']",0,"[0.03331410000100732, 0.07016550000116695, 0.27529749998939224, 0.4220828999968944, 0.46951939999416936, 0.71257419999165]",32.2529552999913,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
