NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,0:26,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,29.513586200075224,None,"['3', '1']",1,"[0.07685279985889792, 0.2331683998927474]",29.513586200075224,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,0:26,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,29.8327289998997,None,['2'],1,[0.062235600082203746],29.8327289998997,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,0:26,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,29.971599200041965,None,['3'],1,[-0.03349180007353425],29.971599200041965,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,0:26,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,30.04116369993426,None,"['1', '2']",1,"[0.05992809985764325, 0.1258123000152409]",30.04116369993426,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,0:26,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,30.27023350005038,None,['3'],1,[0.058788100024685264],30.27023350005038,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,0:26,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,30.40934189991094,None,['1'],1,[0.08086950005963445],30.40934189991094,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,0:26,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,30.568930000066757,None,"['2', '3']",1,"[-0.04403350013308227, 0.13512829993851483]",30.568930000066757,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,0:26,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,30.805282999994233,None,"['1', '2']",1,"[0.06335870013572276, 0.15325119998306036]",30.805282999994233,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0:26,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,31.033842700067908,None,['3'],1,[0.04477129993028939],31.033842700067908,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0:26,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,31.16626730002463,None,['1'],1,[0.09730929997749627],31.16626730002463,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,0:26,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,31.339656099909917,None,"['2', '3']",1,"[-0.004747099941596389, 0.1294873000588268]",31.339656099909917,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,0:26,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,31.582935200072825,None,['1'],1,[0.04086059983819723],31.582935200072825,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,0:26,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,31.701631899923086,None,"['2', '3']",1,"[0.04620830016210675, 0.10463590011931956]",31.701631899923086,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,0:26,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,31.916118999943137,None,['1'],1,[0.03845779993571341],31.916118999943137,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,0:26,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,32.034971500048414,None,['2'],1,[0.0005230999086052179],32.034971500048414,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,0:26,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,32.11043370002881,None,['3'],1,[0.4772091000340879],32.11043370002881,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,0:26,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,32.67308719991706,None,None,1,,32.67308719991706,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
,,,,,,0:26,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
