NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,1.0,20.306819915771484,20.306819915771484,0.0,,1.0,1.0,0.0,1,2,3,1,-0.12501780000457074,-0.03986309999891091,0.0758882999944035,0.2273230999999214,20.306819915771484,20.306819915771484,0.0,,10.0
12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,1.0,20.700366973876953,20.700366973876953,0.0,,1.0,1.0,0.0,2,-0.09880009999324102,20.700366973876953,20.700366973876953,0.0,,11.0
13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,1.0,20.837793350219727,20.837793350219727,0.0,,1.0,1.0,0.0,3,-0.10198000000673346,20.837793350219727,20.837793350219727,0.0,,12.0
14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,1.0,20.964975357055664,20.964975357055664,0.0,,1.0,1.0,0.0,1,2,-0.08419559999310877,-0.06006570000317879,20.964975357055664,20.964975357055664,0.0,,13.0
15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,1.0,21.09034538269043,21.09034538269043,0.0,,1.0,1.0,0.0,3,-0.022934900000109337,21.09034538269043,21.09034538269043,0.0,,14.0
16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,1.0,21.230295181274414,21.230295181274414,0.0,,1.0,1.0,0.0,1,2,-0.014014200001838617,0.08237669999653008,21.230295181274414,21.230295181274414,0.0,,15.0
17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,1.0,21.433515548706055,21.433515548706055,0.0,,1.0,1.0,0.0,3,-0.0286781000031624,21.433515548706055,21.433515548706055,0.0,,16.0
18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,1.0,21.573673248291016,21.573673248291016,0.0,,1.0,1.0,0.0,1,2,-0.03459860000293702,0.05545379999966826,21.573673248291016,21.573673248291016,0.0,,17.0
19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,1.0,21.84047508239746,21.84047508239746,0.0,,1.0,1.0,0.0,3,1,2,3,1,2,3,1,-0.11465580000367481,0.06906979999621399,0.13348570000380278,0.2801249000040116,0.6043879000062589,0.6199640999984695,0.7661233999970136,0.9224624000053154,21.84047508239746,21.84047508239746,0.0,,18.0
20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,1.0,22.898303985595703,22.898303985595703,0.0,,1.0,1.0,0.0,2,3,-0.03826359999948181,0.05869399999210145,22.898303985595703,22.898303985595703,0.0,,19.0
