Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C3,52:78,14,['2'],2,TMTstop-control_1_3linestimulus11.png,TMTstop-control_1_3greenlinestimulus11.png,TMTstop-control_1_3redlinestimulus11.png,TMT_Control,C3,64,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,2,0,61.30501649998769,90.39264130000083,None,"['1', '2']",1,"[0.09835240000393242, 0.18077080001239665]",90.39264130000083,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,15,['1'],1,TMTstop-control_1_3linestimulus12.png,TMTstop-control_1_3greenlinestimulus12.png,TMTstop-control_1_3redlinestimulus12.png,TMT_Control,C3,65,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,2,0,61.56115159999172,90.64771479999763,None,"['3', '1']",1,"[-0.008274400010122918, 0.15428989999054465]",90.64771479999763,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,16,['3'],3,TMTstop-control_1_3linestimulus13.png,TMTstop-control_1_3greenlinestimulus13.png,TMTstop-control_1_3redlinestimulus13.png,TMT_Control,C3,66,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,2,0,61.71131619998778,90.89775350000127,None,"['2', '3']",1,"[-0.02440710000519175, 0.05258699999831151]",90.89775350000127,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,17,['1'],1,TMTstop-control_1_3linestimulus14.png,TMTstop-control_1_3greenlinestimulus14.png,TMTstop-control_1_3redlinestimulus14.png,TMT_Control,C3,67,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,1,1,61.846077999987756,91.06488499999978,None,['1'],1,[0.06437860000005458],91.06488499999978,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,18,['3'],3,TMTstop-control_1_3linestimulus15.png,TMTstop-control_1_3greenlinestimulus15.png,TMTstop-control_1_3redlinestimulus15.png,TMT_Control,C3,68,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,2,0,62.02611539998907,91.1834336000029,None,"['2', '3']",1,"[0.005595599999651313, 0.08665830000245478]",91.1834336000029,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,19,['2'],2,TMTstop-control_1_3linestimulus16.png,TMTstop-control_1_3greenlinestimulus16.png,TMTstop-control_1_3redlinestimulus16.png,TMT_Control,C3,69,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,2,0,62.26417609999771,91.36297970000305,None,"['1', '2']",1,"[0.07940670000971295, 0.14193540000997018]",91.36297970000305,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,20,['1'],1,TMTstop-control_1_3linestimulus17.png,TMTstop-control_1_3greenlinestimulus17.png,TMTstop-control_1_3redlinestimulus17.png,TMT_Control,C3,70,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,1,1,,91.60792490000313,None,['3'],0,[-0.028540299987071194],91.60792490000313,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,21,['3'],3,TMTstop-control_1_3linestimulus18.png,TMTstop-control_1_3greenlinestimulus18.png,TMTstop-control_1_3redlinestimulus18.png,TMT_Control,C3,71,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,0,0,,131.15489603999595,None,None,0,,131.15489603999595,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,22,['2'],2,TMTstop-control_1_3linestimulus19.png,TMTstop-control_1_3greenlinestimulus19.png,TMTstop-control_1_3redlinestimulus19.png,TMT_Control,C3,72,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,0,0,,131.18827005999628,None,None,0,,131.18827005999628,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,23,['3'],3,TMTstop-control_1_3linestimulus20.png,TMTstop-control_1_3greenlinestimulus20.png,TMTstop-control_1_3redlinestimulus20.png,TMT_Control,C3,73,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,0,0,,131.22164407999662,None,None,0,,131.22164407999662,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
