NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim_2.started_mean,Stim_2.started_raw,Stim_2.started_std,Stim_2.stopped_raw,key_resp_8.corr_mean,key_resp_8.corr_raw,key_resp_8.corr_std,key_resp_8.keys_raw,key_resp_8.rt_raw,key_resp_8.started_mean,key_resp_8.started_raw,key_resp_8.started_std,key_resp_8.stopped_raw,order
11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,None,1,1.0,34.77860641479492,34.77860641479492,0.0,,1.0,1.0,0.0,1,0.463210000001709,34.77860641479492,34.77860641479492,0.0,,10.0
12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,None,1,1.0,35.304176330566406,35.304176330566406,0.0,,1.0,1.0,0.0,2,0.6246336999975028,35.304176330566406,35.304176330566406,0.0,,11.0
13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,None,1,1.0,35.99573516845703,35.99573516845703,0.0,,1.0,1.0,0.0,3,0.4491548000005423,35.99573516845703,35.99573516845703,0.0,,12.0
14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,None,1,1.0,36.504310607910156,36.504310607910156,0.0,,1.0,1.0,0.0,2,0.37733619999926304,36.504310607910156,36.504310607910156,0.0,,13.0
15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,None,1,1.0,36.94567108154297,36.94567108154297,0.0,,1.0,1.0,0.0,3,0.6880136999971,36.94567108154297,36.94567108154297,0.0,,14.0
16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,None,1,1.0,37.70457077026367,37.70457077026367,0.0,,1.0,1.0,0.0,2,0.5150919999941834,37.70457077026367,37.70457077026367,0.0,,15.0
17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,None,1,1.0,38.279335021972656,38.279335021972656,0.0,,1.0,1.0,0.0,3,0.5342590999935055,38.279335021972656,38.279335021972656,0.0,,16.0
18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,None,1,1.0,38.871337890625,38.871337890625,0.0,,1.0,1.0,0.0,1,2,0.47723299999779556,0.8199706000013975,38.871337890625,38.871337890625,0.0,,17.0
19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,None,1,1.0,39.77622985839844,39.77622985839844,0.0,,1.0,1.0,0.0,1,0.32107080000423593,39.77622985839844,39.77622985839844,0.0,,18.0
20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,None,1,1.0,40.168235778808594,40.168235778808594,0.0,,1.0,1.0,0.0,3,0.4485437999974238,40.168235778808594,40.168235778808594,0.0,,19.0
21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,None,1,1.0,40.67631530761719,40.67631530761719,0.0,,1.0,1.0,0.0,1,0.6035345000054804,40.67631530761719,40.67631530761719,0.0,,20.0
22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,None,1,1.0,41.353240966796875,41.353240966796875,0.0,,1.0,1.0,0.0,2,0.5538712999987183,41.353240966796875,41.353240966796875,0.0,,21.0
23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,None,1,1.0,41.9777717590332,41.9777717590332,0.0,,1.0,1.0,0.0,3,0.5220444000005955,41.9777717590332,41.9777717590332,0.0,,22.0
24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,None,1,1.0,42.570091247558594,42.570091247558594,0.0,,1.0,1.0,0.0,2,0.5568628999972134,42.570091247558594,42.570091247558594,0.0,,23.0
25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,None,1,1.0,43.19526290893555,43.19526290893555,0.0,,1.0,1.0,0.0,1,0.5839833999998518,43.19526290893555,43.19526290893555,0.0,,24.0
None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,None,1,1.0,43.836429595947266,43.836429595947266,0.0,,0.0,0.0,0.0,2,0.5893758000020171,43.836429595947266,43.836429595947266,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_23_1222
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.98821831237917
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim_2.started_mean,Stim_2.started_raw,Stim_2.started_std,Stim_2.stopped_raw,key_resp_8.corr_mean,key_resp_8.corr_raw,key_resp_8.corr_std,key_resp_8.keys_raw,key_resp_8.rt_raw,key_resp_8.started_mean,key_resp_8.started_raw,key_resp_8.started_std,key_resp_8.stopped_raw,order
1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,None,1,1.0,48.062217712402344,48.062217712402344,0.0,,1.0,1.0,0.0,2,0.5600638999967487,48.062217712402344,48.062217712402344,0.0,,0.0
2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,None,1,1.0,48.68734359741211,48.68734359741211,0.0,,1.0,1.0,0.0,3,0.4200397999957204,48.68734359741211,48.68734359741211,0.0,,1.0
3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,None,1,1.0,49.17893981933594,49.17893981933594,0.0,,1.0,1.0,0.0,2,0.4787228999994113,49.17893981933594,49.17893981933594,0.0,,2.0
4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,None,1,1.0,49.720638275146484,49.720638275146484,0.0,,1.0,1.0,0.0,3,0.35311840000213124,49.720638275146484,49.720638275146484,0.0,,3.0
5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,None,1,1.0,50.14543914794922,50.14543914794922,0.0,,1.0,1.0,0.0,2,0.28839069999958156,50.14543914794922,50.14543914794922,0.0,,4.0
6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,None,1,1.0,50.50369644165039,50.50369644165039,0.0,,1.0,1.0,0.0,3,0.3036162000062177,50.50369644165039,50.50369644165039,0.0,,5.0
7,['2'],2,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus4.png,TMTstop-control_1_2redlinestimulus4.png,TMT_Control,2,32,None,1,1.0,50.87848663330078,50.87848663330078,0.0,,1.0,1.0,0.0,2,0.284673300004215,50.87848663330078,50.87848663330078,0.0,,6.0
8,['1'],1,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus5.png,TMTstop-control_1_2redlinestimulus5.png,TMT_Control,2,33,None,1,1.0,51.22062683105469,51.22062683105469,0.0,,1.0,1.0,0.0,1,0.5384386000005179,51.22062683105469,51.22062683105469,0.0,,7.0
9,['3'],3,TMTstop-control_1_2linestimulus6.png,TMTstop-control_1_2greenlinestimulus6.png,TMTstop-control_1_2redlinestimulus6.png,TMT_Control,2,34,None,1,1.0,51.82902908325195,51.82902908325195,0.0,,1.0,1.0,0.0,3,0.37664280000171857,51.82902908325195,51.82902908325195,0.0,,8.0
10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,None,1,1.0,52.27062225341797,52.27062225341797,0.0,,1.0,1.0,0.0,2,0.3329623999961768,52.27062225341797,52.27062225341797,0.0,,9.0
11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,None,1,1.0,52.66627502441406,52.66627502441406,0.0,,1.0,1.0,0.0,3,0.3540084000051138,52.66627502441406,52.66627502441406,0.0,,10.0
