NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,2,1,35.11663220007904,None,"['2', '3']",1,"[-0.04723930009640753, 0.05891309981234372]",35.11663220007904,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,1,1,35.27509119990282,None,['1'],1,[0.04193300008773804],35.27509119990282,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,2,1,35.393550500040874,None,"['2', '3']",1,"[-9.180000051856041e-05, 0.101810900028795]",35.393550500040874,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,1,1,35.59596539987251,None,['1'],1,[0.06789310020394623],35.59596539987251,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,1,1,35.74781329999678,None,['2'],1,[-0.008900599787011743],35.74781329999678,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,1,1,35.82440049992874,None,['3'],1,[0.06322999997064471],35.82440049992874,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,1,1,35.963634399930015,None,['1'],0,[0.10783079988323152],35.963634399930015,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,3,1,40.06664149998687,None,"['1', '2', '3']",1,"[2.300654900027439, 2.402284099953249, 2.4973144999239594]",40.06664149998687,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,2,1,42.65059749991633,None,"['1', '2']",1,"[0.0830532000400126, 0.12436009990051389]",42.65059749991633,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,1,1,42.858180300099775,None,['3'],1,[0.04565989994443953],42.858180300099775,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
