NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
6,['3'],3,TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,TMT_B,1,11,1.0,80.33326721191406,80.33326721191406,0.0,,1.0,1.0,0.0,3,0.9880732000019634,80.33326721191406,80.33326721191406,0.0,,10.0
F,['1'],1,TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,TMT_B,1,12,1.0,81.42366790771484,81.42366790771484,0.0,,1.0,1.0,0.0,1,0.8097606999945128,81.42366790771484,81.42366790771484,0.0,,11.0
7,['3'],3,TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,TMT_B,1,13,1.0,82.3612289428711,82.3612289428711,0.0,,1.0,1.0,0.0,3,3.5105404000059934,82.3612289428711,82.3612289428711,0.0,,12.0
G,['2'],2,TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,TMT_B,1,14,1.0,86.02637481689453,86.02637481689453,0.0,,1.0,1.0,0.0,2,1.268731399992248,86.02637481689453,86.02637481689453,0.0,,13.0
8,['3'],3,TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,TMT_B,1,15,1.0,87.4672622680664,87.4672622680664,0.0,,1.0,1.0,0.0,3,1.9324895000027027,87.4672622680664,87.4672622680664,0.0,,14.0
H,['1'],1,TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,TMT_B,1,16,1.0,89.49636840820312,89.49636840820312,0.0,,1.0,1.0,0.0,1,0.7740206000016769,89.49636840820312,89.49636840820312,0.0,,15.0
9,['3'],3,TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,TMT_B,1,17,1.0,90.451904296875,90.451904296875,0.0,,1.0,1.0,0.0,3,0.8166806999943219,90.451904296875,90.451904296875,0.0,,16.0
I,['2'],2,TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,TMT_B,1,18,1.0,91.3750228881836,91.3750228881836,0.0,,1.0,1.0,0.0,2,0.8773936000070535,91.3750228881836,91.3750228881836,0.0,,17.0
10,['3'],3,TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,TMT_B,1,19,1.0,92.37619018554688,92.37619018554688,0.0,,1.0,1.0,0.0,3,0.7818179999885615,92.37619018554688,92.37619018554688,0.0,,18.0
J,['2'],2,TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,TMT_B,1,20,1.0,93.30157470703125,93.30157470703125,0.0,,1.0,1.0,0.0,2,0.5977827000024263,93.30157470703125,93.30157470703125,0.0,,19.0
11,['1'],1,TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,TMT_B,1,21,1.0,94.10062408447266,94.10062408447266,0.0,,1.0,1.0,0.0,1,0.9823868999956176,94.10062408447266,94.10062408447266,0.0,,20.0
K,['2'],2,TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,TMT_B,1,22,1.0,95.16514587402344,95.16514587402344,0.0,,1.0,1.0,0.0,2,0.42406069999560714,95.16514587402344,95.16514587402344,0.0,,21.0
12,['1'],1,TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,TMT_B,1,23,1.0,95.69808197021484,95.69808197021484,0.0,,1.0,1.0,0.0,1,3.7523364999942714,95.69808197021484,95.69808197021484,0.0,,22.0
L,['2'],2,TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,TMT_B,1,24,1.0,99.54499053955078,99.54499053955078,0.0,,1.0,1.0,0.0,2,0.3755016000068281,99.54499053955078,99.54499053955078,0.0,,23.0
13,['1'],1,TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,TMT_B,1,25,1.0,100.07569122314453,100.07569122314453,0.0,,1.0,1.0,0.0,1,0.7603841999953147,100.07569122314453,100.07569122314453,0.0,,24.0
None,None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,TMT_B,1,Feedback_last,1.0,101.04222106933594,101.04222106933594,0.0,,1.0,1.0,0.0,,'--',101.04222106933594,101.04222106933594,0.0,,25.0

extraInfo
participant,
session,001
date,2022_May_10_0928
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,None
