NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,27.95512769999914,None,['3'],1,[-0.01965559999916877],27.95512769999914,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,28.03842099999929,None,"['1', '2']",1,"[0.06468560000030266, 0.10859239999990677]",28.03842099999929,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,28.23938420000013,None,['3'],1,[0.029758399999991525],28.23938420000013,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,28.355156499999794,None,['1'],1,[0.072983000000022],28.355156499999794,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,28.52181759999985,None,"['2', '3']",1,"[-0.03536600000006729, 0.08798190000015893]",28.52181759999985,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,28.705555799999274,None,"['1', '2']",1,"[0.02947209999911138, 0.10284489999867219]",28.705555799999274,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,28.922247000000425,None,['3'],1,[0.014334299999973155],28.922247000000425,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,29.022179600000527,None,['1'],1,[0.02648149999913585],29.022179600000527,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,29.138983999999255,None,"['2', '3']",1,"[-0.006976499998927466, 0.10227870000016992]",29.138983999999255,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,29.372435499999483,None,['1'],1,[-0.0029267999998410232],29.372435499999483,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,29.455948400000125,None,"['2', '3']",1,"[-0.02639369999997143, 0.10106739999901038]",29.455948400000125,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,29.639194600000337,None,['1'],1,[0.04255360000024666],29.639194600000337,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,29.772736000000805,None,"['3', '1', '3', '1', '2']",1,"[0.09185419999994338, 0.21565470000132336, 0.40272879999974975, 0.5310172999998031, 0.6023127999997087]",29.772736000000805,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,30.506287899999734,None,['3'],1,[-0.014725999999427586],30.506287899999734,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,30.58968470000036,None,"['1', '2', '3']",0,"[0.03198820000034175, 0.09694900000067719, 0.2105731999999989]",30.58968470000036,None,,001,2021_Nov_16_1805,TMTAB,2021.2.3,60.042714387014925,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.621697099999437,None,,,,,,,,,,,,,,,,,,,,,,,,,,
