Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
A1,208:234,22,['3'],3,Images/TMTstop-A_1_1linestimulus19.png,Images/TMTstop-A_1_1greenlinestimulus19.png,Images/TMTstop-A_1_1redlinestimulus19.png,TMT_A,A1,22,None,2,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,2,0,62.47031939961016,89.57128959987313,None,"['2', '3']",1,"[-0.0109888999722898, 0.06659700023010373]",89.57128959987313,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A1,208:234,23,['1'],1,Images/TMTstop-A_1_1linestimulus20.png,Images/TMTstop-A_1_1greenlinestimulus20.png,Images/TMTstop-A_1_1redlinestimulus20.png,TMT_A,A1,23,None,2,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,1,1,62.65735979983583,89.69245859980583,None,['1'],1,[0.12091520009562373],89.69245859980583,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A1,208:234,24,['3'],3,Images/TMTstop-A_1_1linestimulus21.png,Images/TMTstop-A_1_1greenlinestimulus21.png,Images/TMTstop-A_1_1redlinestimulus21.png,TMT_A,A1,24,None,2,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,2,0,62.81129779992625,89.87555789994076,None,"['2', '3']",1,"[-0.023699200246483088, 0.061843699775636196]",89.87555789994076,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A1,208:234,25,['1'],1,Images/TMTstop-A_1_1linestimulus22.png,Images/TMTstop-A_1_1greenlinestimulus22.png,Images/TMTstop-A_1_1redlinestimulus22.png,TMT_A,A1,25,None,2,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,1,1,62.969349700026214,90.03838340006769,None,['1'],1,[0.08505180012434721],90.03838340006769,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A1,208:234,None,None,None,Images/TMTstop-A_1_1linestimulus23.png,Images/TMTstop-A_1_1greenlinestimulus23.png,Images/TMTstop-A_1_1redlinestimulus23.png,TMT_A,A1,Feedback_last,None,2,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,90.18888689996675,None,"['2', '3']",0,"[-0.013721399940550327, 0.06636149995028973]",90.18888689996675,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,1,['1'],1,Images/TMTstop-A_1_2.png,Images/TMTstop-A_1_2.png,Images/TMTstop-A_1_2.png,TMT_A,A2,26,None,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,67.78854189999402,94.45771750016138,None,['1'],1,[0.5005235997959971],94.45771750016138,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,2,['3'],3,Images/TMTstop-A_1_2.png,Images/TMTstop-A_1_2firstgreen.png,Images/TMTstop-A_1_2firstred.png,TMT_A,A2,27,None,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,0,67.9965433999896,95.01779600000009,None,"['2', '3']",1,"[0.03741930006071925, 0.12366029992699623]",95.01779600000009,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,3,['1'],1,Images/TMTstop-A_1_2linestimulus0.png,Images/TMTstop-A_1_2greenlinestimulus0.png,Images/TMTstop-A_1_2redlinestimulus0.png,TMT_A,A2,28,None,2,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,68.17258789995685,95.22192629985511,None,['1'],1,[0.1073248996399343],95.22192629985511,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,4,['2'],2,Images/TMTstop-A_1_2linestimulus1.png,Images/TMTstop-A_1_2greenlinestimulus1.png,Images/TMTstop-A_1_2redlinestimulus1.png,TMT_A,A2,29,None,2,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,68.22256299993023,95.39232049975544,None,['2'],1,[-0.013886400032788515],95.39232049975544,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
A2,234:260,5,['1'],1,Images/TMTstop-A_1_2linestimulus2.png,Images/TMTstop-A_1_2greenlinestimulus2.png,Images/TMTstop-A_1_2redlinestimulus2.png,TMT_A,A2,30,None,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,2,0,68.56054339976981,95.44592900015414,None,"['3', '1']",1,"[0.02441389998421073, 0.27996640000492334]",95.44592900015414,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
