NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,18.21694739999657,None,3,0.1849184000020614,18.21694739999657,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,18.480962199988426,None,1,0.05536650000431109,18.480962199988426,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,18.613432699989062,None,2,0.07701190000807401,18.613432699989062,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,18.77266439999221,None,3,0.018967199997860007,18.77266439999221,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,18.869945499987807,None,1,0.11393520000274293,18.869945499987807,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,19.057340899991686,None,3,0.21569869999075308,19.057340899991686,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,19.35590329999104,None,2,0.4278543999971589,19.35590329999104,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,19.8838442999986,None,3,0.028137100001913495,19.8838442999986,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,19.9948863999889,None,1,0.1511179999943124,19.9948863999889,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,20.21702589999768,None,2,0.036189499995089136,20.21702589999768,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,20.322488999998313,None,None,,20.322488999998313,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,21.320426539987967,None,None,,21.320426539987967,None,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,21.390550399999483,None,1,1.2830988999921829,21.390550399999483,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,22.758344399990165,None,2,0.3154805999947712,22.758344399990165,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,23.161635699987528,None,3,0.02740990000893362,23.161635699987528,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,2,0,2,0,0,3,3,3,,,,,,,23.258552499988582,None,1,0.2285083000024315,23.258552499988582,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,2,0,2,0,0,4,4,4,,,,,,,23.56418039998971,None,2,0.1099019999965094,23.56418039998971,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,2,0,2,0,0,5,5,5,,,,,,,23.744696699999622,None,3,0.015257999999448657,23.744696699999622,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,2,0,2,0,0,6,6,6,,,,,,,23.84179619999486,None,1,0.1394097000011243,23.84179619999486,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,2,0,2,0,0,7,7,7,,,,,,,24.050384999995003,None,3,0.1442286000092281,24.050384999995003,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,2,0,2,0,0,8,8,8,,,,,,,24.27947259999928,None,2,0.7959731000009924,24.27947259999928,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,2,0,2,0,0,9,9,9,,,,,,,25.182210300001316,None,3,0.29081229999428615,25.182210300001316,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,2,0,2,0,0,10,10,10,,,,,,,25.550264799996512,None,1,1.0490605999948457,25.550264799996512,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,2,0,2,0,0,11,11,11,,,,,,,26.675107199989725,None,2,0.5496073000103934,26.675107199989725,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,2,0,2,0,0,12,12,12,,,,,,,27.29324989998713,None,None,,27.29324989998713,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,28.29857109999284,None,x,1.1606618000078015,28.29857109999284,None,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,3,0,3,0,0,0,0,0,,,,,,,29.536215399988578,None,1,0.8010887999989791,29.536215399988578,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,3,0,3,0,0,1,1,1,,,,,,,30.40446819999488,None,2,0.07342819999030326,30.40446819999488,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,3,0,3,0,0,2,2,2,,,,,,,30.550473899987992,None,3,0.024593199996161275,30.550473899987992,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,3,0,3,0,0,3,3,3,,,,,,,30.647494199991343,None,1,0.07369679999828804,30.647494199991343,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,3,0,3,0,0,4,4,4,,,,,,,30.800316900000325,None,2,0.2898353000055067,30.800316900000325,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,3,0,3,0,0,5,5,5,,,,,,,31.175284599987208,None,3,0.01845849999517668,31.175284599987208,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,3,0,3,0,0,6,6,6,,,,,,,31.27233529998921,None,1,0.054667599993990734,31.27233529998921,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,3,0,3,0,0,7,7,7,,,,,,,31.40430129999004,None,3,0.06856820000393782,31.40430129999004,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
