Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,None,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,1,1,11.487659200000053,67.83564699999988,None,['1'],1,[0.08446399999957066],67.83564699999988,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,None,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,1,1,11.531583999996656,67.96763269999792,None,['2'],1,[-0.0001995999991777353],67.96763269999792,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,None,1,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,1,1,11.6524986000004,68.0097758999982,None,['3'],1,[0.0764253999950597],68.0097758999982,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,None,1,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,2,0,11.816108599996369,68.13211600000068,None,"['1', '2']",1,"[0.07315530000050785, 0.11633720000099856]",68.13211600000068,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,None,1,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,2,0,12.07294059999549,68.29247209999448,None,"['3', '1']",1,"[0.06838889999926323, 0.1916549999950803]",68.29247209999448,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,None,1,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,2,0,,68.55164999999397,None,"['2', '3']",0,"[-0.02042770000116434, 0.09865260000515264]",68.55164999999397,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,None,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,2,0,17.14624979999644,72.75513599999977,None,"['1', '2']",1,"[0.763747400000284, 0.8198828999957186]",72.75513599999977,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,None,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,1,1,17.26468699999532,73.62138379999669,None,['3'],1,[0.07534360000136076],73.62138379999669,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,None,1,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,2,0,17.463016899993818,73.74315329999808,None,"['1', '2']",1,"[0.07130789999791887, 0.13507840000238502]",73.74315329999808,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,None,1,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,1,1,17.519994999995106,73.94047789999604,None,['3'],1,[0.015612699993653223],73.94047789999604,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,None,1,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,2,0,17.756785099998524,73.99932379999518,None,"['1', '2']",1,"[0.11002749999897787, 0.17370980000123382]",73.99932379999518,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,None,1,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,1,1,17.834527099999832,74.23630879999837,None,['3'],1,[0.028264099993975833],74.23630879999837,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_2.xlsx,26:52,7,['2'],2,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus4.png,TMTstop-control_1_2redlinestimulus4.png,TMT_Control,2,32,None,1,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,2,0,18.442620599998918,74.31383159999677,None,"['1', '2']",1,"[0.4793461000008392, 0.5514481999998679]",74.31383159999677,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
