NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,0.0,'--','--',,,,'--','--','--',
12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,0.0,'--','--',,,,'--','--','--',
13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,0.0,'--','--',,,,'--','--','--',
14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,0.0,'--','--',,,,'--','--','--',
15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,0.0,'--','--',,,,'--','--','--',
16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,0.0,'--','--',,,,'--','--','--',
17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,0.0,'--','--',,,,'--','--','--',
18,['1'],1,TMTstop-control_1_2linestimulus15.png,TMTstop-control_1_2greenlinestimulus15.png,TMTstop-control_1_2redlinestimulus15.png,TMT_Control,2,43,0.0,'--','--',,,,'--','--','--',
19,['2'],2,TMTstop-control_1_2linestimulus16.png,TMTstop-control_1_2greenlinestimulus16.png,TMTstop-control_1_2redlinestimulus16.png,TMT_Control,2,44,0.0,'--','--',,,,'--','--','--',
20,['3'],3,TMTstop-control_1_2linestimulus17.png,TMTstop-control_1_2greenlinestimulus17.png,TMTstop-control_1_2redlinestimulus17.png,TMT_Control,2,45,0.0,'--','--',,,,'--','--','--',
21,['1'],1,TMTstop-control_1_2linestimulus18.png,TMTstop-control_1_2greenlinestimulus18.png,TMTstop-control_1_2redlinestimulus18.png,TMT_Control,2,46,0.0,'--','--',,,,'--','--','--',
22,['3'],3,TMTstop-control_1_2linestimulus19.png,TMTstop-control_1_2greenlinestimulus19.png,TMTstop-control_1_2redlinestimulus19.png,TMT_Control,2,47,0.0,'--','--',,,,'--','--','--',
23,['2'],2,TMTstop-control_1_2linestimulus20.png,TMTstop-control_1_2greenlinestimulus20.png,TMTstop-control_1_2redlinestimulus20.png,TMT_Control,2,48,0.0,'--','--',,,,'--','--','--',
24,['3'],3,TMTstop-control_1_2linestimulus21.png,TMTstop-control_1_2greenlinestimulus21.png,TMTstop-control_1_2redlinestimulus21.png,TMT_Control,2,49,0.0,'--','--',,,,'--','--','--',
25,['1'],1,TMTstop-control_1_2linestimulus22.png,TMTstop-control_1_2greenlinestimulus22.png,TMTstop-control_1_2redlinestimulus22.png,TMT_Control,2,50,0.0,'--','--',,,,'--','--','--',
None,None,None,TMTstop-control_1_2linestimulus23.png,TMTstop-control_1_2greenlinestimulus23.png,TMTstop-control_1_2redlinestimulus23.png,TMT_Control,2,Feedback_last,0.0,'--','--',,,,'--','--','--',

extraInfo
participant,
session,001
date,2022_May_10_0948
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,123.47462534130955
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,3,51,1.0,29.754057020007167,,0.0,0.0,0.0,,29.754057020007167,,0.0
2,['1'],1,TMTstop-control_1_3.png,TMTstop-control_1_3firstgreen.png,TMTstop-control_1_3firstred.png,TMT_Control,3,52,0.0,'--','--',,,,'--','--','--',
3,['2'],2,TMTstop-control_1_3linestimulus0.png,TMTstop-control_1_3greenlinestimulus0.png,TMTstop-control_1_3redlinestimulus0.png,TMT_Control,3,53,0.0,'--','--',,,,'--','--','--',
4,['1'],1,TMTstop-control_1_3linestimulus1.png,TMTstop-control_1_3greenlinestimulus1.png,TMTstop-control_1_3redlinestimulus1.png,TMT_Control,3,54,0.0,'--','--',,,,'--','--','--',
5,['3'],3,TMTstop-control_1_3linestimulus2.png,TMTstop-control_1_3greenlinestimulus2.png,TMTstop-control_1_3redlinestimulus2.png,TMT_Control,3,55,0.0,'--','--',,,,'--','--','--',
6,['1'],1,TMTstop-control_1_3linestimulus3.png,TMTstop-control_1_3greenlinestimulus3.png,TMTstop-control_1_3redlinestimulus3.png,TMT_Control,3,56,0.0,'--','--',,,,'--','--','--',
7,['2'],2,TMTstop-control_1_3linestimulus4.png,TMTstop-control_1_3greenlinestimulus4.png,TMTstop-control_1_3redlinestimulus4.png,TMT_Control,3,57,0.0,'--','--',,,,'--','--','--',
