Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0:26,22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,1,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,24.706616500159726,None,"['2', '3']",1,"[-0.005703600123524666, 0.09057279978878796]",24.706616500159726,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,1,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,24.908158299978822,None,['1'],1,[0.02674119989387691],24.908158299978822,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,24,['2'],2,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,1,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,25.013105900026858,None,['2'],1,[-0.02125550014898181],25.013105900026858,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,25,['3'],3,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,1,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,25.088517900090665,None,['3'],1,[0.024355100002139807],25.088517900090665,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,1,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,25.192996900063008,None,"['1', '2', '3']",0,"[0.04266869998537004, 0.11109139979816973, 0.23763069999404252]",25.192996900063008,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,1,['3'],3,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,26.273966900072992,None,,,,,,,,,,,,,29.310229799943045,None,"['1', '2', '3']",1,"[0.5361071000806987, 0.579165400005877, 0.7427553001325577]",29.310229799943045,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,2,['2'],2,TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,30.123281199950725,None,"['1', '2']",1,"[0.09840940008871257, 0.21459620003588498]",30.123281199950725,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,3,['3'],3,TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,2,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,30.43550240015611,None,['3'],1,[-0.01086780009791255],30.43550240015611,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,4,['1'],1,TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,2,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,30.50526629993692,None,['1'],1,[0.1163544999435544],30.50526629993692,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
26:52,5,['2'],2,TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,30.699847399955615,None,['2'],1,[-0.03503799997270107],30.699847399955615,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
