NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,,,,,16.585075599999982,None,None,0,,16.585075599999982,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,,,,,16.673399680000145,None,None,0,,16.673399680000145,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,,,,,16.769084100000327,None,None,0,,16.769084100000327,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,,,,,16.85740818000049,None,None,0,,16.85740818000049,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,,,,,16.945732260000657,None,None,0,,16.945732260000657,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,,,,,17.048777020000852,None,None,0,,17.048777020000852,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,,,,,17.13710110000102,None,None,1,,17.13710110000102,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,1,,,,,,,,,0,0,0,0,,,,,,,,,20.197276019999844,None,None,0,,20.197276019999844,None,17.15558940000119,None,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,A,,,,,,,,,0,1,1,1,,,,,,,,,20.256158739999954,None,None,0,,20.256158739999954,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,2,,,,,,,,,0,2,2,2,,,,,,,,,20.32240180000008,None,None,0,,20.32240180000008,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
