NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,1,1,23.24682679993566,None,['2'],1,[-0.009801400010474026],23.24682679993566,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,1,1,23.330789600033313,None,['3'],1,[-0.041387700010091066],23.330789600033313,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,2,1,23.413513400009833,None,"['1', '2']",1,"[0.1709743000101298, 0.25299820001237094]",23.413513400009833,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,1,1,23.780421299976297,None,['3'],1,[-0.014176399912685156],23.780421299976297,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,1,1,23.863822999992408,None,['1'],1,[0.06173850002232939],23.863822999992408,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,2,1,24.01396020001266,None,"['2', '3']",1,"[-0.018664199975319207, 0.0737488999729976]",24.01396020001266,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,2,1,24.19731379998848,None,"['1', '2']",1,"[0.028824000037275255, 0.1141359000466764]",24.19731379998848,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,1,1,24.414097400032915,None,['3'],1,[-0.06133089994546026],24.414097400032915,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,1,1,24.497434700024314,None,['1'],1,[0.015591299976222217],24.497434700024314,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,4,1,24.597447099979036,None,"['2', '1', '2', '3']",1,"[0.09469569998327643, 0.2258144998922944, 0.3058631999883801, 0.4247348998906091]",24.597447099979036,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,1,1,25.131053799996153,None,['1'],1,[0.0706867000553757],25.131053799996153,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,2,1,25.2981072999537,None,"['2', '3']",1,"[-0.01987900002859533, 0.11780859995633364]",25.2981072999537,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,1,1,25.531523099984042,None,['1'],1,[0.029742700047791004],25.531523099984042,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,1,1,25.647958699963056,None,['2'],1,[-0.007609300082549453],25.647958699963056,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,1,1,25.731537899933755,None,['3'],1,[-0.007297700038179755],25.731537899933755,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
