NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,,,,,21.28270210000119,None,2,0,0.333443300001818,21.28270210000119,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,,,,,21.713570800002344,None,2,1,0.37357210000118357,21.713570800002344,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,,,,,22.17869939999946,None,2,0,0.3133406000015384,22.17869939999946,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,,,,,22.581629300002533,None,2,1,0.4178433999986737,22.581629300002533,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,,,,,23.09530260000247,None,2,0,0.6061656000019866,23.09530260000247,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,,,,,23.798059900000226,None,None,1,,23.798059900000226,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,1,,,,,,,,,0,0,0,0,,,,,,,,,27.85902300000089,None,2,1,0.36957819999952335,27.85902300000089,None,24.800857600002928,None,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,A,,,,,,,,,0,1,1,1,,,,,,,,,28.31054420000146,None,2,0,0.21443859999999404,28.31054420000146,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,2,,,,,,,,,0,2,2,2,,,,,,,,,28.609165400001075,None,2,0,0.1828892999983509,28.609165400001075,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,B,,,,,,,,,0,3,3,3,,,,,,,,,28.915025100002822,None,2,1,0.1295191999997769,28.915025100002822,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
