Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_1.xlsx,0:26,I,['2'],2,TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,TMT_B,1,18,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,2,0,74.28358920000028,None,"['1', '2']",1,"[0.026370999999926426, 0.10225299999001436]",74.28358920000028,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,10,['3'],3,TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,TMT_B,1,19,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,1,1,74.54840260000492,None,['3'],1,[-0.048200199991697446],74.54840260000492,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,J,['2'],2,TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,TMT_B,1,20,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,2,0,74.67515290000301,None,"['1', '2']",1,"[-0.01392630000191275, 0.05959150000126101]",74.67515290000301,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,11,['1'],1,TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,TMT_B,1,21,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,2,0,74.92787300000782,None,"['3', '1']",1,"[-0.08112089999485761, 0.0792481999960728]",74.92787300000782,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,K,['2'],2,TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,TMT_B,1,22,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,1,1,75.1796628000011,None,['2'],1,[-0.09420010000758339],75.1796628000011,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,12,['1'],1,TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,TMT_B,1,23,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,2,0,75.3057695000025,None,"['3', '1']",1,"[-0.1086970000033034, 0.05943850000039674]",75.3057695000025,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,L,['2'],2,TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,TMT_B,1,24,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,4,0,75.55935840000166,None,"['2', '3', '1', '2']",1,"[-0.11783829999330919, -0.0074757999973371625, 0.15509040000324603, 0.23013290000380948]",75.55935840000166,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,13,['1'],1,TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,TMT_B,1,25,,,,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,2,0,75.958673000001,None,"['3', '1']",1,"[-0.06080169999040663, 0.09014460000616964]",75.958673000001,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,None,None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,TMT_B,1,Feedback_last,,,,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,5,0,76.2269321000058,None,"['2', '3', '1', '2', '3']",0,"[-0.09479380000266246, 0.0095792999927653, 0.15009049999935087, 0.23397859999386128, 0.3436597999971127]",76.2269321000058,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_2.xlsx,26:52,1,['1'],1,TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMT_B,2,26,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,0,0,80.31053108000197,None,None,0,,80.31053108000197,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_3.xlsx,52:78,1,['2'],2,TMTstop-B_1_3.png,TMTstop-B_1_3.png,TMTstop-B_1_3.png,TMT_B,3,51,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,0,0,83.38718458000221,None,None,0,,83.38718458000221,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_4.xlsx,78:104,1,['3'],3,TMTstop-B_1_4.png,TMTstop-B_1_4.png,TMTstop-B_1_4.png,TMT_B,4,76,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,0,0,86.5007113800093,None,None,0,,86.5007113800093,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_5.xlsx,104:130,1,['1'],1,TMTstop-B_1_5.png,TMTstop-B_1_5.png,TMTstop-B_1_5.png,TMT_B,5,101,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,0,0,89.59176178000052,None,None,0,,89.59176178000052,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
