NumberLetter,corrAns,StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C,2,TMTBD1B.bmp,,,,,0,5,5,5,,,,,28.889596800028812,None,1,0,-0.024289699998917058,28.889596800028812,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
4,3,TMTBD13.bmp,,,,,0,6,6,6,,,,,29.739984800020466,None,1,0,-0.4693099999858532,29.739984800020466,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
D,1,TMTBD1C.bmp,,,,,0,7,7,7,,,,,29.7567344000272,None,2,0,0.001920500013511628,29.7567344000272,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
5,2,TMTBD14.bmp,,,,,0,8,8,8,,,,,30.223381300020264,None,2,1,-0.0013935999886598438,30.223381300020264,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
E,3,TMTBD1D.bmp,,,,,0,9,9,9,,,,,30.24025710002752,None,3,1,0.3839217000058852,30.24025710002752,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
6,2,TMTBD15.bmp,,,,,0,10,10,10,,,,,31.17393020002055,None,3,0,-0.03813459997763857,31.17393020002055,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
F,1,TMTBD1E.bmp,,,,,0,11,11,11,,,,,31.190739400015445,None,3,0,0.48595219998969696,31.190739400015445,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
7,2,TMTBD16.bmp,,,,,0,12,12,12,,,,,32.157816400023876,None,3,0,0.09532170000602491,32.157816400023876,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
G,1,TMTBD1F.bmp,,,,,0,13,13,13,,,,,32.27446640000562,None,3,0,0.498011999996379,32.27446640000562,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
8,3,TMTBD17.bmp,,,,,0,14,14,14,,,,,33.04162550001638,None,3,1,0.3217259999946691,33.04162550001638,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
