NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,24.722372099990025,None,"['3', '2', '3', '1', '2']",0,"[-0.0164504999993369, 4.041070000035688, 4.770797300036065, 5.159036200027913, 5.5112609000643715]",24.722372099990025,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,,,,,0,0,0,0,,,,,33.318788600037806,None,['2'],1,[6.415012500016019],33.318788600037806,None,30.275175400078297,None,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
A,['3'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,,,,,0,1,1,1,,,,,39.812169400043786,None,"['1', '1', '2', '3']",1,"[2.2696854999521747, 7.821210899972357, 8.819020299939439, 9.794371100026183]",39.812169400043786,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
2,['1'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,,,,,0,2,2,2,,,,,49.70712729997467,None,"['3', '2', '1']",1,"[5.854997100075707, 8.706350200111046, 9.14431580004748]",49.70712729997467,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,,,,,0,3,3,3,,,,,58.9366136000026,None,"['1', '1', '2']",1,"[12.637948899995536, 14.548452900024131, 14.989236099994741]",58.9366136000026,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
3,['3'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,,,,,0,4,4,4,,,,,74.01934210001491,None,"['1', '2', '3']",1,"[3.7692031000042334, 6.8038875999627635, 7.297890900052153]",74.01934210001491,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
C,['1'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,,,,,0,5,5,5,,,,,81.40165370004252,None,['1'],1,[5.817136500030756],81.40165370004252,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
4,['2'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,,,,,0,6,6,6,,,,,87.29024510004092,None,['2'],1,[5.004900399944745],87.29024510004092,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
D,['3'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,,,,,0,7,7,7,,,,,92.38686530000996,None,['3'],1,[3.861697499989532],92.38686530000996,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
5,['2'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,,,,,0,8,8,8,,,,,96.33154320006724,None,None,0,,96.33154320006724,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,,,,,0,9,9,9,,,,,96.90693529997952,None,None,0,,96.90693529997952,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,,,,,0,10,10,10,,,,,96.94171599997208,None,None,0,,96.94171599997208,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
F,['1'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,,,,,0,11,11,11,,,,,96.98345283996314,None,None,0,,96.98345283996314,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
7,['3'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,,,,,0,12,12,12,,,,,97.0251896799542,None,None,0,,97.0251896799542,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
G,['2'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,,,,,0,13,13,13,,,,,97.06692651994526,None,None,0,,97.06692651994526,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
8,['3'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,,,,,0,14,14,14,,,,,97.10866335993633,None,None,0,,97.10866335993633,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
