NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,25.29956799990032,None,"['1', '2', '3']",0,"[0.03799669991713017, 0.1277661999920383, 0.22360539995133877]",25.29956799990032,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
,,,,,,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,26.3982886999147,None,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,29.40157139999792,None,"['1', '2', '3']",1,"[0.6458971999818459, 0.7976500999648124, 0.9406665000133216]",29.40157139999792,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,30.435407999902964,None,"['1', '2']",1,"[0.13199199992232025, 0.23810949991457164]",30.435407999902964,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,30.802227499894798,None,['3'],1,[0.04937140003312379],30.802227499894798,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,30.9356699999189,None,['1'],1,[0.06857759994454682],30.9356699999189,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
5,['2'],TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,31.10225029999856,None,['2'],1,[-0.0380507999798283],31.10225029999856,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
6,['3'],TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,31.185702299932018,None,['3'],1,[-0.012802699930034578],31.185702299932018,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
7,['2'],TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,31.269300199928693,None,"['1', '2']",1,"[0.08247330004815012, 0.14759170007891953]",31.269300199928693,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
8,['1'],TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,31.53579799993895,None,"['3', '1']",1,"[-0.018214300042018294, 0.15119849995244294]",31.53579799993895,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,31.769422799930908,None,['2'],1,[-0.016687100054696202],31.769422799930908,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,31.852876599994488,None,['3'],1,[0.0005297999596223235],31.852876599994488,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,31.93599169992376,None,['1'],1,[0.09836880001239479],31.93599169992376,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
12,['2'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,32.15281119989231,None,['2'],1,[-0.06363760004751384],32.15281119989231,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
13,['3'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,1,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,32.236166299902834,None,['3'],1,[-0.02895050006918609],32.236166299902834,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
14,['1'],TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,32.31946919998154,None,['1'],1,[0.05760669999290258],32.31946919998154,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
15,['3'],TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,None,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,32.46943729999475,None,"['2', '3']",1,"[-0.0367038999684155, 0.05547689995728433]",32.46943729999475,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
16,['1'],TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,32.653360399999656,None,['1'],1,[0.03174319991376251],32.653360399999656,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
