NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,Correct,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,22.501378299901262,None,['3'],1,[0.028620700119063258],22.501378299901262,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,22.62078949995339,None,"['1', '2']",1,"[0.10188219998963177, 0.2074053999967873]",22.62078949995339,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,22.953331399941817,None,['3'],1,[-0.04893530020490289],22.953331399941817,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,23.03685489995405,None,['1'],1,[0.031906899996101856],23.03685489995405,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,23.160999899962917,None,"['2', '3']",1,"[-0.02721610013395548, 0.08834009990096092]",23.160999899962917,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,23.362926200032234,None,"['1', '2']",1,"[0.024031699867919087, 0.08750259992666543]",23.362926200032234,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,23.571399600012228,None,['3'],1,[-0.0010793001856654882],23.571399600012228,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,23.654210599837825,None,['1'],1,[0.04611999983899295],23.654210599837825,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,23.792817699955776,None,"['2', '3']",1,"[-0.025238800095394254, 0.09486950002610683]",23.792817699955776,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,24.00290219997987,None,['1'],1,[0.006120200036093593],24.00290219997987,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
