Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C1,0:26,16,['2'],2,Images/TMTstop-control_1_1linestimulus13.png,Images/TMTstop-control_1_1greenlinestimulus13.png,Images/TMTstop-control_1_1redlinestimulus13.png,TMT_Control,C1,16,None,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,2,0,11.12684979988262,37.2915795003064,None,"['1', '2']",1,"[0.09591990010812879, 0.12532499991357327]",37.2915795003064,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,17,['3'],3,Images/TMTstop-control_1_1linestimulus14.png,Images/TMTstop-control_1_1greenlinestimulus14.png,Images/TMTstop-control_1_1redlinestimulus14.png,TMT_Control,C1,17,None,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,1,1,11.21084630023688,37.49225760018453,None,['3'],1,[0.013227600138634443],37.49225760018453,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,18,['2'],2,Images/TMTstop-control_1_1linestimulus15.png,Images/TMTstop-control_1_1greenlinestimulus15.png,Images/TMTstop-control_1_1redlinestimulus15.png,TMT_Control,C1,18,None,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,2,0,11.42784810019657,37.57569980015978,None,"['1', '2']",1,"[0.10593389999121428, 0.15823940001428127]",37.57569980015978,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,19,['1'],1,Images/TMTstop-control_1_1linestimulus16.png,Images/TMTstop-control_1_1greenlinestimulus16.png,Images/TMTstop-control_1_1redlinestimulus16.png,TMT_Control,C1,19,None,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,2,0,11.690850399900228,37.79261390026659,None,"['3', '1']",1,"[0.035846800077706575, 0.2102952003479004]",37.79261390026659,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,20,['3'],3,Images/TMTstop-control_1_1linestimulus17.png,Images/TMTstop-control_1_1greenlinestimulus17.png,Images/TMTstop-control_1_1redlinestimulus17.png,TMT_Control,C1,20,None,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,2,0,11.84182080021128,38.05571100022644,None,"['2', '3']",1,"[-0.00692019984126091, 0.08317859983071685]",38.05571100022644,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,21,['1'],1,Images/TMTstop-control_1_1linestimulus18.png,Images/TMTstop-control_1_1greenlinestimulus18.png,Images/TMTstop-control_1_1redlinestimulus18.png,TMT_Control,C1,21,None,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,1,1,12.009890499990433,38.20586120011285,None,['1'],1,[0.111950000282377],38.20586120011285,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,22,['2'],2,Images/TMTstop-control_1_1linestimulus19.png,Images/TMTstop-control_1_1greenlinestimulus19.png,Images/TMTstop-control_1_1redlinestimulus19.png,TMT_Control,C1,22,None,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,1,1,12.059816500172019,38.37384210014716,None,['2'],1,[-0.010141000151634216],38.37384210014716,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,23,['3'],3,Images/TMTstop-control_1_1linestimulus20.png,Images/TMTstop-control_1_1greenlinestimulus20.png,Images/TMTstop-control_1_1redlinestimulus20.png,TMT_Control,C1,23,None,1,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,1,1,12.114847599994391,38.42964200023562,None,['3'],1,[9.8399817943573e-05],38.42964200023562,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,24,['2'],2,Images/TMTstop-control_1_1linestimulus21.png,Images/TMTstop-control_1_1greenlinestimulus21.png,Images/TMTstop-control_1_1redlinestimulus21.png,TMT_Control,C1,24,None,1,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,2,0,12.36288549983874,38.48631320009008,None,"['1', '2']",1,"[0.12386430008336902, 0.17558389995247126]",38.48631320009008,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,25,['1'],1,Images/TMTstop-control_1_1linestimulus22.png,Images/TMTstop-control_1_1greenlinestimulus22.png,Images/TMTstop-control_1_1redlinestimulus22.png,TMT_Control,C1,25,None,1,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,2,0,12.76984339999035,38.72761519998312,None,"['3', '1']",1,"[-0.003786199726164341, 0.3503586002625525]",38.72761519998312,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,None,None,None,Images/TMTstop-control_1_1linestimulus23.png,Images/TMTstop-control_1_1greenlinestimulus23.png,Images/TMTstop-control_1_1redlinestimulus23.png,TMT_Control,C1,Feedback_last,None,1,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,0,0,,39.13444610033184,None,None,1,,39.13444610033184,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,1,['2'],2,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2.png,TMT_Control,C2,26,None,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,5,0,18.00507610011846,43.37894030008465,None,"['1', '2', '3', '1', '2']",1,"[0.5735120000317693, 0.6950727002695203, 0.7131790001876652, 0.8901348002254963, 0.9310777001082897]",43.37894030008465,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,2,['3'],3,Images/TMTstop-control_1_2.png,Images/TMTstop-control_1_2firstgreen.png,Images/TMTstop-control_1_2firstred.png,TMT_Control,C2,27,None,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,1,1,18.09816040005535,44.376549900043756,None,['3'],1,[0.025551399681717157],44.376549900043756,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,3,['2'],2,Images/TMTstop-control_1_2linestimulus0.png,Images/TMTstop-control_1_2greenlinestimulus0.png,Images/TMTstop-control_1_2redlinestimulus0.png,TMT_Control,C2,28,None,1,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,2,0,18.286121199838817,44.46657480020076,None,"['1', '2']",1,"[0.07720200018957257, 0.10127320000901818]",44.46657480020076,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,4,['3'],3,Images/TMTstop-control_1_2linestimulus1.png,Images/TMTstop-control_1_2greenlinestimulus1.png,Images/TMTstop-control_1_2redlinestimulus1.png,TMT_Control,C2,29,None,1,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,1,1,18.386128699872643,44.65014740033075,None,['3'],1,[0.036807000171393156],44.65014740033075,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,5,['2'],2,Images/TMTstop-control_1_2linestimulus2.png,Images/TMTstop-control_1_2greenlinestimulus2.png,Images/TMTstop-control_1_2redlinestimulus2.png,TMT_Control,C2,30,None,1,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,2,0,18.602107299957424,44.75030510034412,None,"['1', '2']",1,"[0.10560939973220229, 0.13166739977896214]",44.75030510034412,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,6,['3'],3,Images/TMTstop-control_1_2linestimulus3.png,Images/TMTstop-control_1_2greenlinestimulus3.png,Images/TMTstop-control_1_2redlinestimulus3.png,TMT_Control,C2,31,None,1,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,1,1,18.703162800054997,44.96662580035627,None,['3'],1,[0.0430999998934567],44.96662580035627,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C2,26:52,7,['2'],2,Images/TMTstop-control_1_2linestimulus4.png,Images/TMTstop-control_1_2greenlinestimulus4.png,Images/TMTstop-control_1_2redlinestimulus4.png,TMT_Control,C2,32,None,1,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,2,0,18.920077099930495,45.06687270011753,None,"['1', '2']",1,"[0.11128140008077025, 0.1347733000293374]",45.06687270011753,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
