Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,1,1,27.29992879999918,None,['3'],1,[-0.06599580000329297],27.29992879999918,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,2,0,27.427818600001046,None,"['1', '2']",1,"[-0.06295500000123866, -0.03408610000042245]",27.427818600001046,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,5,0,27.554680600005668,None,"['3', '1', '2', '3', '1']",1,"[-0.04657679999945685, 0.0808281000063289, 0.11441850000119302, 0.21618350000062492, 0.33352210000157356]",27.554680600005668,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,2,0,28.01060970000981,None,"['2', '3']",0,"[-0.05340579999028705, 0.03667200000199955]",28.01060970000981,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,11,0,32.25451260000409,None,"['1', '2', '3', '1', '2', '3', '1', '2', '3', '1', '2']",1,"[0.33686840000154916, 0.4660473000112688, 0.5071023000054993, 0.6730919999972684, 0.7298303999996278, 0.8224052000005031, 0.9512166000058642, 1.0159252000012202, 1.0920063000085065, 1.2128094000072451, 1.2807778999995207]",32.25451260000409,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,2,0,33.76588900000206,None,"['2', '3']",1,"[0.10112159998971038, 0.3395042999909492]",33.76588900000206,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,2,0,34.30914340000891,None,"['1', '2']",1,"[-0.08740079999552108, -0.043861999991349876]",34.30914340000891,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,1,1,34.449373399998876,None,['3'],1,[-0.05944230000022799],34.449373399998876,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,2,0,34.590840300006676,None,"['1', '2']",1,"[-0.04826020001200959, -0.011180700006661937]",34.590840300006676,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,1,1,34.71851270001207,None,['3'],1,[-0.026828400004887953],34.71851270001207,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_2.xlsx,26:52,7,['2'],2,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus4.png,TMTstop-control_1_2redlinestimulus4.png,TMT_Control,2,32,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,2,0,34.845083899999736,None,"['1', '2']",1,"[-0.03770509999594651, 0.007691200007684529]",34.845083899999736,None,,001,2022_May_10_1059,TMT_fmri,2021.2.3,None,
