NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,Keypress_count,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,3,54,22.31668659998104,None,"['1', '1', '2']",1,"[0.21331970009487122, 0.474867400014773, 0.7564524000044912]",22.31668659998104,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,2,61,23.167460500029847,None,"['2', '3']",1,"[0.3629299000604078, 0.6281836000271142]",23.167460500029847,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,2,66,23.917738200048916,None,"['1', '2']",1,"[0.06330100004561245, 0.2599186999723315]",23.917738200048916,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,1,67,24.268115299986675,None,['3'],1,[0.004790500039234757],24.268115299986675,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,1,68,24.367936599999666,None,['1'],1,[0.09799110004678369],24.367936599999666,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,2,72,24.5518709999742,None,"['2', '3']",1,"[-0.01470930001232773, 0.10054709995165467]",24.5518709999742,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,2,75,24.784987200051546,None,"['1', '2']",1,"[0.01798969996161759, 0.07385259994771332]",24.784987200051546,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,1,76,24.984993600053713,None,['3'],1,[-0.0020068000303581357],24.984993600053713,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,1,77,25.068392500048503,None,['1'],1,[0.061121099977754056],25.068392500048503,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,2,80,25.218446900020353,None,"['2', '3']",1,"[-0.030628599924966693, 0.06995849998202175]",25.218446900020353,None,,001,2022_Jan_24_1452,TMTAstop-A,2021.2.3,60.100451890552684,
