NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
19,['2'],2,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,TMT_A,A1,19,None,2,0.0,'--','--',,,,'--','--','--',
20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,TMT_A,A1,20,None,2,0.0,'--','--',,,,'--','--','--',
21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,TMT_A,A1,21,None,2,0.0,'--','--',,,,'--','--','--',
22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,TMT_A,A1,22,None,2,0.0,'--','--',,,,'--','--','--',
23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,TMT_A,A1,23,None,2,0.0,'--','--',,,,'--','--','--',
24,['3'],3,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,TMT_A,A1,24,None,2,0.0,'--','--',,,,'--','--','--',
25,['1'],1,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,TMT_A,A1,25,None,2,0.0,'--','--',,,,'--','--','--',
None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,TMT_A,A1,Feedback_last,None,2,0.0,'--','--',,,,'--','--','--',

extraInfo
participant,
session,001
date,2022_Nov_17_2320
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.914789183173966
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,A2,26,None,2,1.0,81.05115124999429,,0.0,0.0,0.0,,81.05115124999429,,0.0
2,['3'],3,TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,TMT_A,A2,27,None,2,0.0,'--','--',,,,'--','--','--',
3,['1'],1,TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,TMT_A,A2,28,None,2,0.0,'--','--',,,,'--','--','--',
4,['2'],2,TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,TMT_A,A2,29,None,2,0.0,'--','--',,,,'--','--','--',
5,['1'],1,TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,TMT_A,A2,30,None,2,0.0,'--','--',,,,'--','--','--',
6,['3'],3,TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,TMT_A,A2,31,None,2,0.0,'--','--',,,,'--','--','--',
7,['2'],2,TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,TMT_A,A2,32,None,2,0.0,'--','--',,,,'--','--','--',
8,['1'],1,TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,TMT_A,A2,33,None,2,0.0,'--','--',,,,'--','--','--',
9,['3'],3,TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,TMT_A,A2,34,None,2,0.0,'--','--',,,,'--','--','--',
10,['2'],2,TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,TMT_A,A2,35,None,2,0.0,'--','--',,,,'--','--','--',
11,['1'],1,TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,TMT_A,A2,36,None,2,0.0,'--','--',,,,'--','--','--',
12,['2'],2,TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,TMT_A,A2,37,None,2,0.0,'--','--',,,,'--','--','--',
13,['1'],1,TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,TMT_A,A2,38,None,2,0.0,'--','--',,,,'--','--','--',
14,['3'],3,TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,TMT_A,A2,39,None,2,0.0,'--','--',,,,'--','--','--',
15,['1'],1,TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,TMT_A,A2,40,None,2,0.0,'--','--',,,,'--','--','--',
16,['3'],3,TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,TMT_A,A2,41,None,2,0.0,'--','--',,,,'--','--','--',
17,['1'],1,TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,TMT_A,A2,42,None,2,0.0,'--','--',,,,'--','--','--',
18,['2'],2,TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,TMT_A,A2,43,None,2,0.0,'--','--',,,,'--','--','--',
19,['1'],1,TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,TMT_A,A2,44,None,2,0.0,'--','--',,,,'--','--','--',
20,['2'],2,TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,TMT_A,A2,45,None,2,0.0,'--','--',,,,'--','--','--',
21,['3'],3,TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,TMT_A,A2,46,None,2,0.0,'--','--',,,,'--','--','--',
22,['2'],2,TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,TMT_A,A2,47,None,2,0.0,'--','--',,,,'--','--','--',
23,['3'],3,TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,TMT_A,A2,48,None,2,0.0,'--','--',,,,'--','--','--',
24,['2'],2,TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,TMT_A,A2,49,None,2,0.0,'--','--',,,,'--','--','--',
25,['3'],3,TMTstop-A_1_2linestimulus22.png,TMTstop-A_1_2greenlinestimulus22.png,TMTstop-A_1_2redlinestimulus22.png,TMT_A,A2,50,None,2,0.0,'--','--',,,,'--','--','--',
None,None,None,TMTstop-A_1_2linestimulus23.png,TMTstop-A_1_2greenlinestimulus23.png,TMTstop-A_1_2redlinestimulus23.png,TMT_A,A2,Feedback_last,None,2,0.0,'--','--',,,,'--','--','--',

extraInfo
participant,
session,001
date,2022_Nov_17_2320
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.914789183173966
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['1'],1,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMT_A,A3,51,None,2,1.0,84.25928734999324,,0.0,0.0,0.0,,84.25928734999324,,0.0
2,['3'],3,TMTstop-A_1_3.png,TMTstop-A_1_3firstgreen.png,TMTstop-A_1_3firstred.png,TMT_A,A3,52,None,2,0.0,'--','--',,,,'--','--','--',
3,['2'],2,TMTstop-A_1_3linestimulus0.png,TMTstop-A_1_3greenlinestimulus0.png,TMTstop-A_1_3redlinestimulus0.png,TMT_A,A3,53,None,2,0.0,'--','--',,,,'--','--','--',
4,['3'],3,TMTstop-A_1_3linestimulus1.png,TMTstop-A_1_3greenlinestimulus1.png,TMTstop-A_1_3redlinestimulus1.png,TMT_A,A3,54,None,2,0.0,'--','--',,,,'--','--','--',
5,['2'],2,TMTstop-A_1_3linestimulus2.png,TMTstop-A_1_3greenlinestimulus2.png,TMTstop-A_1_3redlinestimulus2.png,TMT_A,A3,55,None,2,0.0,'--','--',,,,'--','--','--',
6,['1'],1,TMTstop-A_1_3linestimulus3.png,TMTstop-A_1_3greenlinestimulus3.png,TMTstop-A_1_3redlinestimulus3.png,TMT_A,A3,56,None,2,0.0,'--','--',,,,'--','--','--',
7,['3'],3,TMTstop-A_1_3linestimulus4.png,TMTstop-A_1_3greenlinestimulus4.png,TMTstop-A_1_3redlinestimulus4.png,TMT_A,A3,57,None,2,0.0,'--','--',,,,'--','--','--',
8,['1'],1,TMTstop-A_1_3linestimulus5.png,TMTstop-A_1_3greenlinestimulus5.png,TMTstop-A_1_3redlinestimulus5.png,TMT_A,A3,58,None,2,0.0,'--','--',,,,'--','--','--',
9,['3'],3,TMTstop-A_1_3linestimulus6.png,TMTstop-A_1_3greenlinestimulus6.png,TMTstop-A_1_3redlinestimulus6.png,TMT_A,A3,59,None,2,0.0,'--','--',,,,'--','--','--',
10,['2'],2,TMTstop-A_1_3linestimulus7.png,TMTstop-A_1_3greenlinestimulus7.png,TMTstop-A_1_3redlinestimulus7.png,TMT_A,A3,60,None,2,0.0,'--','--',,,,'--','--','--',
11,['3'],3,TMTstop-A_1_3linestimulus8.png,TMTstop-A_1_3greenlinestimulus8.png,TMTstop-A_1_3redlinestimulus8.png,TMT_A,A3,61,None,2,0.0,'--','--',,,,'--','--','--',
12,['2'],2,TMTstop-A_1_3linestimulus9.png,TMTstop-A_1_3greenlinestimulus9.png,TMTstop-A_1_3redlinestimulus9.png,TMT_A,A3,62,None,2,0.0,'--','--',,,,'--','--','--',
13,['1'],1,TMTstop-A_1_3linestimulus10.png,TMTstop-A_1_3greenlinestimulus10.png,TMTstop-A_1_3redlinestimulus10.png,TMT_A,A3,63,None,2,0.0,'--','--',,,,'--','--','--',
14,['2'],2,TMTstop-A_1_3linestimulus11.png,TMTstop-A_1_3greenlinestimulus11.png,TMTstop-A_1_3redlinestimulus11.png,TMT_A,A3,64,None,2,0.0,'--','--',,,,'--','--','--',
15,['3'],3,TMTstop-A_1_3linestimulus12.png,TMTstop-A_1_3greenlinestimulus12.png,TMTstop-A_1_3redlinestimulus12.png,TMT_A,A3,65,None,2,0.0,'--','--',,,,'--','--','--',
16,['2'],2,TMTstop-A_1_3linestimulus13.png,TMTstop-A_1_3greenlinestimulus13.png,TMTstop-A_1_3redlinestimulus13.png,TMT_A,A3,66,None,2,0.0,'--','--',,,,'--','--','--',
17,['3'],3,TMTstop-A_1_3linestimulus14.png,TMTstop-A_1_3greenlinestimulus14.png,TMTstop-A_1_3redlinestimulus14.png,TMT_A,A3,67,None,2,0.0,'--','--',,,,'--','--','--',
18,['2'],2,TMTstop-A_1_3linestimulus15.png,TMTstop-A_1_3greenlinestimulus15.png,TMTstop-A_1_3redlinestimulus15.png,TMT_A,A3,68,None,2,0.0,'--','--',,,,'--','--','--',
19,['3'],3,TMTstop-A_1_3linestimulus16.png,TMTstop-A_1_3greenlinestimulus16.png,TMTstop-A_1_3redlinestimulus16.png,TMT_A,A3,69,None,2,0.0,'--','--',,,,'--','--','--',
20,['1'],1,TMTstop-A_1_3linestimulus17.png,TMTstop-A_1_3greenlinestimulus17.png,TMTstop-A_1_3redlinestimulus17.png,TMT_A,A3,70,None,2,0.0,'--','--',,,,'--','--','--',
21,['2'],2,TMTstop-A_1_3linestimulus18.png,TMTstop-A_1_3greenlinestimulus18.png,TMTstop-A_1_3redlinestimulus18.png,TMT_A,A3,71,None,2,0.0,'--','--',,,,'--','--','--',
22,['3'],3,TMTstop-A_1_3linestimulus19.png,TMTstop-A_1_3greenlinestimulus19.png,TMTstop-A_1_3redlinestimulus19.png,TMT_A,A3,72,None,2,0.0,'--','--',,,,'--','--','--',
23,['2'],2,TMTstop-A_1_3linestimulus20.png,TMTstop-A_1_3greenlinestimulus20.png,TMTstop-A_1_3redlinestimulus20.png,TMT_A,A3,73,None,2,0.0,'--','--',,,,'--','--','--',
24,['1'],1,TMTstop-A_1_3linestimulus21.png,TMTstop-A_1_3greenlinestimulus21.png,TMTstop-A_1_3redlinestimulus21.png,TMT_A,A3,74,None,2,0.0,'--','--',,,,'--','--','--',
25,['2'],2,TMTstop-A_1_3linestimulus22.png,TMTstop-A_1_3greenlinestimulus22.png,TMTstop-A_1_3redlinestimulus22.png,TMT_A,A3,75,None,2,0.0,'--','--',,,,'--','--','--',
None,None,None,TMTstop-A_1_3linestimulus23.png,TMTstop-A_1_3greenlinestimulus23.png,TMTstop-A_1_3redlinestimulus23.png,TMT_A,A3,Feedback_last,None,2,0.0,'--','--',,,,'--','--','--',

extraInfo
participant,
session,001
date,2022_Nov_17_2320
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,59.914789183173966
