Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_baseline2.thisRepN,Blocks_baseline2.thisTrialN,Blocks_baseline2.thisN,Blocks_baseline2.thisIndex,trials_baseline2.thisRepN,trials_baseline2.thisTrialN,trials_baseline2.thisN,trials_baseline2.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,None,1,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,40.059043200002634,62.951175500005775,None,"['1', '3']",1,"[0.06803750000108266, 0.18010929999582004]",62.951175500005775,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,None,1,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,40.100084400000924,63.18067720000545,None,['2'],1,[-0.02092139999876963],63.18067720000545,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,None,1,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,40.20104870000068,63.21916179999971,None,['1'],1,[0.05737740000040503],63.21916179999971,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,None,1,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,63.32108960000187,None,"['3', '2', '1']",0,"[0.05808450000040466, 0.10776289999921573, 0.21396459999959916]",63.32108960000187,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,None,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,45.54398700000456,67.50127749999956,None,"['3', '2']",1,"[1.0920857000019168, 1.1170748000004096]",67.50127749999956,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,None,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,45.805039900005795,68.66572140000062,None,"['1', '3']",1,"[0.10188339999876916, 0.21126749999530148]",68.66572140000062,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,None,1,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,45.84225520000473,68.92301350000344,None,['2'],1,[-0.00909230000252137],68.92301350000344,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,None,1,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,46.047859700003755,68.96121050000511,None,"['1', '3']",1,"[0.0504715000060969, 0.15951550000318093]",68.96121050000511,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_2.xlsx,26:52,5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,None,1,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,46.08797179999965,69.16876110000157,None,['2'],1,[-0.03526599999895552],69.16876110000157,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_2.xlsx,26:52,6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,None,1,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,46.311092000003555,69.20882400000119,None,"['1', '3']",1,"[0.041682099996251054, 0.15595059999759542]",69.20882400000119,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
