Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_2.xlsx,26:52,10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,0,1,1,1,0,9,9,9,,,,,,,1,1,42.76445060000697,None,['2'],1,[0.2244893999886699],42.76445060000697,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,0,1,1,1,0,10,10,10,,,,,,,1,1,43.04794220000622,None,['3'],1,[0.2092391000041971],43.04794220000622,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,0,1,1,1,0,11,11,11,,,,,,,1,1,43.31473160001042,None,['2'],1,[0.2443102999968687],43.31473160001042,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,0,1,1,1,0,12,12,12,,,,,,,1,1,43.67447460000403,None,['3'],1,[0.1925665000017034],43.67447460000403,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,0,1,1,1,0,13,13,13,,,,,,,1,1,44.00118000000657,None,['2'],1,[0.13321830000495538],44.00118000000657,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,0,1,1,1,0,14,14,14,,,,,,,1,1,44.24801490000391,None,['3'],1,[0.28719920000003185],44.24801490000391,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,0,1,1,1,0,15,15,15,,,,,,,1,1,44.65643240000645,None,['1'],1,[0.2387596000044141],44.65643240000645,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,0,1,1,1,0,16,16,16,,,,,,,1,1,45.00206940001226,None,['2'],1,[0.18607139999221545],45.00206940001226,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,18,['1'],1,TMTstop-control_1_2linestimulus15.png,TMTstop-control_1_2greenlinestimulus15.png,TMTstop-control_1_2redlinestimulus15.png,TMT_Control,2,43,0,1,1,1,0,17,17,17,,,,,,,1,1,45.28003270000045,None,['1'],1,[0.30213979999825824],45.28003270000045,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,19,['2'],2,TMTstop-control_1_2linestimulus16.png,TMTstop-control_1_2greenlinestimulus16.png,TMTstop-control_1_2redlinestimulus16.png,TMT_Control,2,44,0,1,1,1,0,18,18,18,,,,,,,1,1,45.681279299999005,None,['2'],1,[0.22072499999194406],45.681279299999005,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,20,['3'],3,TMTstop-control_1_2linestimulus17.png,TMTstop-control_1_2greenlinestimulus17.png,TMTstop-control_1_2redlinestimulus17.png,TMT_Control,2,45,0,1,1,1,0,19,19,19,,,,,,,1,1,45.98130930001207,None,['3'],1,[0.21503629999642726],45.98130930001207,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,21,['1'],1,TMTstop-control_1_2linestimulus18.png,TMTstop-control_1_2greenlinestimulus18.png,TMTstop-control_1_2redlinestimulus18.png,TMT_Control,2,46,0,1,1,1,0,20,20,20,,,,,,,1,1,46.248019800012116,None,['1'],1,[0.2548220000026049],46.248019800012116,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,22,['3'],3,TMTstop-control_1_2linestimulus19.png,TMTstop-control_1_2greenlinestimulus19.png,TMTstop-control_1_2redlinestimulus19.png,TMT_Control,2,47,0,1,1,1,0,21,21,21,,,,,,,1,1,46.59804300000542,None,['3'],1,[0.2586163000087254],46.59804300000542,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,23,['2'],2,TMTstop-control_1_2linestimulus20.png,TMTstop-control_1_2greenlinestimulus20.png,TMTstop-control_1_2redlinestimulus20.png,TMT_Control,2,48,0,1,1,1,0,22,22,22,,,,,,,1,1,46.97981850001088,None,['2'],1,[0.17369300000427756],46.97981850001088,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,24,['3'],3,TMTstop-control_1_2linestimulus21.png,TMTstop-control_1_2greenlinestimulus21.png,TMTstop-control_1_2redlinestimulus21.png,TMT_Control,2,49,0,1,1,1,0,23,23,23,,,,,,,1,1,47.24796360000619,None,['3'],1,[0.19632739998633042],47.24796360000619,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,25,['1'],1,TMTstop-control_1_2linestimulus22.png,TMTstop-control_1_2greenlinestimulus22.png,TMTstop-control_1_2redlinestimulus22.png,TMT_Control,2,50,0,1,1,1,0,24,24,24,,,,,,,1,1,47.53961560000607,None,['1'],1,[1.3376284999976633],47.53961560000607,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
TMTstop-Control_1_2.xlsx,26:52,None,None,None,TMTstop-control_1_2linestimulus23.png,TMTstop-control_1_2greenlinestimulus23.png,TMTstop-control_1_2redlinestimulus23.png,TMT_Control,2,Feedback_last,0,1,1,1,0,25,25,25,,,,,,,0,0,48.98154960000829,None,None,1,,48.98154960000829,None,,001,2022_May_10_1433,TMT_fmri,2021.2.3,123.21082481031756,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
