Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_1.xlsx,0:26,12,['1'],1,TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,TMT_B,1,23,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,1,1,95.69808439999179,None,['1'],1,[3.7523364999942714],95.69808439999179,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,L,['2'],2,TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,TMT_B,1,24,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,1,1,99.54499409999698,None,['2'],1,[0.3755016000068281],99.54499409999698,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,13,['1'],1,TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,TMT_B,1,25,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,1,1,100.07569299999159,None,['1'],1,[0.7603841999953147],100.07569299999159,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,None,None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,TMT_B,1,Feedback_last,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,0,0,101.04222389998904,None,None,1,,101.04222389998904,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_2.xlsx,26:52,1,['2'],1,TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMT_B,2,26,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,3,0,105.17559249998885,None,"['1', '3', '2']",1,"[1.8683911000116495, 5.360276799998246, 5.957392600001185]",105.17559249998885,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_2.xlsx,26:52,A,['3'],2,TMTstop-B_1_2.png,TMTstop-B_1_2firstgreen.png,TMTstop-B_1_2firstred.png,TMT_B,2,27,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,3,0,111.27544889999263,None,"['2', '1', '3']",1,"[7.8856008000002475, 10.159380700002657, 11.422646999999415]",111.27544889999263,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_2.xlsx,26:52,2,['1'],1,TMTstop-B_1_2linestimulus0.png,TMTstop-B_1_2greenlinestimulus0.png,TMTstop-B_1_2redlinestimulus0.png,TMT_B,2,28,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,1,1,122.87545389999286,None,['1'],1,[4.206788099996629],122.87545389999286,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_2.xlsx,26:52,B,['2'],2,TMTstop-B_1_2linestimulus1.png,TMTstop-B_1_2greenlinestimulus1.png,TMTstop-B_1_2redlinestimulus1.png,TMT_B,2,29,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,1,1,127.19485949999944,None,['2'],1,[5.020066199998837],127.19485949999944,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_2.xlsx,26:52,3,['3'],1,TMTstop-B_1_2linestimulus2.png,TMTstop-B_1_2greenlinestimulus2.png,TMTstop-B_1_2redlinestimulus2.png,TMT_B,2,30,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,2,0,132.39608459999727,None,"['1', '3']",1,"[1.3988490000047022, 4.554291200009175]",132.39608459999727,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
