Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Blocks_TMTControl_2.thisRepN,Blocks_TMTControl_2.thisTrialN,Blocks_TMTControl_2.thisN,Blocks_TMTControl_2.thisIndex,trials_TMTControl_2.thisRepN,trials_TMTControl_2.thisTrialN,trials_TMTControl_2.thisN,trials_TMTControl_2.thisIndex,Blocks_TMTA_2.thisRepN,Blocks_TMTA_2.thisTrialN,Blocks_TMTA_2.thisN,Blocks_TMTA_2.thisIndex,trials_TMTA_2.thisRepN,trials_TMTA_2.thisTrialN,trials_TMTA_2.thisN,trials_TMTA_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,15.053148400009377,None,"['2', '3']",1,"[-0.09461869999358896, 0.03665310000360478]",15.053148400009377,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15.181993500009412,None,['1'],1,[0.04068340000230819],15.181993500009412,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15.30706380000629,None,['2'],1,[-0.010697599995182827],15.30706380000629,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15.433191300006001,None,['3'],1,[-0.0017771999991964549],15.433191300006001,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,15.56099890000769,None,"['1', '2']",1,"[-0.008690600006957538, 0.06203010000172071]",15.56099890000769,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,15.828612600002089,None,"['3', '1']",1,"[-0.05995950000942685, 0.10851910000201315]",15.828612600002089,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16.097434399998747,None,None,1,,16.097434399998747,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20.21722469999804,None,['2'],1,[1.0574202999996487],20.21722469999804,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,21.415458700008458,None,"['1', '3']",1,"[0.013778199994703755, 0.13964239999768324]",21.415458700008458,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21.69611000000441,None,None,0,,21.69611000000441,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_3.xlsx,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,3,51,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,59.28032483334149,None,None,0,,59.28032483334149,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
TMTstop-Control_1_4.xlsx,78:104,1,['2'],2,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMT_Control,4,76,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,59.44699150000815,None,None,0,,59.44699150000815,None,,001,2022_May_10_1120,TMT_fmri,2021.2.3,122.71098005607219,
