NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,1.0,43.047943115234375,43.047943115234375,0.0,,1.0,1.0,0.0,3,0.2092391000041971,43.047943115234375,43.047943115234375,0.0,,10.0
12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,1.0,43.31473159790039,43.31473159790039,0.0,,1.0,1.0,0.0,2,0.2443102999968687,43.31473159790039,43.31473159790039,0.0,,11.0
13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,1.0,43.67447280883789,43.67447280883789,0.0,,1.0,1.0,0.0,3,0.1925665000017034,43.67447280883789,43.67447280883789,0.0,,12.0
14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,1.0,44.00117874145508,44.00117874145508,0.0,,1.0,1.0,0.0,2,0.13321830000495538,44.00117874145508,44.00117874145508,0.0,,13.0
15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,1.0,44.248016357421875,44.248016357421875,0.0,,1.0,1.0,0.0,3,0.28719920000003185,44.248016357421875,44.248016357421875,0.0,,14.0
16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,1.0,44.65643310546875,44.65643310546875,0.0,,1.0,1.0,0.0,1,0.2387596000044141,44.65643310546875,44.65643310546875,0.0,,15.0
17,['2'],2,TMTstop-control_1_2linestimulus14.png,TMTstop-control_1_2greenlinestimulus14.png,TMTstop-control_1_2redlinestimulus14.png,TMT_Control,2,42,1.0,45.00206756591797,45.00206756591797,0.0,,1.0,1.0,0.0,2,0.18607139999221545,45.00206756591797,45.00206756591797,0.0,,16.0
18,['1'],1,TMTstop-control_1_2linestimulus15.png,TMTstop-control_1_2greenlinestimulus15.png,TMTstop-control_1_2redlinestimulus15.png,TMT_Control,2,43,1.0,45.280033111572266,45.280033111572266,0.0,,1.0,1.0,0.0,1,0.30213979999825824,45.280033111572266,45.280033111572266,0.0,,17.0
19,['2'],2,TMTstop-control_1_2linestimulus16.png,TMTstop-control_1_2greenlinestimulus16.png,TMTstop-control_1_2redlinestimulus16.png,TMT_Control,2,44,1.0,45.681278228759766,45.681278228759766,0.0,,1.0,1.0,0.0,2,0.22072499999194406,45.681278228759766,45.681278228759766,0.0,,18.0
20,['3'],3,TMTstop-control_1_2linestimulus17.png,TMTstop-control_1_2greenlinestimulus17.png,TMTstop-control_1_2redlinestimulus17.png,TMT_Control,2,45,1.0,45.98130798339844,45.98130798339844,0.0,,1.0,1.0,0.0,3,0.21503629999642726,45.98130798339844,45.98130798339844,0.0,,19.0
21,['1'],1,TMTstop-control_1_2linestimulus18.png,TMTstop-control_1_2greenlinestimulus18.png,TMTstop-control_1_2redlinestimulus18.png,TMT_Control,2,46,1.0,46.24802017211914,46.24802017211914,0.0,,1.0,1.0,0.0,1,0.2548220000026049,46.24802017211914,46.24802017211914,0.0,,20.0
22,['3'],3,TMTstop-control_1_2linestimulus19.png,TMTstop-control_1_2greenlinestimulus19.png,TMTstop-control_1_2redlinestimulus19.png,TMT_Control,2,47,1.0,46.59804153442383,46.59804153442383,0.0,,1.0,1.0,0.0,3,0.2586163000087254,46.59804153442383,46.59804153442383,0.0,,21.0
23,['2'],2,TMTstop-control_1_2linestimulus20.png,TMTstop-control_1_2greenlinestimulus20.png,TMTstop-control_1_2redlinestimulus20.png,TMT_Control,2,48,1.0,46.979820251464844,46.979820251464844,0.0,,1.0,1.0,0.0,2,0.17369300000427756,46.979820251464844,46.979820251464844,0.0,,22.0
24,['3'],3,TMTstop-control_1_2linestimulus21.png,TMTstop-control_1_2greenlinestimulus21.png,TMTstop-control_1_2redlinestimulus21.png,TMT_Control,2,49,1.0,47.247962951660156,47.247962951660156,0.0,,1.0,1.0,0.0,3,0.19632739998633042,47.247962951660156,47.247962951660156,0.0,,23.0
25,['1'],1,TMTstop-control_1_2linestimulus22.png,TMTstop-control_1_2greenlinestimulus22.png,TMTstop-control_1_2redlinestimulus22.png,TMT_Control,2,50,1.0,47.539615631103516,47.539615631103516,0.0,,1.0,1.0,0.0,1,1.3376284999976633,47.539615631103516,47.539615631103516,0.0,,24.0
None,None,None,TMTstop-control_1_2linestimulus23.png,TMTstop-control_1_2greenlinestimulus23.png,TMTstop-control_1_2redlinestimulus23.png,TMT_Control,2,Feedback_last,1.0,48.98154830932617,48.98154830932617,0.0,,1.0,1.0,0.0,,'--',48.98154830932617,48.98154830932617,0.0,,25.0

