NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,25.23950819997117,None,1,0.10262220003642142,25.23950819997117,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,25.419442599872127,None,2,0.031113100005313754,25.419442599872127,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,25.530830199830234,None,3,0.049064600141718984,25.530830199830234,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,26.61904749996029,None,2,1.0069059999659657,26.61904749996029,None,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,27.687735399929807,None,,,,,,,,,,,,,30.703835799824446,None,['2'],1,[0.5420765001326799],30.703835799824446,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,31.31520379986614,None,['1'],1,[0.346836999990046],31.31520379986614,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,31.732009299797937,None,['2'],1,[0.025717200012877584],31.732009299797937,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,31.829192199977115,None,['3'],1,[0.05691469996236265],31.829192199977115,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,31.96120379981585,None,"['1', '2']",1,"[0.06961260014213622, 0.1293204000685364]",31.96120379981585,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,32.19701959984377,None,['3'],1,[0.02097009983845055],32.19701959984377,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,32.301678400021046,None,"['1', '2']",1,"[0.04410280007869005, 0.11048289993777871]",32.301678400021046,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,32.516445599962026,None,"['3', '1']",1,"[0.02135140006430447, 0.17755790008231997]",32.516445599962026,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,32.787945799995214,None,['2'],1,[-0.02548319986090064],32.787945799995214,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,32.87844829983078,None,"['3', '1']",1,"[0.013057499891147017, 0.15876600006595254]",32.87844829983078,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,33.12265709997155,None,['2'],1,[-0.03526290017180145],33.12265709997155,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,33.2053460997995,None,['3'],1,[0.011514599900692701],33.2053460997995,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,33.30231079994701,None,"['1', '2']",1,"[0.055675100069493055, 0.10924799996428192]",33.30231079994701,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,33.48883829987608,None,['3'],1,[0.05666440003551543],33.48883829987608,None,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
