Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,1,11,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,1,1,53.49723879992962,None,['2'],1,[0.00674699991941452],53.49723879992962,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,12,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,1,1,53.587649800116196,None,['3'],1,[-0.010834400076419115],53.587649800116196,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,13,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,2,0,53.66377079999074,None,"['1', '2']",1,"[0.06038649985566735, 0.15887839999049902]",53.66377079999074,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,14,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,1,1,53.92819120013155,None,['3'],1,[-0.04147549998015165],53.92819120013155,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,15,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,1,1,54.00439100014046,None,['1'],1,[0.11151339998468757],54.00439100014046,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,16,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,2,0,54.199422100093216,None,"['2', '3']",1,"[0.017569500021636486, 0.10539290006272495]",54.199422100093216,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,17,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,2,0,54.42091610003263,None,"['1', '2']",1,"[0.053497100016102195, 0.11642870004288852]",54.42091610003263,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,18,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,1,1,54.61613960005343,None,['3'],1,[0.038598400074988604],54.61613960005343,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,19,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,1,1,54.734068900113925,None,['1'],1,[0.047699399990960956],54.734068900113925,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
TMTstop-A_1_1.xlsx,0:26,20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,20,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,2,0,54.86538999993354,None,"['2', '3']",1,"[0.0180846001021564, 0.1097577998880297]",54.86538999993354,None,,001,2022_Feb_02_1715,TMTAstop-A,2021.2.3,None,
