Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,2,0,28.87346269999398,None,"['2', '3']",1,"[0.013332999995327555, 0.09678259999782313]",28.87346269999398,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,24,['1'],1,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,1,1,29.046971000003396,None,['1'],1,[0.053849599993554875],29.046971000003396,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,25,['3'],3,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,2,0,29.171858999994583,None,"['2', '3']",1,"[-0.010553700005402789, 0.11284449999220669]",29.171858999994583,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,1,1,29.366202200006228,None,['2'],0,[0.1621572999865748],29.366202200006228,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_2.xlsx,26:52,1,['1'],1,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,3,0,33.49099720000231,None,"['2', '3', '1']",1,"[0.6307458000082988, 1.1257197000086308, 1.3881153000111226]",33.49099720000231,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,2,0,35.0331268000009,None,"['2', '3']",1,"[0.4338791000045603, 0.9982529000117211]",35.0331268000009,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,0,0,36.11620449999464,None,None,0,,36.11620449999464,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-A_1_1.xlsx,0:26,1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,1,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,1,55.44170130000566,None,['2'],1,[1.0446910000027856],55.44170130000566,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-A_1_1.xlsx,0:26,2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,1,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,1,1,56.56689620000543,None,['1'],1,[0.4618107999995118],56.56689620000543,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
TMTstop-A_1_1.xlsx,0:26,3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,1,3,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,1,1,57.10886369999207,None,['2'],1,[0.1783897999994224],57.10886369999207,None,,001,2022_Mar_30_1015,TMT_fmri,2021.2.3,143.5661545785615,
