Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,1,11,,,,,,,,,0,0,0,0,0,10,10,10,1,1,21.815262699965388,None,['2'],1,[-0.03141230018809438],21.815262699965388,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,12,,,,,,,,,0,0,0,0,0,11,11,11,1,1,21.891749900067225,None,['3'],1,[0.021950199967250228],21.891749900067225,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,13,,,,,,,,,0,0,0,0,0,12,12,12,2,0,21.99561830004677,None,"['1', '2']",1,"[0.12295520002953708, 0.1886060000397265]",21.99561830004677,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,14,,,,,,,,,0,0,0,0,0,13,13,13,1,1,22.280410500010476,None,['3'],1,[0.02968659996986389],22.280410500010476,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,15,,,,,,,,,0,0,0,0,0,14,14,14,1,1,22.391811199951917,None,['1'],1,[0.08710190001875162],22.391811199951917,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,16,,,,,,,,,0,0,0,0,0,15,15,15,2,0,22.55831960006617,None,"['2', '3']",1,"[-0.0052235000766813755, 0.11482260003685951]",22.55831960006617,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,17,,,,,,,,,0,0,0,0,0,16,16,16,2,0,22.767447399906814,None,"['1', '2']",1,"[0.10854769987054169, 0.18013940006494522]",22.767447399906814,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,18,,,,,,,,,0,0,0,0,0,17,17,17,1,1,23.04418019996956,None,['3'],1,[0.042930399999022484],23.04418019996956,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,19,,,,,,,,,0,0,0,0,0,18,18,18,1,1,23.16385510005057,None,['1'],1,[0.10716110002249479],23.16385510005057,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
TMTstop-A_1_1.xlsx,0:26,20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,20,,,,,,,,,0,0,0,0,0,19,19,19,2,0,23.35683869989589,None,"['2', '3']",1,"[-0.02346099982969463, 0.0991793000139296]",23.35683869989589,None,,001,2022_Feb_02_1510,TMTAstop-A,2021.2.3,144.16388549085815,
