Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,First_attempt,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,24,['2'],2,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,1,24,,,,,,,,,0,0,0,0,0,23,23,23,1,22.38116839993745,None,['2'],1,[-0.012170499889180064],22.38116839993745,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,25,['3'],3,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,1,25,,,,,,,,,0,0,0,0,0,24,24,24,1,22.457400399958715,None,['3'],1,[0.011716499924659729],22.457400399958715,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_1.xlsx,0:26,None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,1,None,,,,,,,,,0,0,0,0,0,25,25,25,2,22.547795800026506,None,"['1', '2']",0,"[0.08244049991481006, 0.23018689989112318]",22.547795800026506,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,1,['3'],3,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,2,26,,,,,,,,,0,1,1,1,0,0,0,0,3,26.699949499918148,None,"['1', '2', '3']",1,"[0.2816120001953095, 0.4060561000369489, 0.4725053000729531]",26.699949499918148,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,2,['2'],2,TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,2,27,,,,,,,,,0,1,1,1,0,1,1,1,2,27.269605099922046,None,"['1', '2']",1,"[0.056183099979534745, 0.1231243999209255]",27.269605099922046,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,3,['3'],3,TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,2,28,,,,,,,,,0,1,1,1,0,2,2,2,1,27.470907100010663,None,['3'],1,[0.007740500150248408],27.470907100010663,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,4,['1'],1,TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,2,29,,,,,,,,,0,1,1,1,0,3,3,3,1,27.558245700085536,None,['1'],1,[0.04491659998893738],27.558245700085536,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,5,['2'],2,TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,2,30,,,,,,,,,0,1,1,1,0,4,4,4,1,27.679835499962792,None,['2'],1,[0.020957999862730503],27.679835499962792,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,6,['3'],3,TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,2,31,,,,,,,,,0,1,1,1,0,5,5,5,1,27.77694520005025,None,['3'],1,[-0.0029928998555988073],27.77694520005025,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,7,['2'],2,TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,2,32,,,,,,,,,0,1,1,1,0,6,6,6,2,27.84627930005081,None,"['1', '2']",1,"[0.05075210006907582, 0.13371930015273392]",27.84627930005081,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,8,['1'],1,TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,2,33,,,,,,,,,0,1,1,1,0,7,7,7,2,28.06122269993648,None,"['3', '1']",1,"[0.0006762000266462564, 0.10649159993045032]",28.06122269993648,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,9,['2'],2,TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,2,34,,,,,,,,,0,1,1,1,0,8,8,8,1,28.255791400093585,None,['2'],1,[0.022433300036937],28.255791400093585,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,10,['3'],3,TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,2,35,,,,,,,,,0,1,1,1,0,9,9,9,1,28.35284940013662,None,['3'],1,[0.015169999795034528],28.35284940013662,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,11,['1'],1,TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,2,36,,,,,,,,,0,1,1,1,0,10,10,10,1,28.443320600083098,None,['1'],1,[0.06004310003481805],28.443320600083098,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
TMTstop-A_1_2.xlsx,26:52,12,['2'],2,TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,2,37,,,,,,,,,0,1,1,1,0,11,11,11,1,28.59035150008276,None,['2'],1,[0.006459099939092994],28.59035150008276,None,1,,001,2022_Feb_02_1506,TMTAstop-A,2021.2.3,144.25538945597455,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,28.6683315301314,None,None,0,,28.6683315301314,None,,,,,,,,
