Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_practice.keys,key_resp_practice.rt,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,1,1,20.922819099854678,None,['3'],1,[0.024884700076654553],20.922819099854678,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,2,1,21.026679700007662,None,"['1', '2']",1,"[0.0487981999758631, 0.1167199001647532]",21.026679700007662,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,1,1,21.24215120007284,None,['3'],1,[0.025595400016754866],21.24215120007284,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,1,1,21.35339180007577,None,['1'],1,[0.038939200108870864],21.35339180007577,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,2,1,21.47879679990001,None,"['2', '3']",1,"[-0.01586799998767674, 0.11433979985304177]",21.47879679990001,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,2,1,21.680256000021473,None,"['1', '2']",1,"[0.02987090009264648, 0.1192153999581933]",21.680256000021473,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,1,1,21.880791699979454,None,['3'],1,[0.017879300052300096],21.880791699979454,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,1,1,21.985518499976024,None,['1'],1,[0.04099239991046488],21.985518499976024,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,2,1,22.103033399907872,None,"['2', '3']",1,"[0.009646899998188019, 0.12847999995574355]",22.103033399907872,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
TMTstop-A_1_1.xlsx,0:26,21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,1,1,22.326927500078455,None,['1'],1,[0.01842939993366599],22.326927500078455,None,,001,2022_Feb_02_1400,TMTAstop-A,2021.2.3,141.70226962475823,
