NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,C,,,,,,,,,0,5,5,5,,,,,,,,,158.4616822000011,None,None,0,,158.4616822000011,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,4,,,,,,,,,0,6,6,6,,,,,,,,,158.54501553333444,None,None,0,,158.54501553333444,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,D,,,,,,,,,0,7,7,7,,,,,,,,,158.6116822000011,None,None,0,,158.6116822000011,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,5,,,,,,,,,0,8,8,8,,,,,,,,,158.67834886666776,None,None,0,,158.67834886666776,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-B_1_2linestimulus7.png,TMT-B_1_2greenlinestimulus7.png,TMT-B_1_2redlinestimulus7.png,10,,E,,,,,,,,,0,9,9,9,,,,,,,,,158.74501553333442,None,None,0,,158.74501553333442,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus8.png,TMT-B_1_2greenlinestimulus8.png,TMT-B_1_2redlinestimulus8.png,10,,6,,,,,,,,,0,10,10,10,,,,,,,,,158.82834886666777,None,None,0,,158.82834886666777,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-B_1_2linestimulus9.png,TMT-B_1_2greenlinestimulus9.png,TMT-B_1_2redlinestimulus9.png,10,,F,,,,,,,,,0,11,11,11,,,,,,,,,158.89501553333443,None,None,0,,158.89501553333443,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,None,None,TMT-B_1_2greenlinestimulus10.png,TMT-B_1_2redlinestimulus10.png,1,,None,,,,,,,,,0,12,12,12,,,,,,,,,158.9616822000011,None,None,1,,158.9616822000011,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_2.png,TMT-BX_1_2.png,TMT-BX_1_2.png,,7,,,,,,,,,,,,,,0,0,0,0,,,,,162.1137745333302,None,None,0,,162.1137745333302,None,159.01391409999633,None,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_2.png,TMT-BX_1_2firstgreen.png,TMT-BX_1_2firstred.png,,G,,,,,,,,,,,,,,0,1,1,1,,,,,162.18044119999686,None,None,0,,162.18044119999686,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_2linestimulus0.png,TMT-BX_1_2greenlinestimulus0.png,TMT-BX_1_2redlinestimulus0.png,,8,,,,,,,,,,,,,,0,2,2,2,,,,,162.24710786666353,None,None,0,,162.24710786666353,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_2linestimulus1.png,TMT-BX_1_2greenlinestimulus1.png,TMT-BX_1_2redlinestimulus1.png,,H,,,,,,,,,,,,,,0,3,3,3,,,,,162.31377453333022,None,None,0,,162.31377453333022,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_2linestimulus2.png,TMT-BX_1_2greenlinestimulus2.png,TMT-BX_1_2redlinestimulus2.png,,9,,,,,,,,,,,,,,0,4,4,4,,,,,162.39710786666353,None,None,0,,162.39710786666353,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,1,TMT-BX_1_2linestimulus3.png,TMT-BX_1_2greenlinestimulus3.png,TMT-BX_1_2redlinestimulus3.png,,I,,,,,,,,,,,,,,0,5,5,5,,,,,162.4637745333302,None,None,0,,162.4637745333302,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_2linestimulus4.png,TMT-BX_1_2greenlinestimulus4.png,TMT-BX_1_2redlinestimulus4.png,,10,,,,,,,,,,,,,,0,6,6,6,,,,,162.54710786666354,None,None,0,,162.54710786666354,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_2linestimulus5.png,TMT-BX_1_2greenlinestimulus5.png,TMT-BX_1_2redlinestimulus5.png,,J,,,,,,,,,,,,,,0,7,7,7,,,,,162.63044119999688,None,None,0,,162.63044119999688,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_2linestimulus6.png,TMT-BX_1_2greenlinestimulus6.png,TMT-BX_1_2redlinestimulus6.png,,11,,,,,,,,,,,,,,0,8,8,8,,,,,162.69710786666354,None,None,0,,162.69710786666354,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_2linestimulus7.png,TMT-BX_1_2greenlinestimulus7.png,TMT-BX_1_2redlinestimulus7.png,,K,,,,,,,,,,,,,,0,9,9,9,,,,,162.78044119999686,None,None,0,,162.78044119999686,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,3,TMT-BX_1_2linestimulus8.png,TMT-BX_1_2greenlinestimulus8.png,TMT-BX_1_2redlinestimulus8.png,,12,,,,,,,,,,,,,,0,10,10,10,,,,,162.8637745333302,None,None,0,,162.8637745333302,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,2,TMT-BX_1_2linestimulus9.png,TMT-BX_1_2greenlinestimulus9.png,TMT-BX_1_2redlinestimulus9.png,,L,,,,,,,,,,,,,,0,11,11,11,,,,,162.93044119999686,None,None,0,,162.93044119999686,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,None,None,TMT-BX_1_2greenlinestimulus10.png,TMT-BX_1_2redlinestimulus10.png,,None,,,,,,,,,,,,,,0,12,12,12,,,,,163.0137745333302,None,None,1,,163.0137745333302,None,,,,,,001,2021_Oct_28_1036,TMTAB,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.03212659999554,None,,,,,,,
