NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['1'],TMT-B_1_5linestimulus8.png,TMT-B_1_5greenlinestimulus8.png,TMT-B_1_5redlinestimulus8.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,79.26253079999879,None,['3'],0,[-0.11356610000075307],79.26253079999879,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
12,['2'],TMT-B_1_5linestimulus9.png,TMT-B_1_5greenlinestimulus9.png,TMT-B_1_5redlinestimulus9.png,10,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,79.40045049999026,None,"['1', '2']",0,"[-0.08193270000629127, -0.02028440000140108]",79.40045049999026,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
13,['3'],TMT-B_1_5linestimulus10.png,TMT-B_1_5greenlinestimulus10.png,TMT-B_1_5redlinestimulus10.png,1,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,79.53739349999523,None,['3'],1,[-0.0328289000026416],79.53739349999523,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
14,['2'],TMT-B_1_5linestimulus11.png,TMT-B_1_5greenlinestimulus11.png,TMT-B_1_5redlinestimulus11.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,79.67521059999126,None,['1'],0,[0.022203700005775318],79.67521059999126,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
15,['3'],TMT-B_1_5linestimulus12.png,TMT-B_1_5greenlinestimulus12.png,TMT-B_1_5redlinestimulus12.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,79.81484300000011,None,['2'],0,[-0.044381400002748705],79.81484300000011,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
16,['1'],TMT-B_1_5linestimulus13.png,TMT-B_1_5greenlinestimulus13.png,TMT-B_1_5redlinestimulus13.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,79.95357549999608,None,['3'],0,[-0.059245799988275394],79.95357549999608,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
17,['2'],TMT-B_1_5linestimulus14.png,TMT-B_1_5greenlinestimulus14.png,TMT-B_1_5redlinestimulus14.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,80.09112409999943,None,['1'],0,[-0.04156840000359807],80.09112409999943,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
18,['1'],TMT-B_1_5linestimulus15.png,TMT-B_1_5greenlinestimulus15.png,TMT-B_1_5redlinestimulus15.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,80.22933950000152,None,['2'],0,[-0.11172509999596514],80.22933950000152,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
19,['3'],TMT-B_1_5linestimulus16.png,TMT-B_1_5greenlinestimulus16.png,TMT-B_1_5redlinestimulus16.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,80.3686369999923,None,['3'],1,[-0.0677640999929281],80.3686369999923,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
20,['2'],TMT-B_1_5linestimulus17.png,TMT-B_1_5greenlinestimulus17.png,TMT-B_1_5redlinestimulus17.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,80.50567689999298,None,['1'],0,[-0.03862459999800194],80.50567689999298,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
21,['1'],TMT-B_1_5linestimulus18.png,TMT-B_1_5greenlinestimulus18.png,TMT-B_1_5redlinestimulus18.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,80.64399050000065,None,['2'],0,[-0.08209070000157226],80.64399050000065,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
22,['2'],TMT-B_1_5linestimulus19.png,TMT-B_1_5greenlinestimulus19.png,TMT-B_1_5redlinestimulus19.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,80.78240529999312,None,['3'],0,[-0.017132799999671988],80.78240529999312,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
23,['3'],TMT-B_1_5linestimulus20.png,TMT-B_1_5greenlinestimulus20.png,TMT-B_1_5redlinestimulus20.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,80.91980769998918,None,['1'],0,[-0.10469490000104997],80.91980769998918,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
24,['2'],TMT-B_1_5linestimulus21.png,TMT-B_1_5greenlinestimulus21.png,TMT-B_1_5redlinestimulus21.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,81.04849229998945,None,['1'],0,[0.024306300008902326],81.04849229998945,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
25,['1'],TMT-B_1_5linestimulus22.png,TMT-B_1_5greenlinestimulus22.png,TMT-B_1_5redlinestimulus22.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,81.18427250000241,None,['3'],0,[0.05838680001033936],81.18427250000241,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
None,None,TMT-B_1_5linestimulus23.png,TMT-B_1_5greenlinestimulus23.png,TMT-B_1_5redlinestimulus23.png,None,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,81.45921609998913,None,['1'],0,[-0.060254099997109734],81.45921609998913,None,,,,001,2021_Nov_17_1805,TMTAB,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48061129999405,None,,,,,,,
