NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.10594290000154,None,2,14.267527000018163,108.10594290000154,None,,,,,,,,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
1,['3'],TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,,,,,122.39681160001783,None,,,,,,,,,,,,,,125.5463273000205,None,['3'],1,[5.917578699998558],125.5463273000205,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
2,['1'],TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.58761030001915,None,['1'],1,[2.1189838999998756],131.58761030001915,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
3,['2'],TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.81077580002602,None,['3'],0,[3.443406899983529],133.81077580002602,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
4,['3'],TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.35593400002108,None,['3'],1,[11.473649999999907],137.35593400002108,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
5,['2'],TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.97687110002153,None,['2'],1,[5.125563099980354],148.97687110002153,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
6,['1'],TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.22409100001096,None,['2'],0,[0.025933199998689815],154.22409100001096,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
7,['3'],TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3342470000207,None,['1'],0,[0.11060219997307286],154.3342470000207,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
8,['1'],TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.5288814000087,None,['3'],0,[0.1757889000000432],154.5288814000087,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
9,['3'],TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.79728620001697,None,['3'],1,[0.09209719998762012],154.79728620001697,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
10,['2'],TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.05374790000496,None,['3'],0,[0.01380559999961406],155.05374790000496,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
11,['1'],TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.20650180001394,None,['1'],1,[0.048054899991257116],155.20650180001394,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
12,['3'],TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.35486910000327,None,['3'],1,[0.11734539997996762],155.35486910000327,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
13,['1'],TMT-B_1_1linestimulus10.png,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5644736000104,None,['2'],0,[0.164799199992558],155.5644736000104,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
14,['2'],TMT-B_1_1linestimulus11.png,TMT-B_1_1greenlinestimulus11.png,TMT-B_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.8080965000263,None,['1'],0,[0.1216028000053484],155.8080965000263,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
15,['3'],TMT-B_1_1linestimulus12.png,TMT-B_1_1greenlinestimulus12.png,TMT-B_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.01558350000414,None,['2'],0,[0.14789550000568852],156.01558350000414,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
16,['2'],TMT-B_1_1linestimulus13.png,TMT-B_1_1greenlinestimulus13.png,TMT-B_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.2653112000262,None,['2'],1,[0.2961403999943286],156.2653112000262,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
17,['1'],TMT-B_1_1linestimulus14.png,TMT-B_1_1greenlinestimulus14.png,TMT-B_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.66847540001618,None,['3'],0,[0.039124200004152954],156.66847540001618,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
18,['3'],TMT-B_1_1linestimulus15.png,TMT-B_1_1greenlinestimulus15.png,TMT-B_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8027041000023,None,['2'],0,[0.11723490001168102],156.8027041000023,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
19,['2'],TMT-B_1_1linestimulus16.png,TMT-B_1_1greenlinestimulus16.png,TMT-B_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.02546940001776,None,['1'],0,[0.0992209000105504],157.02546940001776,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
20,['3'],TMT-B_1_1linestimulus17.png,TMT-B_1_1greenlinestimulus17.png,TMT-B_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.21649640001124,None,['1'],0,[7.520006700011436],157.21649640001124,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
21,['2'],TMT-B_1_1linestimulus18.png,TMT-B_1_1greenlinestimulus18.png,TMT-B_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.85752830002457,None,['3'],0,[1.8222094000084326],164.85752830002457,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
22,['3'],TMT-B_1_1linestimulus19.png,TMT-B_1_1greenlinestimulus19.png,TMT-B_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.78754270001082,None,['3'],1,[8.40133490000153],166.78754270001082,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
23,['2'],TMT-B_1_1linestimulus20.png,TMT-B_1_1greenlinestimulus20.png,TMT-B_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.30233870001393,None,['3'],0,[0.31272879999596626],175.30233870001393,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
24,['3'],TMT-B_1_1linestimulus21.png,TMT-B_1_1greenlinestimulus21.png,TMT-B_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.78287510000519,None,['3'],1,[0.13197089999448508],175.78287510000519,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
25,['2'],TMT-B_1_1linestimulus22.png,TMT-B_1_1greenlinestimulus22.png,TMT-B_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.01588850002736,None,['3'],0,[0.1519257000181824],176.01588850002736,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
None,None,TMT-B_1_1linestimulus23.png,TMT-B_1_1greenlinestimulus23.png,TMT-B_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2729224000068,None,['3'],0,[0.46946660001412965],176.2729224000068,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
1,['3'],TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,176.75521370000206,None,,,,,,,,,,,,,,179.8690889000136,None,['3'],1,[5.085988800012274],179.8690889000136,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
2,['2'],TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,185.06015220002155,None,['2'],1,[2.021985700004734],185.06015220002155,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
3,['3'],TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,187.20444950001547,None,['2'],0,[5.914857600000687],187.20444950001547,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
4,['2'],TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,193.24569680000423,None,['2'],1,[0.02675489999819547],193.24569680000423,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
5,['1'],TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,193.39157620002516,None,['2'],0,[0.022129899996798486],193.39157620002516,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
6,['2'],TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,193.51602960002492,None,['2'],1,[0.058358100010082126],193.51602960002492,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
7,['3'],TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,193.68916420001187,None,['2'],0,[0.042436999996425584],193.68916420001187,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
8,['2'],TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,193.83164270000998,None,['2'],1,[0.04733010000200011],193.83164270000998,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
9,['1'],TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,194.05630240001483,None,['2'],0,[-0.028231300006154925],194.05630240001483,None,,001,2021_Nov_18_1149,TMTAB,2021.2.3,None,
