NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,['3'],TMTstop-B_1_2linestimulus8.png,TMTstop-B_1_2greenlinestimulus8.png,TMTstop-B_1_2redlinestimulus8.png,10,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.09093989990652,None,"['2', '3']",1,"[-0.04323189985007048, 0.08140409993939102]",67.09093989990652,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
F,['1'],TMTstop-B_1_2linestimulus9.png,TMTstop-B_1_2greenlinestimulus9.png,TMTstop-B_1_2redlinestimulus9.png,10,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.27425619983114,None,['1'],1,[0.03891239990480244],67.27425619983114,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
7,['3'],TMTstop-B_1_2linestimulus10.png,TMTstop-B_1_2greenlinestimulus10.png,TMTstop-B_1_2redlinestimulus10.png,1,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40782959992066,None,"['2', '3']",1,"[-0.03502899990417063, 0.09146340005099773]",67.40782959992066,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
G,['2'],TMTstop-B_1_2linestimulus11.png,TMTstop-B_1_2greenlinestimulus11.png,TMTstop-B_1_2redlinestimulus11.png,None,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59140769997612,None,"['1', '2']",1,"[0.0379566999617964, 0.10314180003479123]",67.59140769997612,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
8,['3'],TMTstop-B_1_2linestimulus12.png,TMTstop-B_1_2greenlinestimulus12.png,TMTstop-B_1_2redlinestimulus12.png,None,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.82462199986912,None,['3'],1,[-0.015535500133410096],67.82462199986912,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
H,['2'],TMTstop-B_1_2linestimulus13.png,TMTstop-B_1_2greenlinestimulus13.png,TMTstop-B_1_2redlinestimulus13.png,None,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.90806289995089,None,"['1', '2']",1,"[0.029517199844121933, 0.1133307998534292]",67.90806289995089,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
9,['3'],TMTstop-B_1_2linestimulus14.png,TMTstop-B_1_2greenlinestimulus14.png,TMTstop-B_1_2redlinestimulus14.png,None,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.12474569980986,None,['3'],1,[-0.008438700111582875],68.12474569980986,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
I,['1'],TMTstop-B_1_2linestimulus15.png,TMTstop-B_1_2greenlinestimulus15.png,TMTstop-B_1_2redlinestimulus15.png,None,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.20818369998597,None,['1'],1,[0.05570140015333891],68.20818369998597,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
10,['2'],TMTstop-B_1_2linestimulus16.png,TMTstop-B_1_2greenlinestimulus16.png,TMTstop-B_1_2redlinestimulus16.png,None,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.35825499985367,None,['2'],1,[0.017341299913823605],68.35825499985367,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
J,['3'],TMTstop-B_1_2linestimulus17.png,TMTstop-B_1_2greenlinestimulus17.png,TMTstop-B_1_2redlinestimulus17.png,None,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.45822099992074,None,['3'],1,[0.0021198000758886337],68.45822099992074,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
11,['2'],TMTstop-B_1_2linestimulus18.png,TMTstop-B_1_2greenlinestimulus18.png,TMTstop-B_1_2redlinestimulus18.png,None,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55829229997471,None,"['1', '2']",1,"[0.039104900090023875, 0.11516270018182695]",68.55829229997471,None,,001,2022_Jan_11_1304,TMTAB,2021.2.3,59.98289286042099,
