NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7733595000027,None,['2'],1,[-0.05673709999246057],34.7733595000027,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.85640279999643,None,"['3', '1']",1,"[-0.03353479999350384, 0.10273710000910796]",34.85640279999643,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.051235100007034,None,['2'],1,[-0.02894889999879524],35.051235100007034,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.127558399995905,None,['3'],1,[0.00032869999995455146],35.127558399995905,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.20420579999336,None,['1'],1,[0.057630200011772104],35.20420579999336,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.349537100002635,None,"['2', '3']",1,"[-0.026385000004665926, 0.07593920000363141]",35.349537100002635,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.50987019999593,None,"['1', '2']",1,"[0.030610899993916973, 0.08987469998828601]",35.50987019999593,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7112208000035,None,"['3', '1']",1,"[-0.016404900001361966, 0.12227279999933671]",35.7112208000035,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
G,['3'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.91905110000516,None,"['2', '3']",1,"[-0.016303900003549643, 0.07906079999520443]",35.91905110000516,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
8,['1'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.08590639999602,None,['1'],1,[0.031214899994665757],36.08590639999602,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
H,['2'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.19710629999463,None,['2'],1,[-0.016213599999900907],36.19710629999463,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
9,['3'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.280405400000745,None,['3'],1,[0.001887399994302541],36.280405400000745,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
I,['2'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.37061500000709,None,"['1', '2']",1,"[0.028109999999287538, 0.08971289999317378]",36.37061500000709,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
10,['1'],TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57182450000255,None,"['3', '1']",1,"[-0.010798700008308515, 0.11194949998753145]",36.57182450000255,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
J,['2'],TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78722149999521,None,['2'],1,[-0.048396499987575226],36.78722149999521,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
11,['3'],TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.87039019999793,None,['3'],1,[-0.021135300004971214],36.87039019999793,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
K,['1'],TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.94724530000531,None,['1'],1,[0.023487099999329075],36.94724530000531,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
12,['3'],TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05830000000424,None,"['2', '3']",1,"[-0.01744870000402443, 0.07673149999754969]",37.05830000000424,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
L,['1'],TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.23182420000376,None,['1'],1,[0.028129600003012456],37.23182420000376,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
13,['2'],TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.34980070000165,None,['2'],1,[-0.020525100000668317],37.34980070000165,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.43264790000103,None,"['3', '1', '2']",0,"[-0.010620100001688115, 0.11088619999645744, 0.20653199999651406]",37.43264790000103,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
1,['2'],TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMTstop-B_1_2.png,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,38.507196999998996,None,,,,,,,,,,,,,41.55080440000165,None,"['1', '2']",1,"[0.3861073000007309, 0.4679141999949934]",41.55080440000165,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
A,['3'],TMTstop-B_1_2.png,TMTstop-B_1_2firstgreen.png,TMTstop-B_1_2firstred.png,10,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.12750250000681,None,['3'],1,[0.0022764999885112047],42.12750250000681,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
2,['1'],TMTstop-B_1_2linestimulus0.png,TMTstop-B_1_2greenlinestimulus0.png,TMTstop-B_1_2redlinestimulus0.png,10,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.21089000000211,None,['1'],1,[0.056784200001857243],42.21089000000211,None,,,,001,2021_Nov_17_1300,TMTAB,2021.2.3,144.7529934994805,
