100.9649 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.0208 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.0787 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.1404 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.2036 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.2833 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.3409 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.3995 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.4552 	DATA 	Keypress: 3
101.4584 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.5186 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.5780 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.6330 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.6907 	DATA 	Keypress: 3
101.6939 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.7434 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.7991 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.8528 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.8998 	DATA 	Keypress: 2
101.9023 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
101.9525 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.0002 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.0628 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.1144 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.1715 	DATA 	Keypress: 2
102.1746 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.2292 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.2841 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.3407 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.3992 	DATA 	Keypress: 3
102.4055 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.4589 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.5096 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.5689 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.6141 	DATA 	Keypress: 3
102.6194 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.6768 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.7245 	DATA 	Keypress: 2
102.7284 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.7868 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.8496 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.9056 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
102.9548 	DATA 	Keypress: 2
102.9606 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.0094 	DATA 	Keypress: 3
103.0139 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.0698 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.1412 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.1990 	DATA 	Keypress: 3
103.2056 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.2698 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.3332 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.3876 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.4459 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.5013 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.5593 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.6108 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.6764 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.7312 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.7852 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.8344 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.8916 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.9456 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
103.9955 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.0484 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.1074 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.1688 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.2229 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.2841 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.3431 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.4000 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.4514 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.4989 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
104.5572 	EXP 	Stim: image = 'TMTstop-B_1_1redlinestimulus2.png'
