NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,,0,10,10,10,,,,,,,,,11.096327300001576,None,3,0,0.059321799999452196,11.096327300001576,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,,0,11,11,11,,,,,,,,,11.240533400003187,None,2,0,0.17346080000061193,11.240533400003187,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,,0,12,12,12,,,,,,,,,11.497710200001166,None,None,1,,11.497710200001166,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,3,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,TMT-BX_1_1.jpg,,7,,,,,0,0,0,0,,,,,15.546047600000747,None,1,0,0.42741860000023735,15.546047600000747,None,12.494889800000237,None,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,1,TMT-BX_1_1.jpg,TMT-BX_1_1firstgreen.jpg,TMT-BX_1_1firstred.jpg,,G,,,,,0,1,1,1,,,,,16.04632550000315,None,2,0,0.02198109999881126,16.04632550000315,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,0,2,2,2,,,,,16.150173000001814,None,3,0,0.06519750000006752,16.150173000001814,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,0,3,3,3,,,,,16.296043300000747,None,1,1,0.07398319999992964,16.296043300000747,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,0,4,4,4,,,,,16.462997200000245,None,2,0,-0.00013299999773153104,16.462997200000245,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,0,5,5,5,,,,,16.553125800001,None,3,0,0.0052031000013812445,16.553125800001,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,0,6,6,6,,,,,16.650507500002277,None,1,0,0.4544242999982089,16.650507500002277,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,0,7,7,7,,,,,17.199943400002667,None,2,0,-0.0019130000000586733,17.199943400002667,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,0,8,8,8,,,,,17.282265500001813,None,3,0,0.013787800002319273,17.282265500001813,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,0,9,9,9,,,,,17.386541100000613,None,3,0,0.4764821999997366,17.386541100000613,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,0,10,10,10,,,,,17.95601390000229,None,3,0,0.3685301999976218,17.95601390000229,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,0,11,11,11,,,,,18.414526300002763,None,3,0,0.6293316000010236,18.414526300002763,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,0,12,12,12,,,,,19.13633320000008,None,3,0,9.40952180000022,19.13633320000008,None,,,,001,2021_Oct_27_1606,TMTAB,2021.2.3,143.54534023498542,
