NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,['2'],TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,35.649173400131986,None,"['1', '2']",1,"[0.06765209999866784, 0.12344160000793636]",35.649173400131986,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
11,['3'],TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,35.87846210016869,None,['3'],1,[0.020156400045379996],35.87846210016869,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
12,['1'],TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,35.97671330021694,None,['1'],1,[0.051677299896255136],35.97671330021694,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
13,['3'],TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,36.117965900106356,None,"['2', '3']",1,"[-0.021594499936327338, 0.08243239996954799]",36.117965900106356,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
14,['1'],TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,36.281400700099766,None,['1'],1,[0.04857490002177656],36.281400700099766,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
15,['3'],TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,36.40640080021694,None,"['2', '3']",1,"[0.06893229996785522, 0.10728709981776774]",36.40640080021694,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
16,['1'],TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,36.600477400003,None,['1'],1,[0.17382450005970895],36.600477400003,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
17,['2'],TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8507424001582,None,['2'],1,[-0.027115099830552936],36.8507424001582,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
18,['1'],TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,36.92684400011785,None,"['3', '1']",1,"[0.033270200015977025, 0.19159450009465218]",36.92684400011785,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
19,['3'],TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,37.20509650022723,None,"['2', '3']",1,"[-0.013780399924144149, 0.07194840000011027]",37.20509650022723,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
20,['1'],TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,37.36451780004427,None,['1'],1,[0.06090439995750785],37.36451780004427,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
21,['3'],TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50349270016886,None,"['2', '3']",1,"[0.009283100022003055, 0.08700930001214147]",37.50349270016886,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
22,['1'],TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67085010022856,None,['1'],1,[0.05292379995808005],37.67085010022856,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
23,['3'],TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,37.79595550009981,None,"['2', '3']",1,"[0.022830599918961525, 0.11058750003576279]",37.79595550009981,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
24,['1'],TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9898515001405,None,['1'],1,[0.05354789993725717],37.9898515001405,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
25,['3'],TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1215111000929,None,"['2', '3']",1,"[-0.019953400129452348, 0.07739849993959069]",38.1215111000929,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,38.281805200036615,None,"['1', '2', '3']",0,"[0.05533010000362992, 0.12461739988066256, 0.2832557000219822]",38.281805200036615,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
A,['3'],TMTstop-control_1_a.png,TMTstop-control_1_a.png,TMTstop-control_1_a.png,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,39.30663870018907,None,,,,,,,,,,,,,42.33610520022921,None,"['1', '2', '3']",1,"[4.257580800214782, 4.416012200061232, 4.509524200111628]",42.33610520022921,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
B,['1'],TMTstop-control_1_a.png,TMTstop-control_1_afirstgreen.png,TMTstop-control_1_afirstred.png,10,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,46.933534800074995,None,['1'],1,[0.06041549984365702],46.933534800074995,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
C,['3'],TMTstop-control_1_alinestimulus0.png,TMTstop-control_1_agreenlinestimulus0.png,TMTstop-control_1_aredlinestimulus0.png,10,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,47.065925100119784,None,"['2', '3']",1,"[0.024876700015738606, 0.09634290006943047]",47.065925100119784,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
D,['2'],TMTstop-control_1_alinestimulus1.png,TMTstop-control_1_agreenlinestimulus1.png,TMTstop-control_1_aredlinestimulus1.png,10,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,47.254932900192216,None,"['1', '2']",1,"[0.05114610004238784, 0.12313259998336434]",47.254932900192216,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
E,['1'],TMTstop-control_1_alinestimulus2.png,TMTstop-control_1_agreenlinestimulus2.png,TMTstop-control_1_aredlinestimulus2.png,10,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,47.46906270016916,None,"['3', '1']",1,"[-0.0035897998604923487, 0.12985070003196597]",47.46906270016916,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
F,['3'],TMTstop-control_1_alinestimulus3.png,TMTstop-control_1_agreenlinestimulus3.png,TMTstop-control_1_aredlinestimulus3.png,10,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,47.7044603000395,None,"['2', '3']",1,"[-0.023130000103265047, 0.048951399978250265]",47.7044603000395,None,,001,2022_Feb_02_1603,TMTAB,2021.2.3,133.0794182247798,
