NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
L,['1'],TMTstop-control_1_alinestimulus9.png,TMTstop-control_1_agreenlinestimulus9.png,TMTstop-control_1_aredlinestimulus9.png,10,,,,,0,11,11,11,,,,,22.368054299993673,None,['1'],1,[0.06754289999662433],22.368054299993673,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
M,['3'],TMTstop-control_1_alinestimulus10.png,TMTstop-control_1_agreenlinestimulus10.png,TMTstop-control_1_aredlinestimulus10.png,1,,,,,0,12,12,12,,,,,22.513913100003265,None,"['2', '3']",1,"[-0.001612000007298775, 0.10902249999344349]",22.513913100003265,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
N,['2'],TMTstop-control_1_alinestimulus11.png,TMTstop-control_1_agreenlinestimulus11.png,TMTstop-control_1_aredlinestimulus11.png,None,,,,,0,13,13,13,,,,,22.708814099998563,None,"['1', '2']",1,"[0.07548379999934696, 0.15224309999030083]",22.708814099998563,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
O,['1'],TMTstop-control_1_alinestimulus12.png,TMTstop-control_1_agreenlinestimulus12.png,TMTstop-control_1_aredlinestimulus12.png,None,,,,,0,14,14,14,,,,,22.9374947000033,None,"['3', '1']",1,"[0.03423439999460243, 0.6728973999997834]",22.9374947000033,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
P,['3'],TMTstop-control_1_alinestimulus13.png,TMTstop-control_1_agreenlinestimulus13.png,TMTstop-control_1_aredlinestimulus13.png,None,,,,,0,15,15,15,,,,,23.70817869999155,None,"['1', '1', '2', '3']",1,"[0.2225066999963019, 0.6518914999905974, 0.6783388999901945, 0.7964191999926697]",23.70817869999155,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
Q,['2'],TMTstop-control_1_alinestimulus14.png,TMTstop-control_1_agreenlinestimulus14.png,TMTstop-control_1_aredlinestimulus14.png,None,,,,,0,16,16,16,,,,,24.603836399997817,None,"['1', '2']",1,"[0.05771600001025945, 0.17178780000540428]",24.603836399997817,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
R,['3'],TMTstop-control_1_alinestimulus15.png,TMTstop-control_1_agreenlinestimulus15.png,TMTstop-control_1_aredlinestimulus15.png,None,,,,,0,17,17,17,,,,,24.847078599996166,None,['3'],1,[0.031110999989323318],24.847078599996166,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
S,['2'],TMTstop-control_1_alinestimulus16.png,TMTstop-control_1_agreenlinestimulus16.png,TMTstop-control_1_aredlinestimulus16.png,None,,,,,0,18,18,18,,,,,24.958073500005412,None,"['1', '2']",1,"[0.09015129999897908, 0.13894479999726173]",24.958073500005412,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
T,['1'],TMTstop-control_1_alinestimulus17.png,TMTstop-control_1_agreenlinestimulus17.png,TMTstop-control_1_aredlinestimulus17.png,None,,,,,0,19,19,19,,,,,25.201208600003156,None,"['3', '1']",1,"[0.05484890000661835, 0.18910459999460727]",25.201208600003156,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
U,['3'],TMTstop-control_1_alinestimulus18.png,TMTstop-control_1_agreenlinestimulus18.png,TMTstop-control_1_aredlinestimulus18.png,None,,,,,0,20,20,20,,,,,25.49951539999165,None,"['2', '3']",1,"[-0.04566670001077, 0.08209589999751188]",25.49951539999165,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
V,['2'],TMTstop-control_1_alinestimulus19.png,TMTstop-control_1_agreenlinestimulus19.png,TMTstop-control_1_aredlinestimulus19.png,None,,,,,0,21,21,21,,,,,25.68027019999863,None,"['1', '2']",1,"[0.0513585000007879, 0.13409809999575373]",25.68027019999863,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
W,['1'],TMTstop-control_1_alinestimulus20.png,TMTstop-control_1_agreenlinestimulus20.png,TMTstop-control_1_aredlinestimulus20.png,None,,,,,0,22,22,22,,,,,25.888780699999188,None,"['3', '1']",1,"[0.04022969999641646, 0.1682543000060832]",25.888780699999188,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
X,['2'],TMTstop-control_1_alinestimulus21.png,TMTstop-control_1_agreenlinestimulus21.png,TMTstop-control_1_aredlinestimulus21.png,None,,,,,0,23,23,23,,,,,26.159453200001735,None,['2'],1,[-0.03484069999831263],26.159453200001735,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
Y,['1'],TMTstop-control_1_alinestimulus22.png,TMTstop-control_1_agreenlinestimulus22.png,TMTstop-control_1_aredlinestimulus22.png,None,,,,,0,24,24,24,,,,,26.22902489999251,None,"['3', '1']",1,"[0.027524099990841933, 0.14769149999483489]",26.22902489999251,None,,,,001,2021_Nov_17_1338,TMTAB,2021.2.3,144.31888702832734,
