NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
V,['2'],TMTstop-control_1_alinestimulus19.png,TMTstop-control_1_agreenlinestimulus19.png,TMTstop-control_1_aredlinestimulus19.png,None,,,,,0,21,21,21,,,,,,,,,21.80081520001113,None,"['1', '2']",1,"[0.03450609999708831, 0.1169272999977693]",21.80081520001113,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
W,['1'],TMTstop-control_1_alinestimulus20.png,TMTstop-control_1_agreenlinestimulus20.png,TMTstop-control_1_aredlinestimulus20.png,None,,,,,0,22,22,22,,,,,,,,,21.988351100008003,None,"['3', '1']",1,"[0.062366099999053404, 0.5108164000121178]",21.988351100008003,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
X,['2'],TMTstop-control_1_alinestimulus21.png,TMTstop-control_1_agreenlinestimulus21.png,TMTstop-control_1_aredlinestimulus21.png,None,,,,,0,23,23,23,,,,,,,,,22.571692500001518,None,['2'],1,[0.6218590999924345],22.571692500001518,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
Y,['1'],TMTstop-control_1_alinestimulus22.png,TMTstop-control_1_agreenlinestimulus22.png,TMTstop-control_1_aredlinestimulus22.png,None,,,,,0,24,24,24,,,,,,,,,23.273251500009792,None,['1'],1,[0.39865350000036415],23.273251500009792,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
None,None,TMTstop-control_1_alinestimulus23.png,TMTstop-control_1_agreenlinestimulus23.png,TMTstop-control_1_aredlinestimulus23.png,None,,,,,0,25,25,25,,,,,,,,,23.74544230000174,None,None,1,,23.74544230000174,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
1,['3'],TMTstop-control_1_BX.png,TMTstop-control_1_BX.png,TMTstop-control_1_BX.png,10,,,,,,,,,0,0,0,0,,,,,27.807930000009947,None,"['2', '3']",1,"[0.7661261000030208, 1.0554766999994172]",27.807930000009947,None,24.749958800006425,None,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
A,['2'],TMTstop-control_1_BX.png,TMTstop-control_1_BXfirstgreen.png,TMTstop-control_1_BXfirstred.png,10,,,,,,,,,0,1,1,1,,,,,28.953681300001335,None,"['1', '2']",1,"[0.3155704000091646, 0.5982001000083983]",28.953681300001335,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
2,['3'],TMTstop-control_1_BXlinestimulus0.png,TMTstop-control_1_BXgreenlinestimulus0.png,TMTstop-control_1_BXredlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,29.627392100010184,None,['3'],1,[-0.059346199996070936],29.627392100010184,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
B,['2'],TMTstop-control_1_BXlinestimulus1.png,TMTstop-control_1_BXgreenlinestimulus1.png,TMTstop-control_1_BXredlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,29.696497200013255,None,"['1', '2']",1,"[0.07472170000255574, 0.19393270000000484]",29.696497200013255,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
3,['3'],TMTstop-control_1_BXlinestimulus2.png,TMTstop-control_1_BXgreenlinestimulus2.png,TMTstop-control_1_BXredlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,29.974428900008206,None,['3'],1,[0.014096400002017617],29.974428900008206,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
C,['1'],TMTstop-control_1_BXlinestimulus3.png,TMTstop-control_1_BXgreenlinestimulus3.png,TMTstop-control_1_BXredlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,30.07121820001339,None,['1'],1,[0.10646860000269953],30.07121820001339,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
4,['2'],TMTstop-control_1_BXlinestimulus4.png,TMTstop-control_1_BXgreenlinestimulus4.png,TMTstop-control_1_BXredlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,30.2591223000054,None,['2'],1,[0.0007750999939162284],30.2591223000054,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
D,['1'],TMTstop-control_1_BXlinestimulus5.png,TMTstop-control_1_BXgreenlinestimulus5.png,TMTstop-control_1_BXredlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,30.328477300005034,None,"['3', '1']",1,"[0.047163900002487935, 0.19762659999832977]",30.328477300005034,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
5,['2'],TMTstop-control_1_BXlinestimulus6.png,TMTstop-control_1_BXgreenlinestimulus6.png,TMTstop-control_1_BXredlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,30.613216300000204,None,['2'],1,[0.013202100002672523],30.613216300000204,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
E,['3'],TMTstop-control_1_BXlinestimulus7.png,TMTstop-control_1_BXgreenlinestimulus7.png,TMTstop-control_1_BXredlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,30.696704800007865,None,['3'],1,[0.024085400000330992],30.696704800007865,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
6,['1'],TMTstop-control_1_BXlinestimulus8.png,TMTstop-control_1_BXgreenlinestimulus8.png,TMTstop-control_1_BXredlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,30.793791200005217,None,['1'],1,[0.07773180000367574],30.793791200005217,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
F,['2'],TMTstop-control_1_BXlinestimulus9.png,TMTstop-control_1_BXgreenlinestimulus9.png,TMTstop-control_1_BXredlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,30.94670740001311,None,['2'],1,[0.015842499997233972],30.94670740001311,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
7,['1'],TMTstop-control_1_BXlinestimulus10.png,TMTstop-control_1_BXgreenlinestimulus10.png,TMTstop-control_1_BXredlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,31.043762400004198,None,"['3', '1']",1,"[0.011337799995089881, 0.15741309999430086]",31.043762400004198,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
G,['3'],TMTstop-control_1_BXlinestimulus11.png,TMTstop-control_1_BXgreenlinestimulus11.png,TMTstop-control_1_BXredlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,31.293858700009878,None,"['2', '3']",1,"[0.00891849999607075, 0.09534669999266043]",31.293858700009878,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
8,['1'],TMTstop-control_1_BXlinestimulus12.png,TMTstop-control_1_BXgreenlinestimulus12.png,TMTstop-control_1_BXredlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,31.460583600011887,None,['1'],1,[0.06992100000206847],31.460583600011887,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
H,['3'],TMTstop-control_1_BXlinestimulus13.png,TMTstop-control_1_BXgreenlinestimulus13.png,TMTstop-control_1_BXredlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,31.606301500010886,None,"['2', '3']",1,"[0.0007255999953486025, 0.11401999999361578]",31.606301500010886,None,,,,001,2021_Nov_17_1339,TMTAB,2021.2.3,144.98363858889476,
