NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
G,['2'],TMTstop-control_1_alinestimulus4.png,TMTstop-control_1_agreenlinestimulus4.png,TMTstop-control_1_aredlinestimulus4.png,10,,,,,0,6,6,6,,,,,23.12615000002552,None,"['1', '2']",1,"[0.09667940007057041, 0.17244210001081228]",23.12615000002552,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
H,['3'],TMTstop-control_1_alinestimulus5.png,TMTstop-control_1_agreenlinestimulus5.png,TMTstop-control_1_aredlinestimulus5.png,10,,,,,0,7,7,7,,,,,23.375936800031923,None,['3'],1,[0.042710999958217144],23.375936800031923,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
I,['1'],TMTstop-control_1_alinestimulus6.png,TMTstop-control_1_agreenlinestimulus6.png,TMTstop-control_1_aredlinestimulus6.png,10,,,,,0,8,8,8,,,,,23.501081700087525,None,['1'],1,[0.07746259996201843],23.501081700087525,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
J,['2'],TMTstop-control_1_alinestimulus7.png,TMTstop-control_1_agreenlinestimulus7.png,TMTstop-control_1_aredlinestimulus7.png,10,,,,,0,9,9,9,,,,,23.653859900077805,None,['2'],1,[-0.015622599981725216],23.653859900077805,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
K,['3'],TMTstop-control_1_alinestimulus8.png,TMTstop-control_1_agreenlinestimulus8.png,TMTstop-control_1_aredlinestimulus8.png,10,,,,,0,10,10,10,,,,,23.737039100029506,None,['3'],1,[0.029187000007368624],23.737039100029506,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
L,['1'],TMTstop-control_1_alinestimulus9.png,TMTstop-control_1_agreenlinestimulus9.png,TMTstop-control_1_aredlinestimulus9.png,10,,,,,0,11,11,11,,,,,23.84846450004261,None,['1'],1,[0.04923939995933324],23.84846450004261,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
M,['3'],TMTstop-control_1_alinestimulus10.png,TMTstop-control_1_agreenlinestimulus10.png,TMTstop-control_1_aredlinestimulus10.png,1,,,,,0,12,12,12,,,,,23.973712900071405,None,"['2', '3']",1,"[-0.0014872000319883227, 0.10174279997590929]",23.973712900071405,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
N,['2'],TMTstop-control_1_alinestimulus11.png,TMTstop-control_1_agreenlinestimulus11.png,TMTstop-control_1_aredlinestimulus11.png,None,,,,,0,13,13,13,,,,,24.1684751000721,None,"['1', '2']",1,"[0.0557738000061363, 0.10462190001271665]",24.1684751000721,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
O,['1'],TMTstop-control_1_alinestimulus12.png,TMTstop-control_1_agreenlinestimulus12.png,TMTstop-control_1_aredlinestimulus12.png,None,,,,,0,14,14,14,,,,,24.34840520005673,None,"['3', '1']",1,"[0.057206799974665046, 0.2532210999634117]",24.34840520005673,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
P,['3'],TMTstop-control_1_alinestimulus13.png,TMTstop-control_1_agreenlinestimulus13.png,TMTstop-control_1_aredlinestimulus13.png,None,,,,,0,15,15,15,,,,,24.69556919997558,None,"['2', '3']",1,"[-0.05291090009268373, 0.08996149990707636]",24.69556919997558,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
Q,['2'],TMTstop-control_1_alinestimulus14.png,TMTstop-control_1_agreenlinestimulus14.png,TMTstop-control_1_aredlinestimulus14.png,None,,,,,0,16,16,16,,,,,24.88991230004467,None,"['1', '2']",1,"[0.03789589996449649, 0.10135460004676133]",24.88991230004467,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
R,['3'],TMTstop-control_1_alinestimulus15.png,TMTstop-control_1_agreenlinestimulus15.png,TMTstop-control_1_aredlinestimulus15.png,None,,,,,0,17,17,17,,,,,25.084362299996428,None,['3'],1,[0.048917600070126355],25.084362299996428,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
S,['2'],TMTstop-control_1_alinestimulus16.png,TMTstop-control_1_agreenlinestimulus16.png,TMTstop-control_1_aredlinestimulus16.png,None,,,,,0,18,18,18,,,,,25.209327100077644,None,"['1', '2']",1,"[0.07620789995416999, 0.1578292999183759]",25.209327100077644,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
T,['1'],TMTstop-control_1_alinestimulus17.png,TMTstop-control_1_agreenlinestimulus17.png,TMTstop-control_1_aredlinestimulus17.png,None,,,,,0,19,19,19,,,,,25.452167300041765,None,"['3', '1']",1,"[0.050653700018301606, 0.3740149999503046]",25.452167300041765,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
U,['3'],TMTstop-control_1_alinestimulus18.png,TMTstop-control_1_agreenlinestimulus18.png,TMTstop-control_1_aredlinestimulus18.png,None,,,,,0,20,20,20,,,,,25.903589399997145,None,"['2', '3']",1,"[0.03262030007317662, 0.13519400008954108]",25.903589399997145,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
V,['2'],TMTstop-control_1_alinestimulus19.png,TMTstop-control_1_agreenlinestimulus19.png,TMTstop-control_1_aredlinestimulus19.png,None,,,,,0,21,21,21,,,,,26.1468320999993,None,"['1', '2']",1,"[0.1646879999898374, 0.2596622999990359]",26.1468320999993,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
W,['1'],TMTstop-control_1_alinestimulus20.png,TMTstop-control_1_agreenlinestimulus20.png,TMTstop-control_1_aredlinestimulus20.png,None,,,,,0,22,22,22,,,,,26.51592460006941,None,"['3', '1']",1,"[-0.0070235999301075935, 0.8889189000474289]",26.51592460006941,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
X,['2'],TMTstop-control_1_alinestimulus21.png,TMTstop-control_1_agreenlinestimulus21.png,TMTstop-control_1_aredlinestimulus21.png,None,,,,,0,23,23,23,,,,,27.480077999993227,None,['2'],1,[0.7559644000139087],27.480077999993227,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
Y,['1'],TMTstop-control_1_alinestimulus22.png,TMTstop-control_1_agreenlinestimulus22.png,TMTstop-control_1_aredlinestimulus22.png,None,,,,,0,24,24,24,,,,,28.306241600075737,None,['1'],1,[0.8156442999606952],28.306241600075737,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
None,None,TMTstop-control_1_alinestimulus23.png,TMTstop-control_1_agreenlinestimulus23.png,TMTstop-control_1_aredlinestimulus23.png,None,,,,,0,25,25,25,,,,,29.195537200081162,None,None,1,,29.195537200081162,None,,,,,,001,2021_Nov_03_1825,TMTAB,2021.2.3,143.66102894351258,
,,,,,,,,,,,,,,,,,,,,,,,,,,,30.199752400047146,None,,,,,,,
