NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,2,TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32558489999792,None,['2'],0,[-0.02135929999349173],21.32558489999792,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
12,1,TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.403194400001667,None,['3'],0,[0.0052164999942760915],21.403194400001667,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
None,None,None,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.48552109999582,None,['1'],0,[0.05495090001204517],21.48552109999582,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
1,2,TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,21.558948999998393,None,,,,,,,,,,,,,,24.631994700001087,None,['2'],0,[-3.0127331000112463],24.631994700001087,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
2,3,TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,24.71547670000291,None,['1'],0,[0.3675307000085013],24.71547670000291,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
3,1,TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,25.151779499996337,None,['2'],0,[0.02170639998803381],25.151779499996337,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
4,2,TMT-A_1_2linestimulus1.png,TMT-A_1_2greenlinestimulus1.png,TMT-A_1_2redlinestimulus1.png,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,25.249102000001585,None,['3'],0,[0.021521600006963126],25.249102000001585,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
5,3,TMT-A_1_2linestimulus2.png,TMT-A_1_2greenlinestimulus2.png,TMT-A_1_2redlinestimulus2.png,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,25.34633329999633,None,['1'],0,[0.09693620000325609],25.34633329999633,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
6,1,TMT-A_1_2linestimulus3.png,TMT-A_1_2greenlinestimulus3.png,TMT-A_1_2redlinestimulus3.png,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,25.512742899998557,None,['2'],0,[-0.008663400003570132],25.512742899998557,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
7,3,TMT-A_1_2linestimulus4.png,TMT-A_1_2greenlinestimulus4.png,TMT-A_1_2redlinestimulus4.png,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,25.582293300001766,None,['3'],0,[0.02614970000286121],25.582293300001766,None,,001,2021_Nov_17_1549,TMTAB,2021.2.3,144.63156557728757,
