NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,['2'],TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.750890700001037,None,['1'],0,[0.006655799996224232],20.750890700001037,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
7,['1'],TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83433800000057,None,['2'],0,[0.0645747999951709],20.83433800000057,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
8,['2'],TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.972859899993637,None,['3'],0,[-0.026555899996310472],20.972859899993637,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
9,['1'],TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.04257539998798,None,['1'],1,[0.027047900002798997],21.04257539998798,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
10,['3'],TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.13951619999716,None,['2'],0,[0.029582699993625283],21.13951619999716,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
11,['2'],TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.244903099999647,None,['3'],0,[0.010999100006301887],21.244903099999647,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
12,['1'],TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.327316700000665,None,['1'],1,[0.11724429999594577],21.327316700000665,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
13,['2'],TMT-A_1_1linestimulus10.png,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.521532899991143,None,['1'],0,[0.41858399999910034],21.521532899991143,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
14,['3'],TMT-A_1_1linestimulus11.png,TMT-A_1_1greenlinestimulus11.png,TMT-A_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.036447999998927,None,"['3', '2']",0,"[0.0739021000044886, 0.07728660000429954]",22.036447999998927,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
15,['2'],TMT-A_1_1linestimulus12.png,TMT-A_1_1greenlinestimulus12.png,TMT-A_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.204239499988034,None,['1'],0,[0.052032299994607456],22.204239499988034,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
16,['1'],TMT-A_1_1linestimulus13.png,TMT-A_1_1greenlinestimulus13.png,TMT-A_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.335107199993217,None,['2'],0,[0.056778700003633276],22.335107199993217,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
17,['3'],TMT-A_1_1linestimulus14.png,TMT-A_1_1greenlinestimulus14.png,TMT-A_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.472845099997357,None,['3'],1,[-0.044352600001730025],22.472845099997357,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
18,['2'],TMT-A_1_1linestimulus15.png,TMT-A_1_1greenlinestimulus15.png,TMT-A_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54231589999108,None,['1'],0,[0.19748729999992065],22.54231589999108,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
19,['1'],TMT-A_1_1linestimulus16.png,TMT-A_1_1greenlinestimulus16.png,TMT-A_1_1redlinestimulus16.png,None,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.820200299989665,None,['3'],0,[0.06726690000505187],22.820200299989665,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
20,['3'],TMT-A_1_1linestimulus17.png,TMT-A_1_1greenlinestimulus17.png,TMT-A_1_1redlinestimulus17.png,None,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.973085299992817,None,['2'],0,[0.7351422000065213],22.973085299992817,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
21,['2'],TMT-A_1_1linestimulus18.png,TMT-A_1_1greenlinestimulus18.png,TMT-A_1_1redlinestimulus18.png,None,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.778349000000162,None,['1'],0,[0.4886751999874832],23.778349000000162,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
22,['1'],TMT-A_1_1linestimulus19.png,TMT-A_1_1greenlinestimulus19.png,TMT-A_1_1redlinestimulus19.png,None,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.34786449999956,None,['1'],1,[0.567048099997919],24.34786449999956,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
23,['3'],TMT-A_1_1linestimulus20.png,TMT-A_1_1greenlinestimulus20.png,TMT-A_1_1redlinestimulus20.png,None,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.986797699995805,None,['3'],1,[0.4374736000027042],24.986797699995805,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
24,['2'],TMT-A_1_1linestimulus21.png,TMT-A_1_1greenlinestimulus21.png,TMT-A_1_1redlinestimulus21.png,None,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.507448999996996,None,['2'],1,[1.5329981000104453],25.507448999996996,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
25,['3'],TMT-A_1_1linestimulus22.png,TMT-A_1_1greenlinestimulus22.png,TMT-A_1_1redlinestimulus22.png,None,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.118673999997554,None,['3'],1,[1.3871901000093203],27.118673999997554,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
