NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMT-A_1_1linestimulus23.png,TMT-A_1_1greenlinestimulus23.png,TMT-A_1_1redlinestimulus23.png,None,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.576892600001884,None,['3'],0,[0.18369609999353997],28.576892600001884,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
1,['2'],TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,10,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,28.782508799995412,None,,,,,,,,,,,,,,31.847645399990142,None,['1'],0,[0.9788917999976547],31.847645399990142,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
2,['1'],TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,10,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.90308269999514,None,['2'],0,[0.2619534000114072],32.90308269999514,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
3,['2'],TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,10,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.23652469999797,None,['3'],0,[0.15243760000157636],33.23652469999797,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
4,['3'],TMT-A_1_2linestimulus1.png,TMT-A_1_2greenlinestimulus1.png,TMT-A_1_2redlinestimulus1.png,10,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.47255979999318,None,['1'],0,[0.1521082999970531],33.47255979999318,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
5,['1'],TMT-A_1_2linestimulus2.png,TMT-A_1_2greenlinestimulus2.png,TMT-A_1_2redlinestimulus2.png,10,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.70162779999373,None,['2'],0,[1.0417908000090392],33.70162779999373,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
6,['3'],TMT-A_1_2linestimulus3.png,TMT-A_1_2greenlinestimulus3.png,TMT-A_1_2redlinestimulus3.png,10,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.81294019999041,None,['1'],0,[0.04318770000827499],34.81294019999041,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
7,['2'],TMT-A_1_2linestimulus4.png,TMT-A_1_2greenlinestimulus4.png,TMT-A_1_2redlinestimulus4.png,10,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93781299999682,None,['3'],0,[0.04346369999984745],34.93781299999682,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
8,['3'],TMT-A_1_2linestimulus5.png,TMT-A_1_2greenlinestimulus5.png,TMT-A_1_2redlinestimulus5.png,10,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06280079999124,None,['1'],0,[0.08342520000587683],35.06280079999124,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
9,['2'],TMT-A_1_2linestimulus6.png,TMT-A_1_2greenlinestimulus6.png,TMT-A_1_2redlinestimulus6.png,10,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.21568139998999,None,['3'],0,[0.1306330999941565],35.21568139998999,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
10,['3'],TMT-A_1_2linestimulus7.png,TMT-A_1_2greenlinestimulus7.png,TMT-A_1_2redlinestimulus7.png,10,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.41705589999037,None,['1'],0,[0.08383340000000317],35.41705589999037,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
11,['2'],TMT-A_1_2linestimulus8.png,TMT-A_1_2greenlinestimulus8.png,TMT-A_1_2redlinestimulus8.png,10,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.56977229999029,None,['2'],1,[0.11481410000124015],35.56977229999029,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
12,['3'],TMT-A_1_2linestimulus9.png,TMT-A_1_2greenlinestimulus9.png,TMT-A_1_2redlinestimulus9.png,10,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.764392799988855,None,['1'],0,[0.34576450000167824],35.764392799988855,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
13,['1'],TMT-A_1_2linestimulus10.png,TMT-A_1_2greenlinestimulus10.png,TMT-A_1_2redlinestimulus10.png,1,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18795419999515,None,['2'],0,[0.2770575999893481],36.18795419999515,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
14,['2'],TMT-A_1_2linestimulus11.png,TMT-A_1_2greenlinestimulus11.png,TMT-A_1_2redlinestimulus11.png,None,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.53507559999707,None,['3'],0,[0.13563520000025164],36.53507559999707,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
15,['3'],TMT-A_1_2linestimulus12.png,TMT-A_1_2greenlinestimulus12.png,TMT-A_1_2redlinestimulus12.png,None,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.74357069999678,None,['1'],0,[0.16979390000051353],36.74357069999678,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
16,['1'],TMT-A_1_2linestimulus13.png,TMT-A_1_2greenlinestimulus13.png,TMT-A_1_2redlinestimulus13.png,None,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99347770000168,None,['3'],0,[0.2445783000002848],36.99347770000168,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
17,['3'],TMT-A_1_2linestimulus14.png,TMT-A_1_2greenlinestimulus14.png,TMT-A_1_2redlinestimulus14.png,None,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.319653999991715,None,['1'],0,[0.16210190000128932],37.319653999991715,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
18,['2'],TMT-A_1_2linestimulus15.png,TMT-A_1_2greenlinestimulus15.png,TMT-A_1_2redlinestimulus15.png,None,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.555958400000236,None,['3'],0,[0.32305449999694247],37.555958400000236,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
19,['3'],TMT-A_1_2linestimulus16.png,TMT-A_1_2greenlinestimulus16.png,TMT-A_1_2redlinestimulus16.png,None,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9593382999883,None,['1'],0,[0.1513522000022931],37.9593382999883,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
20,['2'],TMT-A_1_2linestimulus17.png,TMT-A_1_2greenlinestimulus17.png,TMT-A_1_2redlinestimulus17.png,None,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.180844999995315,None,['3'],0,[0.4334338999906322],38.180844999995315,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
21,['1'],TMT-A_1_2linestimulus18.png,TMT-A_1_2greenlinestimulus18.png,TMT-A_1_2redlinestimulus18.png,None,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.69481869999436,None,['3'],0,[1.3401030999957584],38.69481869999436,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
22,['3'],TMT-A_1_2linestimulus19.png,TMT-A_1_2greenlinestimulus19.png,TMT-A_1_2redlinestimulus19.png,None,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.10463719999825,None,['3'],1,[0.47028940000745934],40.10463719999825,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
23,['2'],TMT-A_1_2linestimulus20.png,TMT-A_1_2greenlinestimulus20.png,TMT-A_1_2redlinestimulus20.png,None,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65305439999793,None,['3'],0,[3.1911825999995926],40.65305439999793,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
24,['3'],TMT-A_1_2linestimulus21.png,TMT-A_1_2greenlinestimulus21.png,TMT-A_1_2redlinestimulus21.png,None,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.91690799999924,None,['3'],1,[0.17800140001054388],43.91690799999924,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
25,['2'],TMT-A_1_2linestimulus22.png,TMT-A_1_2greenlinestimulus22.png,TMT-A_1_2redlinestimulus22.png,None,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.173753600000055,None,['3'],0,[1.20160620000388],44.173753600000055,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
None,None,TMT-A_1_2linestimulus23.png,TMT-A_1_2greenlinestimulus23.png,TMT-A_1_2redlinestimulus23.png,None,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44450559999677,None,['3'],0,[0.25875240001187194],45.44450559999677,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
1,['2'],TMT-A_1_3.png,TMT-A_1_3.png,TMT-A_1_3.png,10,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,45.71971669999766,None,,,,,,,,,,,,,,48.78485989999899,None,['1'],0,[4.174397800001316],48.78485989999899,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
2,['3'],TMT-A_1_3.png,TMT-A_1_3firstgreen.png,TMT-A_1_3firstred.png,10,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.03452309999557,None,['2'],0,[-0.005153300007805228],53.03452309999557,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
3,['1'],TMT-A_1_3linestimulus0.png,TMT-A_1_3greenlinestimulus0.png,TMT-A_1_3redlinestimulus0.png,10,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.11796499999764,None,['3'],0,[0.044042100009392016],53.11796499999764,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
4,['2'],TMT-A_1_3linestimulus1.png,TMT-A_1_3greenlinestimulus1.png,TMT-A_1_3redlinestimulus1.png,10,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.23609459999716,None,['1'],0,[0.1413604999979725],53.23609459999716,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
5,['3'],TMT-A_1_3linestimulus2.png,TMT-A_1_3greenlinestimulus2.png,TMT-A_1_3redlinestimulus2.png,10,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.45985689999361,None,['2'],0,[-0.01010080000560265],53.45985689999361,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
6,['2'],TMT-A_1_3linestimulus3.png,TMT-A_1_3greenlinestimulus3.png,TMT-A_1_3redlinestimulus3.png,10,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.53542249999009,None,['1'],0,[0.32954269999754615],53.53542249999009,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
7,['1'],TMT-A_1_3linestimulus4.png,TMT-A_1_3greenlinestimulus4.png,TMT-A_1_3redlinestimulus4.png,10,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.94435549998889,None,['2'],0,[-0.005484599998453632],53.94435549998889,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
8,['2'],TMT-A_1_3linestimulus5.png,TMT-A_1_3greenlinestimulus5.png,TMT-A_1_3redlinestimulus5.png,10,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.02119839999068,None,['3'],0,[0.09325049999461044],54.02119839999068,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
9,['1'],TMT-A_1_3linestimulus6.png,TMT-A_1_3greenlinestimulus6.png,TMT-A_1_3redlinestimulus6.png,10,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.18055999999342,None,['1'],1,[0.6997550999949453],54.18055999999342,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
10,['2'],TMT-A_1_3linestimulus7.png,TMT-A_1_3greenlinestimulus7.png,TMT-A_1_3redlinestimulus7.png,10,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.958368199993856,None,['3'],0,[0.3132620999967912],54.958368199993856,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
11,['1'],TMT-A_1_3linestimulus8.png,TMT-A_1_3greenlinestimulus8.png,TMT-A_1_3redlinestimulus8.png,10,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.35420049999084,None,['1'],1,[0.5918898999952944],55.35420049999084,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
12,['3'],TMT-A_1_3linestimulus9.png,TMT-A_1_3greenlinestimulus9.png,TMT-A_1_3redlinestimulus9.png,10,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.02136459999019,None,['2'],0,[0.14282490000186954],56.02136459999019,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
13,['1'],TMT-A_1_3linestimulus10.png,TMT-A_1_3greenlinestimulus10.png,TMT-A_1_3redlinestimulus10.png,1,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.242789700001595,None,['3'],0,[0.1780237000057241],56.242789700001595,None,,,,001,2021_Nov_17_1648,TMTAB,2021.2.3,145.20848309921107,
