NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7,3,TMT-A_1_2linestimulus4.png,TMT-A_1_2greenlinestimulus4.png,TMT-A_1_2redlinestimulus4.png,,,,,0,6,6,6,,,,,,,,,22.170664399993257,None,1,0,0.3845400999998674,22.170664399993257,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
8,2,TMT-A_1_2linestimulus5.png,TMT-A_1_2greenlinestimulus5.png,TMT-A_1_2redlinestimulus5.png,,,,,0,7,7,7,,,,,,,,,22.614333399993484,None,2,1,0.4808099000074435,22.614333399993484,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
9,3,TMT-A_1_2linestimulus6.png,TMT-A_1_2greenlinestimulus6.png,TMT-A_1_2redlinestimulus6.png,,,,,0,8,8,8,,,,,,,,,23.156156299999566,None,3,1,0.4589774999913061,23.156156299999566,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
10,2,TMT-A_1_2linestimulus7.png,TMT-A_1_2greenlinestimulus7.png,TMT-A_1_2redlinestimulus7.png,,,,,0,9,9,9,,,,,,,,,23.677717500002473,None,1,0,0.7022025000042049,23.677717500002473,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
11,1,TMT-A_1_2linestimulus8.png,TMT-A_1_2greenlinestimulus8.png,TMT-A_1_2redlinestimulus8.png,,,,,0,10,10,10,,,,,,,,,24.442703900000197,None,2,0,0.41921459999866784,24.442703900000197,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
12,3,TMT-A_1_2linestimulus9.png,TMT-A_1_2greenlinestimulus9.png,TMT-A_1_2redlinestimulus9.png,,,,,0,11,11,11,,,,,,,,,24.928644400002668,None,1,0,0.5511905000021216,24.928644400002668,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
None,None,None,TMT-A_1_2greenlinestimulus10.png,TMT-A_1_2redlinestimulus10.png,,,,,0,12,12,12,,,,,,,,,25.54736419999972,None,None,1,,25.54736419999972,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
1,2,TMT-A_1_3.png,TMT-A_1_3.png,TMT-A_1_3.png,,,,,,,,,0,0,0,0,,,,,29.593898699997226,None,3,0,0.80501959999674,29.593898699997226,None,26.547113900000113,None,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
2,3,TMT-A_1_3.png,TMT-A_1_3firstgreen.png,TMT-A_1_3firstred.png,,,,,,,,,0,1,1,1,,,,,30.46315670000331,None,1,0,0.17957579999347217,30.46315670000331,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
3,1,TMT-A_1_3linestimulus0.png,TMT-A_1_3greenlinestimulus0.png,TMT-A_1_3redlinestimulus0.png,,,,,,,,,0,2,2,2,,,,,30.70489940000698,None,2,0,0.06413969999994151,30.70489940000698,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
4,2,TMT-A_1_3linestimulus1.png,TMT-A_1_3greenlinestimulus1.png,TMT-A_1_3redlinestimulus1.png,,,,,,,,,0,3,3,3,,,,,30.831019899997045,None,3,0,0.02953509999497328,30.831019899997045,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
5,3,TMT-A_1_3linestimulus2.png,TMT-A_1_3greenlinestimulus2.png,TMT-A_1_3redlinestimulus2.png,,,,,,,,,0,4,4,4,,,,,30.924037699995097,None,1,0,0.12415570000302978,30.924037699995097,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
6,2,TMT-A_1_3linestimulus3.png,TMT-A_1_3greenlinestimulus3.png,TMT-A_1_3redlinestimulus3.png,,,,,,,,,0,5,5,5,,,,,31.10922309999296,None,2,1,-0.005190399999264628,31.10922309999296,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
7,3,TMT-A_1_3linestimulus4.png,TMT-A_1_3greenlinestimulus4.png,TMT-A_1_3redlinestimulus4.png,,,,,,,,,0,6,6,6,,,,,31.187497100007022,None,3,1,0.025158999997074716,31.187497100007022,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
8,1,TMT-A_1_3linestimulus5.png,TMT-A_1_3greenlinestimulus5.png,TMT-A_1_3redlinestimulus5.png,,,,,,,,,0,7,7,7,,,,,31.277002300004824,None,1,1,0.09046560000570025,31.277002300004824,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
9,2,TMT-A_1_3linestimulus6.png,TMT-A_1_3greenlinestimulus6.png,TMT-A_1_3redlinestimulus6.png,,,,,,,,,0,8,8,8,,,,,31.429275699993013,None,2,1,0.022724900001776405,31.429275699993013,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
10,1,TMT-A_1_3linestimulus7.png,TMT-A_1_3greenlinestimulus7.png,TMT-A_1_3redlinestimulus7.png,,,,,,,,,0,9,9,9,,,,,31.517737799993483,None,3,0,0.02286620000086259,31.517737799993483,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
11,3,TMT-A_1_3linestimulus8.png,TMT-A_1_3greenlinestimulus8.png,TMT-A_1_3redlinestimulus8.png,,,,,,,,,0,10,10,10,,,,,31.608995200003847,None,1,0,0.10462420000112616,31.608995200003847,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
12,2,TMT-A_1_3linestimulus9.png,TMT-A_1_3greenlinestimulus9.png,TMT-A_1_3redlinestimulus9.png,,,,,,,,,0,11,11,11,,,,,31.775487100007012,None,2,1,0.00883629999589175,31.775487100007012,None,,,,001,2021_Nov_17_1511,TMTAB,2021.2.3,143.6375049171608,
