NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,0,15,15,15,,,,,,,,,,,,,42.274001900004805,None,"['2', '3']",1,"[0.03275530000246363, 0.13371580000239192]",42.274001900004805,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,0,16,16,16,,,,,,,,,,,,,42.50997810000263,None,"['1', '2']",1,"[0.19344139999884646, 0.30730839999887394]",42.50997810000263,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,0,17,17,17,,,,,,,,,,,,,42.89234550000401,None,['3'],1,[0.042603100002452265],42.89234550000401,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,0,18,18,18,,,,,,,,,,,,,43.017254200000025,None,['1'],1,[0.36499239999830024],43.017254200000025,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,0,19,19,19,,,,,,,,,,,,,43.46836620000249,None,"['2', '3']",1,"[0.04581019999750424, 0.19162159999541473]",43.46836620000249,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,0,20,20,20,,,,,,,,,,,,,43.76698649999889,None,['1'],1,[0.1846577000032994],43.76698649999889,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,0,21,21,21,,,,,,,,,,,,,44.03804880000098,None,['3'],1,[0.6100723999988986],44.03804880000098,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,0,22,22,22,,,,,,,,,,,,,44.725121900002705,None,"['2', '1']",1,"[0.37281349999830127, 0.7394692000016221]",44.725121900002705,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,0,23,23,23,,,,,,,,,,,,,45.55177240000194,None,['2'],1,[0.33473139999841806],45.55177240000194,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,0,24,24,24,,,,,,,,,,,,,45.96153150000464,None,['3'],1,[0.7547431000057259],45.96153150000464,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,0,25,25,25,,,,,,,,,,,,,46.78779320000467,None,None,1,,46.78779320000467,None,,001,2021_Nov_15_1316,TMTAB,2021.2.3,144.33992629394413,
