NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,3,TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,11.604998900002101,None,3,1,0.1048605999967549,11.604998900002101,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
11,1,TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,11.785680200002389,None,1,1,0.05500219999521505,11.785680200002389,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
12,2,TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,11.917784000004758,None,2,1,0.41639450000366196,11.917784000004758,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,12.410496200012858,None,None,1,,12.410496200012858,None,,,,,,,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13.44978350000747,None,2,0.5375610000046436,13.44978350000747,None,,,,,,,,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
1,3,TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,,,,,,,,,,0,0,0,0,,,,,,,,,14.005170400007046,None,,,,,,,,,,,,,,17.05657749999955,None,['3'],0,[1.1637762000027578],17.05657749999955,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
2,1,TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,18.292444100006833,None,['1'],0,[0.599457500007702],18.292444100006833,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
3,2,TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,18.972867200005567,None,['2'],0,[0.3957735000003595],18.972867200005567,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
4,3,TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,19.43822999999975,None,['3'],0,[0.32486839999910444],19.43822999999975,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
5,2,TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,19.833981600007974,None,['1'],0,[0.1354297000070801],19.833981600007974,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
6,1,TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,20.049316200005705,None,['2'],0,[0.14444340000045486],20.049316200005705,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
7,3,TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,20.26448340000934,None,['3'],0,[0.05850790000113193],20.26448340000934,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
8,1,TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,20.39671690000978,None,['1'],0,[0.09066000000166241],20.39671690000978,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
9,3,TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,20.563687200003187,None,['2'],0,[-0.018079200002830476],20.563687200003187,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
10,1,TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,20.65327460000117,None,['3'],0,[0.01525019999826327],20.65327460000117,None,,001,2021_Nov_17_1550,TMTAB,2021.2.3,143.63894913395285,
