NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,['3'],TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,10,3,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.927575200097635,None,['3'],1,[0.48824490001425147],28.927575200097635,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
7,['2'],TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,10,2,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.511022000107914,None,['2'],1,[0.48134649987332523],29.511022000107914,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
8,['3'],TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,10,3,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.078197700204328,None,['3'],1,[0.5334456998389214],30.078197700204328,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
9,['1'],TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,10,1,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.711729099974036,None,['1'],1,[1.3740898999385536],30.711729099974036,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
10,['3'],TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,10,3,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.17916040006094,None,['3'],1,[0.5246123999822885],32.17916040006094,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
11,['2'],TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,10,2,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.79593120003119,None,['2'],1,[1.240367699880153],32.79593120003119,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
12,['3'],TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,10,3,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.146655400050804,None,['3'],1,[0.7005149000324309],34.146655400050804,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
13,['2'],TMT-A_1_1linestimulus10.png,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,1,2,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.93034930014983,None,['2'],1,[0.6646857000887394],34.93034930014983,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
14,['3'],TMT-A_1_1linestimulus11.png,TMT-A_1_1greenlinestimulus11.png,TMT-A_1_1redlinestimulus11.png,None,3,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69761190004647,None,['3'],1,[0.7437853999435902],35.69761190004647,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
15,['2'],TMT-A_1_1linestimulus12.png,TMT-A_1_1greenlinestimulus12.png,TMT-A_1_1redlinestimulus12.png,None,2,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.531014300184324,None,['2'],1,[2.4257201000582427],36.531014300184324,None,,,,001,2022_Jan_11_0116,TMTAB,2021.2.3,59.88210416368752,
