NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,2,TMT-A_1_practicelinestimulus7.png,TMT-A_1_practicegreenlinestimulus7.png,TMT-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,30.654656799975783,None,1,0,0.16117380000650883,30.654656799975783,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
11,3,TMT-A_1_practicelinestimulus8.png,TMT-A_1_practicegreenlinestimulus8.png,TMT-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,30.941137499874458,None,3,1,0.06226260005496442,30.941137499874458,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
12,1,TMT-A_1_practicelinestimulus9.png,TMT-A_1_practicegreenlinestimulus9.png,TMT-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,31.09097579983063,None,1,1,0.13467609998770058,31.09097579983063,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
None,None,TMT-A_1_practicelinestimulus10.png,TMT-A_1_practicegreenlinestimulus10.png,TMT-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,31.307643299922347,None,3,0,0.0872616998385638,31.307643299922347,None,,,,,,,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,31.471641999902204,None,1,9.880004400154576,31.471641999902204,None,,,,,,,,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
1,['3'],TMT-A_1_1.png,TMT-A_1_1.png,TMT-A_1_1.png,10,,,,,,,,,0,0,0,0,,,,,,,,,41.37645570002496,None,,,,,,,,,,,,,,44.5129829000216,None,['1'],0,[1.373080899938941],44.5129829000216,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
2,['2'],TMT-A_1_1.png,TMT-A_1_1firstgreen.png,TMT-A_1_1firstred.png,10,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,45.980344499927014,None,['3'],0,[2.067367199808359],45.980344499927014,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
3,['3'],TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,10,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,48.131266499869525,None,['2'],0,[3.3280553000513464],48.131266499869525,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
4,['1'],TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,10,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,51.54978069989011,None,['3'],0,[2.7711657998152077],51.54978069989011,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
5,['3'],TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,10,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,54.41752649983391,None,['2'],0,[2.7076316999737173],54.41752649983391,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
6,['2'],TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,10,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,57.21883309981786,None,['3'],0,[2.1669320999644697],57.21883309981786,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
7,['1'],TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,10,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,59.470053900033236,None,['1'],1,[1.6535280998796225],59.470053900033236,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
8,['2'],TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,10,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,61.221151100005955,None,['1'],0,[5.110178499948233],61.221151100005955,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
9,['1'],TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,10,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,66.42315209982917,None,['1'],1,[0.5345095000229776],66.42315209982917,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
10,['3'],TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,10,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,67.0401731999591,None,['3'],1,[2.6956630998756737],67.0401731999591,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
11,['2'],TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,10,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,69.82467789994553,None,['2'],1,[5.462852199794725],69.82467789994553,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
12,['1'],TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,10,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,75.37946540000848,None,['3'],0,[1.1256846999749541],75.37946540000848,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
13,['2'],TMT-A_1_1linestimulus10.png,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,1,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,76.59444339992478,None,['3'],0,[0.7870342000387609],76.59444339992478,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
14,['3'],TMT-A_1_1linestimulus11.png,TMT-A_1_1greenlinestimulus11.png,TMT-A_1_1redlinestimulus11.png,None,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,77.47822079993784,None,['3'],1,[0.4459710998926312],77.47822079993784,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
15,['2'],TMT-A_1_1linestimulus12.png,TMT-A_1_1greenlinestimulus12.png,TMT-A_1_1redlinestimulus12.png,None,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,78.01210169983096,None,['3'],0,[0.49395619984716177],78.01210169983096,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
16,['1'],TMT-A_1_1linestimulus13.png,TMT-A_1_1greenlinestimulus13.png,TMT-A_1_1redlinestimulus13.png,None,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,78.59552640002221,None,['3'],0,[0.4026690998580307],78.59552640002221,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
17,['3'],TMT-A_1_1linestimulus14.png,TMT-A_1_1greenlinestimulus14.png,TMT-A_1_1redlinestimulus14.png,None,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,79.0957022998482,None,['3'],1,[1.0232424999121577],79.0957022998482,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
18,['2'],TMT-A_1_1linestimulus15.png,TMT-A_1_1greenlinestimulus15.png,TMT-A_1_1redlinestimulus15.png,None,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,80.2127699998673,None,['3'],0,[0.8830154000315815],80.2127699998673,None,,001,2022_Jan_11_0058,TMTAB,2021.2.3,59.708158478965196,
