NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,TMT-A_1_1linestimulus0.png,TMT-A_1_1greenlinestimulus0.png,TMT-A_1_1redlinestimulus0.png,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.60167580000416,None,['1'],0,[0.47917799999413546],47.60167580000416,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
4,3,TMT-A_1_1linestimulus1.png,TMT-A_1_1greenlinestimulus1.png,TMT-A_1_1redlinestimulus1.png,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.150945300003514,None,['2'],0,[-0.009136100008618087],48.150945300003514,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
5,2,TMT-A_1_1linestimulus2.png,TMT-A_1_1greenlinestimulus2.png,TMT-A_1_1redlinestimulus2.png,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22137630000361,None,['3'],0,[1.4634311000118032],48.22137630000361,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
6,['1'],TMT-A_1_1linestimulus3.png,TMT-A_1_1greenlinestimulus3.png,TMT-A_1_1redlinestimulus3.png,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.75499490000948,None,['2'],0,[0.4066464000061387],49.75499490000948,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
7,3,TMT-A_1_1linestimulus4.png,TMT-A_1_1greenlinestimulus4.png,TMT-A_1_1redlinestimulus4.png,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.24086650001118,None,['1'],0,[1.4085185000003548],50.24086650001118,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
8,['1'],TMT-A_1_1linestimulus5.png,TMT-A_1_1greenlinestimulus5.png,TMT-A_1_1redlinestimulus5.png,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.72707620001165,None,['2'],0,[0.410476999997627],51.72707620001165,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
9,3,TMT-A_1_1linestimulus6.png,TMT-A_1_1greenlinestimulus6.png,TMT-A_1_1redlinestimulus6.png,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20611920001102,None,['3'],0,[0.39647570000670385],52.20611920001102,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
10,['1'],TMT-A_1_1linestimulus7.png,TMT-A_1_1greenlinestimulus7.png,TMT-A_1_1redlinestimulus7.png,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.67937110000639,None,['2'],0,[0.8213996999984374],52.67937110000639,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
11,2,TMT-A_1_1linestimulus8.png,TMT-A_1_1greenlinestimulus8.png,TMT-A_1_1redlinestimulus8.png,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.581133900006535,None,['3'],0,[1.776890100009041],53.581133900006535,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
12,['1'],TMT-A_1_1linestimulus9.png,TMT-A_1_1greenlinestimulus9.png,TMT-A_1_1redlinestimulus9.png,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.435979300003964,None,['1'],1,[10.912075400003232],55.435979300003964,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
None,None,None,TMT-A_1_1greenlinestimulus10.png,TMT-A_1_1redlinestimulus10.png,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.44158740001149,None,None,1,,66.44158740001149,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
1,2,TMT-A_1_2.png,TMT-A_1_2.png,TMT-A_1_2.png,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,67.45317990001058,None,,,,,,,,,,,,,,70.50427260001015,None,['2'],0,[0.6158866000041598],70.50427260001015,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
2,3,TMT-A_1_2.png,TMT-A_1_2firstgreen.png,TMT-A_1_2firstred.png,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.19180770000094,None,['1'],0,[0.2793342000077246],71.19180770000094,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
3,1,TMT-A_1_2linestimulus0.png,TMT-A_1_2greenlinestimulus0.png,TMT-A_1_2redlinestimulus0.png,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5390810000099,None,['3'],0,[0.15246479999041185],71.5390810000099,None,,001,2021_Nov_17_1555,TMTAB,2021.2.3,144.13500261663233,
