NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,Version,Block,TrialNumber_session,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,,2,TMT_A,1,3,,,,,0,2,2,2,1,1,31.322735300011118,None,['2'],1,[0.22903370000130963],31.322735300011118,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,,3,TMT_A,1,4,,,,,0,3,3,3,1,1,31.62849550000101,None,['3'],1,[-0.01670880000165198],31.62849550000101,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,,2,TMT_A,1,5,,,,,0,4,4,4,3,0,31.7043524000037,None,"['1', '3', '2']",1,"[0.09597589999611955, 0.282366200000979, 0.29013409999606665]",31.7043524000037,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,,3,TMT_A,1,6,,,,,0,5,5,5,2,0,32.07922540001164,None,"['1', '3']",1,"[0.09645920000912156, 0.31104729999788105]",32.07922540001164,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,,2,TMT_A,1,7,,,,,0,6,6,6,1,1,32.46117300000333,None,['2'],1,[-0.05774659999588039],32.46117300000333,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,,1,TMT_A,1,8,,,,,0,7,7,7,1,1,32.530917600000976,None,['1'],1,[0.05716969999775756],32.530917600000976,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,,2,TMT_A,1,9,,,,,0,8,8,8,2,0,32.66949530001148,None,"['3', '2']",1,"[0.10203199999523349, 0.1103813999943668]",32.66949530001148,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,,1,TMT_A,1,10,,,,,0,9,9,9,1,1,32.85022430001118,None,['1'],1,[0.13462989999970887],32.85022430001118,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,,2,TMT_A,1,11,,,,,0,10,10,10,2,0,33.05863720001071,None,"['3', '2']",1,"[0.10019699999247678, 0.11353380000218749]",33.05863720001071,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,,3,TMT_A,1,12,,,,,0,11,11,11,5,0,33.28787360001297,None,"['1', '3', '2', '1', '3']",1,"[0.0828625000140164, 0.2650010000070324, 0.2940171000082046, 0.4853570000123, 0.7130832000111695]",33.28787360001297,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,,2,TMT_A,1,13,,,,,0,12,12,12,1,1,34.08685060001153,None,['2'],1,[-0.040615099991555326],34.08685060001153,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,,3,TMT_A,1,14,,,,,0,13,13,13,3,0,34.17104160001327,None,"['1', '2', '3']",1,"[0.038411199988331646, 0.9002474999870174, 0.9651885999919614]",34.17104160001327,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,,1,TMT_A,1,15,,,,,0,14,14,14,2,0,35.21781880001072,None,"['2', '1']",1,"[0.1799029999965569, 0.33547489999909885]",35.21781880001072,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,,3,TMT_A,1,16,,,,,0,15,15,15,1,1,35.64183990001038,None,['3'],1,[0.18622730000060983],35.64183990001038,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,,2,TMT_A,1,17,,,,,0,16,16,16,1,1,35.90542990001268,None,['2'],1,[0.02948999998625368],35.90542990001268,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,,3,TMT_A,1,18,,,,,0,17,17,17,11,0,36.02377620000334,None,"['1', '3', '2', '1', '3', '2', '1', '2', '2', '1', '3']",1,"[0.051221799993072636, 0.2458050999994157, 0.2585677000024589, 0.420528499991633, 0.6509874999901513, 0.6672238000028301, 0.8629944999993313, 1.1048746000014944, 2.208708199992543, 2.2209170999994967, 3.1861965999996755]",36.02377620000334,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,,1,TMT_A,1,19,,,,,0,18,18,18,3,0,39.322222900009365,None,"['3', '2', '1']",1,"[0.48951210000086576, 0.6563292999926489, 0.7113838999939617]",39.322222900009365,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,,3,TMT_A,1,20,,,,,0,19,19,19,1,1,40.15065940000932,None,['3'],1,[0.23619770001096185],40.15065940000932,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,,1,TMT_A,1,21,,,,,0,20,20,20,2,0,40.46809560000838,None,"['2', '1']",1,"[0.06466679999721237, 0.1787282999866875]",40.46809560000838,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,,3,TMT_A,1,22,,,,,0,21,21,21,4,0,40.739325200003805,None,"['3', '2', '1', '3']",1,"[0.14048539999930654, 0.1492700000089826, 0.31820300000254065, 0.5756470000051195]",40.739325200003805,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,,1,TMT_A,1,23,,,,,0,22,22,22,2,0,41.43300270001055,None,"['2', '1']",1,"[0.04703499999595806, 0.19875929999398068]",41.43300270001055,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,,2,TMT_A,1,24,,,,,0,23,23,23,3,0,41.73192790000758,None,"['1', '3', '2']",1,"[0.34492979999049567, 0.8185347999969963, 0.8658909999940079]",41.73192790000758,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,,3,TMT_A,1,25,,,,,0,24,24,24,1,1,42.70500790000369,None,['3'],1,[0.4698480999941239],42.70500790000369,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,,None,TMT_A,1,Feedback_last,,,,,0,25,25,25,0,0,43.27374780000537,None,None,1,,43.27374780000537,None,,001,2022_Mar_30_1036,TMT_fmri,2021.2.3,144.71926632583995,
,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
