Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_1.xlsx,0:26,17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,0,0,0,0,16,16,16,2,1,25.28854939993471,None,"['1', '2']",1,"[0.08648499986156821, 0.20485339988954365]",25.28854939993471,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,0,0,0,0,17,17,17,1,1,25.587724899873137,None,['3'],1,[0.019690999994054437],25.587724899873137,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,0,0,0,0,18,18,18,1,1,25.690707199973986,None,['1'],1,[0.08120310003869236],25.690707199973986,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,0,0,0,0,19,19,19,2,1,25.85052359988913,None,"['2', '3']",1,"[0.008764100028201938, 0.117985799908638]",25.85052359988913,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,,,,,,,,,,0,0,0,0,0,20,20,20,1,1,26.066137599991634,None,['1'],1,[0.05271199997514486],26.066137599991634,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,,,,,,,,,,0,0,0,0,0,21,21,21,2,1,26.20540999993682,None,"['2', '3']",1,"[0.012719699880108237, 0.13869789987802505]",26.20540999993682,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,,,,,,,,,,0,0,0,0,0,22,22,22,1,1,26.440966400085017,None,['1'],1,[0.24355349992401898],26.440966400085017,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,,,,,,,,,,0,0,0,0,0,23,23,23,1,1,26.76705679995939,None,['2'],1,[0.014638299820944667],26.76705679995939,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,,,,,,,,,,0,0,0,0,0,24,24,24,1,1,26.865123399998993,None,['3'],1,[0.011582300066947937],26.865123399998993,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,,,,,,,,,,0,0,0,0,0,25,25,25,0,1,26.954585100058466,None,None,1,,26.954585100058466,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_2.xlsx,26:52,1,['3'],TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,10,3,,,,,,,,,0,1,1,1,0,0,0,0,2,1,31.03306999988854,None,"['2', '3']",1,"[0.7732720000203699, 1.1138321999460459]",31.03306999988854,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_2.xlsx,26:52,2,['2'],TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,10,2,,,,,,,,,0,1,1,1,0,1,1,1,2,1,32.24856620002538,None,"['1', '2']",1,"[0.2622937997803092, 0.4220071998424828]",32.24856620002538,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_2.xlsx,26:52,3,['3'],TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,10,3,,,,,,,,,0,1,1,1,0,2,2,2,2,1,32.73995069996454,None,"['2', '3']",1,"[6.041653299937025, 6.696524899918586]",32.73995069996454,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_2.xlsx,26:52,4,['1'],TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,10,1,,,,,,,,,0,1,1,1,0,3,3,3,1,1,39.52120169997215,None,['2'],0,[0.9182642998639494],39.52120169997215,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_2.xlsx,26:52,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
TMTstop-A_1_3.xlsx,52:78,1,['2'],TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,10,2,,,,,,,,,0,2,2,2,0,0,0,0,3,1,44.14166329987347,None,"['1', '1', '2']",1,"[-2.807729799998924, 0.47076270007528365, 0.6151596000418067]",44.14166329987347,None,,001,2022_Feb_02_1433,TMTAstop-A,2021.2.3,143.2779704596672,
