NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,0:26,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,23.453021199908108,None,"['3', '1']",1,"[0.02542109997011721, 0.20760360010899603]",23.453021199908108,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,0:26,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,23.758414899930358,None,['2'],1,[-0.02392489998601377],23.758414899930358,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,0:26,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,23.82776159979403,None,['3'],1,[0.018028800142928958],23.82776159979403,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,0:26,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,23.925096599850804,None,"['1', '2']",1,"[0.5414806001354009, 0.6180887001100928]",23.925096599850804,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,0:26,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,24.619591999799013,None,"['1', '1', '2', '3']",1,"[0.6081938000861555, 1.12863380019553, 1.2443013000302017, 1.3710428001359105]",24.619591999799013,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,0:26,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,26.10685639991425,None,"['3', '3', '1']",1,"[0.35679670004174113, 0.9519519999157637, 1.2944215000607073]",26.10685639991425,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,0:26,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,27.48727699997835,None,"['2', '3']",1,"[0.470174300018698, 0.7795019000768661]",27.48727699997835,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,0:26,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,28.37605129997246,None,"['1', '2']",1,"[0.4559915999416262, 0.6592514000367373]",28.37605129997246,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0:26,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,29.112425099825487,None,['3'],1,[0.1338069001212716],29.112425099825487,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0:26,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,29.320833099773154,None,['1'],1,[0.3935300000011921],29.320833099773154,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,0:26,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,29.792745199985802,None,"['2', '3']",1,"[0.012731999857351184, 0.1586228997912258]",29.792745199985802,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,0:26,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,30.04286379995756,None,"['3', '1']",1,"[0.8125918998848647, 1.4554454998578876]",30.04286379995756,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,0:26,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,31.584295599954203,None,"['2', '3']",1,"[0.4773830999620259, 1.0125085001345724]",31.584295599954203,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,0:26,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,32.68849339988083,None,"['2', '3', '1']",1,"[0.6007015998475254, 0.9622825998812914, 1.5445977000053972]",32.68849339988083,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,0:26,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,34.328047899995,None,['2'],1,[0.7377313999459147],34.328047899995,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,0:26,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,35.146914599929005,None,['3'],1,[0.6054161000065506],35.146914599929005,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,0:26,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,35.82775479997508,None,None,1,,35.82775479997508,None,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
,,,,,,0:26,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_12_1710,TMTAstop-A,2021.2.3,143.83191238712567,
