NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,1,1,23.69884720002301,None,['1'],1,[-0.015724699944257736],23.69884720002301,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,2,1,23.782022300059907,None,"['2', '3']",1,"[-0.028518300037831068, 0.0801289000082761]",23.782022300059907,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,2,1,23.965404400019906,None,"['1', '2']",1,"[0.02012300002388656, 0.08459380001295358]",23.965404400019906,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,1,1,24.132396599976346,None,['3'],1,[0.03302029997576028],24.132396599976346,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,1,1,24.24893110000994,None,['1'],1,[0.05420030001550913],24.24893110000994,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,2,1,24.398994600051083,None,"['2', '3']",1,"[-0.04117800004314631, 0.090075199957937]",24.398994600051083,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,1,1,24.582567299949005,None,['1'],1,[0.01777619996573776],24.582567299949005,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,2,1,24.682445300044492,None,"['2', '3']",1,"[0.04437230003532022, 0.10027419996913522]",24.682445300044492,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,1,1,24.866040599998087,None,['1'],1,[0.036552300094626844],24.866040599998087,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,3,1,24.99941549997311,None,"['3', '1', '2']",1,"[0.12052989995572716, 0.21670699992682785, 0.2972283000126481]",24.99941549997311,None,,001,2022_Jan_24_1516,TMTAstop-A,2021.2.3,59.919923018984306,
