Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_1.xlsx,0:26,L,['3'],3,TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,1,24,,,,,,,,,0,0,0,0,0,23,23,23,2,0,19.215212300186977,None,"['2', '3']",1,"[-0.06908400007523596, 0.07322769984602928]",19.215212300186977,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,13,['2'],2,TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,1,25,,,,,,,,,0,0,0,0,0,24,24,24,2,0,19.4040053000208,None,"['1', '2']",1,"[0.0514919999986887, 0.08264329982921481]",19.4040053000208,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_1.xlsx,0:26,None,None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,1,Feedback_last,,,,,,,,,0,0,0,0,0,25,25,25,4,0,19.582536600064486,None,"['3', '1', '2', '3']",0,"[0.040614299941807985, 0.1782645001076162, 0.24677699990570545, 0.3476541000418365]",19.582536600064486,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,1,['2'],2,TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMTstop-B_1_2.png,2,26,,,,,,,,,0,1,1,1,0,0,0,0,2,0,23.678825300186872,None,"['1', '2']",1,"[0.3081865001004189, 0.4618540001101792]",23.678825300186872,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,A,['3'],3,TMTstop-B_1_2.png,TMTstop-B_1_2firstgreen.png,TMTstop-B_1_2firstred.png,2,27,,,,,,,,,0,1,1,1,0,1,1,1,1,1,24.248846100177616,None,['3'],1,[-0.04129779990762472],24.248846100177616,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,2,['1'],1,TMTstop-B_1_2linestimulus0.png,TMTstop-B_1_2greenlinestimulus0.png,TMTstop-B_1_2redlinestimulus0.png,2,28,,,,,,,,,0,1,1,1,0,2,2,2,1,1,24.32528360001743,None,['1'],1,[0.035704800160601735],24.32528360001743,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,B,['2'],2,TMTstop-B_1_2linestimulus1.png,TMTstop-B_1_2greenlinestimulus1.png,TMTstop-B_1_2redlinestimulus1.png,2,29,,,,,,,,,0,1,1,1,0,3,3,3,1,1,24.457470700144768,None,['2'],1,[-0.032916200114414096],24.457470700144768,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,3,['3'],3,TMTstop-B_1_2linestimulus2.png,TMTstop-B_1_2greenlinestimulus2.png,TMTstop-B_1_2redlinestimulus2.png,2,30,,,,,,,,,0,1,1,1,0,4,4,4,1,1,24.526626700069755,None,['3'],1,[0.0019020999316126108],24.526626700069755,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,C,['1'],1,TMTstop-B_1_2linestimulus3.png,TMTstop-B_1_2greenlinestimulus3.png,TMTstop-B_1_2redlinestimulus3.png,2,31,,,,,,,,,0,1,1,1,0,5,5,5,1,1,24.61029940005392,None,['1'],1,[0.11774099990725517],24.61029940005392,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,4,['2'],2,TMTstop-B_1_2linestimulus4.png,TMTstop-B_1_2greenlinestimulus4.png,TMTstop-B_1_2redlinestimulus4.png,2,32,,,,,,,,,0,1,1,1,0,6,6,6,1,1,24.79797750012949,None,['2'],1,[0.0005867001600563526],24.79797750012949,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,D,['3'],3,TMTstop-B_1_2linestimulus5.png,TMTstop-B_1_2greenlinestimulus5.png,TMTstop-B_1_2redlinestimulus5.png,2,33,,,,,,,,,0,1,1,1,0,7,7,7,1,1,24.874038300011307,None,['3'],1,[0.0474862998817116],24.874038300011307,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,5,['2'],2,TMTstop-B_1_2linestimulus6.png,TMTstop-B_1_2greenlinestimulus6.png,TMTstop-B_1_2redlinestimulus6.png,2,34,,,,,,,,,0,1,1,1,0,8,8,8,2,0,25.00640490022488,None,"['1', '2']",1,"[0.07622770010493696, 0.13058810005895793]",25.00640490022488,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,E,['1'],1,TMTstop-B_1_2linestimulus7.png,TMTstop-B_1_2greenlinestimulus7.png,TMTstop-B_1_2redlinestimulus7.png,2,35,,,,,,,,,0,1,1,1,0,9,9,9,2,0,25.248851800104603,None,"['3', '1']",1,"[-0.023887000046670437, 0.12291179993189871]",25.248851800104603,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,6,['3'],3,TMTstop-B_1_2linestimulus8.png,TMTstop-B_1_2greenlinestimulus8.png,TMTstop-B_1_2redlinestimulus8.png,2,36,,,,,,,,,0,1,1,1,0,10,10,10,2,0,25.457133200019598,None,"['2', '3']",1,"[0.003842000151053071, 0.0750494000967592]",25.457133200019598,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,F,['1'],1,TMTstop-B_1_2linestimulus9.png,TMTstop-B_1_2greenlinestimulus9.png,TMTstop-B_1_2redlinestimulus9.png,2,37,,,,,,,,,0,1,1,1,0,11,11,11,1,1,25.62402920005843,None,['1'],1,[0.13815180002711713],25.62402920005843,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,7,['3'],3,TMTstop-B_1_2linestimulus10.png,TMTstop-B_1_2greenlinestimulus10.png,TMTstop-B_1_2redlinestimulus10.png,2,38,,,,,,,,,0,1,1,1,0,12,12,12,2,0,25.846145700197667,None,"['2', '3']",1,"[-0.010866899974644184, 0.08676670002751052]",25.846145700197667,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
TMTstop-B_1_2.xlsx,26:52,G,['2'],2,TMTstop-B_1_2linestimulus11.png,TMTstop-B_1_2greenlinestimulus11.png,TMTstop-B_1_2redlinestimulus11.png,2,39,,,,,,,,,0,1,1,1,0,13,13,13,2,0,26.014229000080377,None,"['1', '2']",1,"[0.07316859997808933, 0.15177489980123937]",26.014229000080377,None,,001,2022_Feb_02_1708,TMTAstop-A,2021.2.3,144.17760382967097,
