NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Keypress_count,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,37,23.283872099942528,None,['2'],1,[-0.04734109994024038],23.283872099942528,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,38,23.367423599935137,None,['3'],1,[0.005303999991156161],23.367423599935137,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,41,23.46759359992575,None,"['1', '2']",1,"[0.03886820003390312, 0.1343004999216646]",23.46759359992575,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,42,23.700755700003356,None,['3'],1,[0.00018269999418407679],23.700755700003356,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,43,23.7841471999418,None,['1'],1,[0.06637009989935905],23.7841471999418,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,46,23.934466899954714,None,"['2', '3']",1,"[-0.007990899961441755, 0.09388319996651262]",23.934466899954714,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,50,24.117888299981132,None,"['1', '2']",1,"[0.0882778000086546, 0.22474970004986972]",24.117888299981132,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,51,24.451191099942662,None,['3'],1,[-0.053796300082467496],24.451191099942662,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,52,24.534679999924265,None,['1'],1,[0.02813569991849363],24.534679999924265,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,55,24.65158760000486,None,"['2', '3']",1,"[-0.05248289997689426, 0.09962210000958294]",24.65158760000486,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,56,24.834663499961607,None,['1'],1,[0.0732947998913005],24.834663499961607,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,70,25.001357299974188,None,"['2', '1', '2', '3']",1,"[-0.026827999972738326, 0.45537980005610734, 0.5340401000576094, 0.641804900020361]",25.001357299974188,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,71,25.735285999951884,None,['1'],1,[0.058203900000080466],25.735285999951884,None,,001,2022_Jan_24_1444,TMTAstop-A,2021.2.3,59.9514633305028,
