NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,,,,,0,1,1,1,,,,,1,1,76.51124100000015,None,['1'],1,[0.11248899999191053],76.51124100000015,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,,,,,0,2,2,2,,,,,1,1,76.71927400000277,None,['2'],1,[-0.04589449999912176],76.71927400000277,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,,,,,0,3,3,3,,,,,2,0,76.80289269999776,None,"['3', '1']",1,"[-0.022679599991533905, 0.14712799999688286]",76.80289269999776,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,,,,,0,4,4,4,,,,,1,1,77.05919040000299,None,['2'],1,[-0.06531420000828803],77.05919040000299,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,,,,,0,5,5,5,,,,,2,0,77.13613849999092,None,"['3', '1']",1,"[-0.03616610000608489, 0.08919040000182576]",77.13613849999092,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,,,,,0,6,6,6,,,,,1,1,77.30206289999478,None,['2'],1,[-0.002744199999142438],77.30206289999478,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,,,,,0,7,7,7,,,,,2,0,77.3784760999988,None,"['3', '1']",1,"[-0.006362000000081025, 0.11553640000056475]",77.3784760999988,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,,,,,0,8,8,8,,,,,1,1,77.57981189999555,None,['2'],1,[0.01115140000183601],77.57981189999555,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,,,,,0,9,9,9,,,,,2,0,77.66343600000255,None,"['3', '1']",1,"[-0.002895500001613982, 0.12929490000533406]",77.66343600000255,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,,,,,0,10,10,10,,,,,1,1,77.9062058999989,None,['2'],1,[-0.02168340000207536],77.9062058999989,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
12,['1'],1,TMTstop-A_1_plinestimulus9.png,TMTstop-A_1_pgreenlinestimulus9.png,TMTstop-A_1_predlinestimulus9.png,10,,,,,0,11,11,11,,,,,2,0,77.98348959999566,None,"['3', '1']",1,"[-0.004282399997464381, 0.12552230000437703]",77.98348959999566,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
13,['2'],2,TMTstop-A_1_plinestimulus10.png,TMTstop-A_1_pgreenlinestimulus10.png,TMTstop-A_1_predlinestimulus10.png,1,,,,,0,12,12,12,,,,,1,1,78.2255765000009,None,['2'],1,[-0.0266020999988541],78.2255765000009,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
14,['3'],3,TMTstop-A_1_plinestimulus11.png,TMTstop-A_1_pgreenlinestimulus11.png,TMTstop-A_1_predlinestimulus11.png,None,,,,,0,13,13,13,,,,,1,1,78.30239149999397,None,['3'],1,[-0.022481099993456155],78.30239149999397,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
15,['1'],1,TMTstop-A_1_plinestimulus12.png,TMTstop-A_1_pgreenlinestimulus12.png,TMTstop-A_1_predlinestimulus12.png,None,,,,,0,14,14,14,,,,,1,1,78.37853719999839,None,['1'],1,[0.03851720000966452],78.37853719999839,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
16,['3'],3,TMTstop-A_1_plinestimulus13.png,TMTstop-A_1_pgreenlinestimulus13.png,TMTstop-A_1_predlinestimulus13.png,None,,,,,0,15,15,15,,,,,2,0,78.4964195999928,None,"['2', '3']",1,"[0.01854760000423994, 0.10976900000241585]",78.4964195999928,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
17,['1'],1,TMTstop-A_1_plinestimulus14.png,TMTstop-A_1_pgreenlinestimulus14.png,TMTstop-A_1_predlinestimulus14.png,None,,,,,0,16,16,16,,,,,1,1,78.68503649999911,None,['1'],1,[0.033955999999307096],78.68503649999911,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
18,['2'],2,TMTstop-A_1_plinestimulus15.png,TMTstop-A_1_pgreenlinestimulus15.png,TMTstop-A_1_predlinestimulus15.png,None,,,,,0,17,17,17,,,,,1,1,78.8020916999958,None,['2'],1,[0.02779730000474956],78.8020916999958,None,,001,2022_Mar_30_1509,TMT_fmri,2021.2.3,143.6459644001473,
